*******************************************************************************
JPL/HORIZONS                12 Victoria (A850 RA)          2020-Jun-20 07:51:22
Rec #:      12 (+COV) Soln.date: 2020-May-20_00:55:59   # obs: 3213 (1850-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452122.5 ! 2001-Aug-01.00 (TDB)         Residual RMS= .29025
   EC= .2193536483215829   QR= 1.823609365292095   TP= 2451605.3893134333
   OM= 235.6133492770226   W=  69.64329126194583   IN= 8.364880577181527
   A= 2.336024963635929    MA= 142.7484389389489   ADIST= 2.848440561979763
   PER= 3.57046            N= .276050058           ANGMOM= .025651466
   DAN= 2.06598            DDN= 2.40732            L= 305.0559739
   B= 7.8390566            MOID= .82854903         TP= 2000-Mar-01.8893134333
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 57.5435            ROTPER= 8.6599
   H= 7.3                  G= .220                 B-V= .874
                           ALBEDO= .163            STYP= L
 
ASTEROID comments: 
1: soln ref.= JPL#119, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:51:22 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 12 Victoria (A850 RA)           {source: JPL#119}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452122.5 ! 2001-Aug-01.00 (TDB)         Residual RMS= .29025        
   EC= .2193536483215829   QR= 1.823609365292095   TP= 2451605.3893134333      
   OM= 235.6133492770226   W=  69.64329126194583   IN= 8.364880577181527       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-4.833850368374291E-01  Y= 2.607650765557387E+00  Z= 8.205282544730730E-01
  VX=-9.216353612495258E-03 VY=-1.855639826776742E-04 VZ=-1.239360121225350E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 57.5435            ROTPER= 8.6599              
   H= 7.3                  G= .220                 B-V= .874                   
                           ALBEDO= .163            STYP= L                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.033413546009097E-01,  2.719168539312910E+00, -2.851718909095216E-01, -9.185731164149480E-03, -7.597391079039370E-04, -1.057872406816768E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.491801830360977E-01,  2.714902909510066E+00, -2.904119529238788E-01, -9.149308954100342E-03, -9.462930205382692E-04, -1.038110498583262E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.948295629292721E-01,  2.709707818950545E+00, -2.955525816942615E-01, -9.109957970666039E-03, -1.131521043264748E-03, -1.018100062796959E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -6.402749426256237E-01,  2.703589932210174E+00, -3.005925487160834E-01, -9.067714872122134E-03, -1.315409200358792E-03, -9.978467189284876E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -6.855019503873165E-01,  2.696555982668175E+00, -3.055306530819367E-01, -9.022614971790192E-03, -1.497943936922470E-03, -9.773558877420856E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -7.304963877400792E-01,  2.688612770540137E+00, -3.103657205083587E-01, -8.974692266423114E-03, -1.679112064458166E-03, -9.566327993708717E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -7.752442229596024E-01,  2.679767161176044E+00, -3.150966024019964E-01, -8.923979463852936E-03, -1.858900709388838E-03, -9.356825009507852E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -8.197315846964589E-01,  2.670026083608566E+00, -3.197221749627503E-01, -8.870508010903300E-03, -2.037297264205792E-03, -9.145098638416889E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -8.639447557417077E-01,  2.659396529342193E+00, -3.242413383228779E-01, -8.814308121634454E-03, -2.214289339820059E-03, -8.931195908338342E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -9.078701669328766E-01,  2.647885551378153E+00, -3.286530157222297E-01, -8.755408805152467E-03, -2.389864718982646E-03, -8.715162233686157E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -9.514943911974040E-01,  2.635500263468468E+00, -3.329561527192526E-01, -8.693837892808870E-03, -2.564011311258620E-03, -8.497041486033560E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -9.948041377309634E-01,  2.622247839591083E+00, -3.371497164368157E-01, -8.629622064981813E-03, -2.736717109598771E-03, -8.276876062799180E-04,
