*******************************************************************************
JPL/HORIZONS                 13 Egeria (A850 VA)           2020-Jun-20 07:51:38
Rec #:      13 (+COV) Soln.date: 2020-Feb-22_15:13:50   # obs: 2433 (1850-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2451913.5 ! 2001-Jan-04.00 (TDB)         Residual RMS= .35301
   EC= .08451551991899257  QR= 2.358066147969361   TP= 2451772.2385700471
   OM= 43.32400438208041   W=  80.77651914394623   IN= 16.54120425970847
   A= 2.575757644477715    MA= 33.67985211998828   ADIST= 2.793449140986068
   PER= 4.13395            N= .238422131           ANGMOM= .027509159
   DAN= 2.52318            DDN= 2.59248            L= 123.7096164
   B= 16.3213156           MOID= 1.43754005        TP= 2000-Aug-15.7385700471
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 101.318            ROTPER= 7.045
   H= 6.8                  G= .150                 B-V= .745
                           ALBEDO= .049            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#91, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:51:38 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 13 Egeria (A850 VA)             {source: JPL#91}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451913.5 ! 2001-Jan-04.00 (TDB)         Residual RMS= .35301        
   EC= .08451551991899257  QR= 2.358066147969361   TP= 2451772.2385700471      
   OM= 43.32400438208041   W=  80.77651914394623   IN= 16.54120425970847       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.245047960790774E+00  Y= 3.279490401153919E-01  Z= 7.852276390273777E-01
  VX=-3.929922844218772E-03 VY=-9.193314047477873E-03 VZ=-5.626283713731328E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 101.318            ROTPER= 7.045               
   H= 6.8                  G= .150                 B-V= .745                   
                           ALBEDO= .049            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.114972456885918E+00, -2.458776252400153E+00, -7.536046599528222E-01,  8.850132192802439E-03,  4.145536270337629E-03, -9.300254997757179E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.159033875879751E+00, -2.437636195290362E+00, -7.581278286844521E-01,  8.773949444102841E-03,  4.310232964271372E-03, -8.791965351272327E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.202707110465981E+00, -2.415676491206931E+00, -7.623961814912906E-01,  8.694862183696929E-03,  4.473388595640097E-03, -8.281012822756215E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.245977694518096E+00, -2.392904942250850E+00, -7.664084192067023E-01,  8.612893009146055E-03,  4.634964483460976E-03, -7.767526487531259E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.288831275272666E+00, -2.369329543427271E+00, -7.701633071722283E-01,  8.528064668924820E-03,  4.794922144368958E-03, -7.251635310561242E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.331253614096215E+00, -2.344958481697172E+00, -7.736596751936252E-01,  8.440400067400279E-03,  4.953223276829014E-03, -6.733468190987596E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.373230587278014E+00, -2.319800135105996E+00, -7.768964175186516E-01,  8.349922270262978E-03,  5.109829746166603E-03, -6.213154004630917E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.414748186851795E+00, -2.293863071985151E+00, -7.798724928358026E-01,  8.256654510711883E-03,  5.264703570345124E-03, -5.690821645562800E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.455792521450612E+00, -2.267156050223403E+00, -7.825869242939445E-01,  8.160620196527805E-03,  5.417806906187561E-03, -5.166600068334176E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.496349817199161E+00, -2.239688016606375E+00, -7.850387995433615E-01,  8.061842917964053E-03,  5.569102035910745E-03, -4.640618331401332E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.536406418647397E+00, -2.211468106222559E+00, -7.872272707988074E-01,  7.960346456364707E-03,  5.718551353990998E-03, -4.113005641703370E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.575948789748959E+00, -2.182505641934103E+00, -7.891515549251136E-01,  7.856154793465124E-03,  5.866117354389797E-03, -3.583891400319940E-04,
