*******************************************************************************
JPL/HORIZONS                 16 Psyche (A852 FA)           2020-Jun-20 07:52:27
Rec #:      16 (+COV) Soln.date: 2019-Oct-02_12:03:12   # obs: 2364 (1984-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458788.5 ! 2019-Nov-01.00 (TDB)         Residual RMS= .21107
   EC= .1334827185584222   QR= 2.532597980534057   TP= 2458964.595624459
   OM= 150.0413291972166   W=  228.9813548618735   IN= 3.096559269778021
   A= 2.922732223321284    MA= 325.2648565100744   ADIST= 3.31286646610851
   PER= 4.9968             N= .197251593           ANGMOM= .029145534
   DAN= 3.14629            DDN= 2.63943            L= 18.9812346
   B= -2.3358518           MOID= 1.53509998        TP= 2020-Apr-25.0956244590
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 1.53                RAD= 113.               ROTPER= 4.196
   H= 5.9                  G= .200                 B-V= .729
                           ALBEDO= .1203           STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#89, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:52:27 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 16 Psyche (A852 FA)             {source: JPL#89}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458788.5 ! 2019-Nov-01.00 (TDB)         Residual RMS= .21107        
   EC= .1334827185584222   QR= 2.532597980534057   TP= 2458964.595624459       
   OM= 150.0413291972166   W=  228.9813548618735   IN= 3.096559269778021       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.361650644689909E+00  Y=-1.041277088801045E+00  Z=-4.627791795360289E-01
  VX= 3.961125200963079E-03 VY= 9.789516747387633E-03 VZ= 3.595742370488202E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 1.53                RAD= 113.               ROTPER= 4.196               
   H= 5.9                  G= .200                 B-V= .729                   
                           ALBEDO= .1203           STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.463571410493925E+00, -2.359289159671530E+00,  7.269050199862363E-02,  8.193516363611658E-03,  6.674296972891731E-03, -5.292587460964134E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.504283555959418E+00, -2.325510341397826E+00,  7.003174621341265E-02,  8.090743302926893E-03,  6.837041249101572E-03, -5.342189383982033E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.544472850170044E+00, -2.290920709259109E+00,  6.734856247699034E-02,  7.984374299087438E-03,  6.998608224642136E-03, -5.390292125819229E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.584121291714601E+00, -2.255526365501716E+00,  6.464171110660938E-02,  7.874401025884813E-03,  7.158911337667012E-03, -5.436852747876304E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.623210842913311E+00, -2.219333849120194E+00,  6.191197393318069E-02,  7.760817318714145E-03,  7.317862457057769E-03, -5.481828141342354E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.661723440875338E+00, -2.182350143604561E+00,  5.916015437529487E-02,  7.643619274412896E-03,  7.475371922953371E-03, -5.525175072057059E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.699641009055896E+00, -2.144582684470997E+00,  5.638707748999275E-02,  7.522805351238428E-03,  7.631348592944282E-03, -5.566850228685617E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.736945469313708E+00, -2.106039366546666E+00,  5.359358999863308E-02,  7.398376469056432E-03,  7.785699894239487E-03, -5.606810274105748E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.773618754469998E+00, -2.066728550978839E+00,  5.078056028634948E-02,  7.270336109744744E-03,  7.938331881759806E-03, -5.645011899579448E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.809642821369599E+00, -2.026659071938763E+00,  4.794887837377917E-02,  7.138690417584152E-03,  8.089149302167767E-03, -5.681411881507721E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.844999664443351E+00, -1.985840242990236E+00,  4.509945585976268E-02,  7.003448299332450E-03,  8.238055663978493E-03, -5.715967140783910E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.879671329769453E+00, -1.944281863092177E+00,  4.223322583371814E-02,  6.864621523686098E-03,  8.384953313869027E-03, -5.748634804743968E-04,
