*******************************************************************************
JPL/HORIZONS                22 Kalliope (A852 WA)          2020-Jun-20 07:53:43
Rec #:      22 (+COV) Soln.date: 2020-May-20_00:56:00   # obs: 3227 (1854-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452172.5 ! 2001-Sep-20.00 (TDB)         Residual RMS= .25573
   EC= .1021892096239585   QR= 2.612235135403609   TP= 2452178.4808137245
   OM= 66.32775624431272   W=  357.3005187379219   IN= 13.72198406045527
   A= 2.909560860044345    MA= 358.8122550806353   ADIST= 3.206886584685082
   PER= 4.96306            N= .198592523           ANGMOM= .02918876
   DAN= 2.6125             DDN= 3.20648            L= 63.7052237
   B= -.6401205            MOID= 1.625             TP= 2001-Sep-25.9808137245
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= .491                RAD= 83.768             ROTPER= 4.1483
   H= 6.5                  G= .210                 B-V= .715
                           ALBEDO= .166            STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#99, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:53:43 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 22 Kalliope (A852 WA)           {source: JPL#99}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452172.5 ! 2001-Sep-20.00 (TDB)         Residual RMS= .25573        
   EC= .1021892096239585   QR= 2.612235135403609   TP= 2452178.4808137245      
   OM= 66.32775624431272   W=  357.3005187379219   IN= 13.72198406045527       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.214900531417854E+00  Y= 2.139287284908385E+00  Z= 8.784378554381741E-01
  VX=-9.601492755486031E-03 VY= 3.596713256388067E-03 VZ= 4.441098591168799E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .491                RAD= 83.768             ROTPER= 4.1483              
   H= 6.5                  G= .210                 B-V= .715                   
                           ALBEDO= .166            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.355666626869501E+00, -2.901110561908421E+00,  2.529308286918351E-02,  8.015073098856702E-03, -3.735867439138559E-03, -2.159640547082977E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.315440079466916E+00, -2.919463050751614E+00,  1.449243938560836E-02,  8.075246375159020E-03, -3.604986612657303E-03, -2.160535939785260E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.274917166342364E+00, -2.937159029924662E+00,  3.688532792137912E-03,  8.133617717568839E-03, -3.473266921176638E-03, -2.160945740284772E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.234106922197657E+00, -2.954194355385732E+00, -7.116208195919802E-03,  8.190177116806845E-03, -3.340728484534666E-03, -2.160869648276211E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.193018431728362E+00, -2.970564983796435E+00, -1.791935338297963E-02,  8.244914584206928E-03, -3.207391465400778E-03, -2.160307371968460E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.151660829527110E+00, -2.986266972752868E+00, -2.871847113602096E-02,  8.297820149225791E-03, -3.073276076020537E-03, -2.159258628204978E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.110043299998471E+00, -3.001296481050401E+00, -3.951112842821464E-02,  8.348883857295257E-03, -2.938402585007079E-03, -2.157723142655522E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.068175077283907E+00, -3.015649768982976E+00, -5.029489088366519E-02,  8.398095767925703E-03, -2.802791324370948E-03, -2.155700650072209E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.026065445195833E+00, -3.029323198678196E+00, -6.106732282357594E-02,  8.445445952940445E-03, -2.666462696787533E-03, -2.153190894597562E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -9.837237371601940E-01, -3.042313234469042E+00, -7.182598731407490E-02,  8.490924494846808E-03, -2.529437182966101E-03, -2.150193630122176E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -9.411593361667592E-01, -3.054616443302545E+00, -8.256844621595365E-02,  8.534521485381358E-03, -2.391735349052458E-03, -2.146708620693861E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -8.983816747261937E-01, -3.066229495185498E+00, -9.329226023658625E-02,  8.576227024258526E-03, -2.253377854040376E-03, -2.142735640979850E-03,
