*******************************************************************************
JPL/HORIZONS                27 Euterpe (A853 VA)           2020-Jun-20 07:54:29
Rec #:      27 (+COV) Soln.date: 2020-May-20_00:56:34   # obs: 2789 (1853-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452137.5 ! 2001-Aug-16.00 (TDB)         Residual RMS= .2842
   EC= .1722450113780709   QR= 1.943003435996649   TP= 2452124.9878481533
   OM= 94.81535688811253   W=  356.5620783020278   IN= 1.583790281015586
   A= 2.347317095885364    MA= 3.429086476293702   ADIST= 2.751630755774079
   PER= 3.59638            N= .274060483           ANGMOM= .025961359
   DAN= 1.94352            DDN= 2.7506             L= 91.3787554
   B= -.0949629            MOID= .95801902         TP= 2001-Aug-03.4878481533
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 48.                ROTPER= 10.4082
   H= 7.                   G= .150                 B-V= .878
                           ALBEDO= .215            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#110, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:54:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 27 Euterpe (A853 VA)            {source: JPL#110}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452137.5 ! 2001-Aug-16.00 (TDB)         Residual RMS= .2842         
   EC= .1722450113780709   QR= 1.943003435996649   TP= 2452124.9878481533      
   OM= 94.81535688811253   W=  356.5620783020278   IN= 1.583790281015586       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.134967062687054E-01  Y= 1.772294981821979E+00  Z= 7.699068853647261E-01
  VX=-1.328685266629264E-02 VY=-1.338283279305456E-03 VZ=-1.779299931715802E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 48.                ROTPER= 10.4082             
   H= 7.                   G= .150                 B-V= .878                   
                           ALBEDO= .215            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.255696931432845E+00,  1.560512200167284E+00,  3.101262595934842E-02, -1.081982158500757E-02, -7.195148936363053E-03,  3.152158672631582E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.309211769446013E+00,  1.523828763779603E+00,  3.257426113636554E-02, -1.058484435381503E-02, -7.476678129459985E-03,  3.093995681077390E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.361533061020646E+00,  1.485761058384625E+00,  3.410624533940541E-02, -1.034247882136115E-02, -7.748824517108282E-03,  3.033574923670112E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.412625003097817E+00,  1.446356455926098E+00,  3.560747999386011E-02, -1.009318056106824E-02, -8.011409398087716E-03,  2.971017792605595E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.462454071934544E+00,  1.405663155350913E+00,  3.707692741798280E-02, -9.837405435556591E-03, -8.264280572646407E-03,  2.906446384649994E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.510989020279231E+00,  1.363730051698573E+00,  3.851361105337885E-02, -9.575607905509034E-03, -8.507311683971917E-03,  2.839983017901972E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.558200866351075E+00,  1.320606608769004E+00,  3.991661546007973E-02, -9.308239442945362E-03, -8.740401447814178E-03,  2.771749774066562E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.604062875152997E+00,  1.276342735888083E+00,  4.128508609015238E-02, -9.035747052056080E-03, -8.963472786719939E-03,  2.701868071046794E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.648550532670513E+00,  1.230988669206471E+00,  4.261822885561918E-02, -8.758571904076327E-03, -9.176471884626230E-03,  2.630458267347991E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.691641513543523E+00,  1.184594857901851E+00,  4.391530950603047E-02, -8.477148092032268E-03, -9.379367172517430E-03,  2.557639295972165E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.733315642812204E+00,  1.137211855602838E+00,  4.517565283032608E-02, -8.191901505306015E-03, -9.572148256213995E-03,  2.483528327977775E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.773554852330999E+00,  1.088890217290736E+00,  4.639864169827310E-02, -7.903248822018852E-03, -9.754824799705315E-03,  2.408240467442426E-04,
