*******************************************************************************
JPL/HORIZONS                  38 Leda (A856 AA)            2020-Jun-20 07:57:27
Rec #:      38 (+COV) Soln.date: 2020-May-20_00:56:46   # obs: 2715 (1856-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454420.5 ! 2007-Nov-16.00 (TDB)         Residual RMS= .30407
   EC= .1522848895881543   QR= 2.325719821365602   TP= 2453607.2964838888
   OM= 295.7936328331345   W=  169.3263277397806   IN= 6.968868046984637
   A= 2.743515826013408    MA= 176.3770672513442   ADIST= 3.161311830661214
   PER= 4.54433            N= .216891662           ANGMOM= .028160481
   DAN= 3.15152            DDN= 2.33105            L= 105.197023
   B= 1.2876671            MOID= 1.34298003        TP= 2005-Aug-24.7964838888
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 46.1275            ROTPER= 12.838
   H= 8.5                  G= .150                 B-V= .726
                           ALBEDO= .055            STYP= Cgh
 
ASTEROID comments: 
1: soln ref.= JPL#107, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:57:27 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 38 Leda (A856 AA)               {source: JPL#107}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454420.5 ! 2007-Nov-16.00 (TDB)         Residual RMS= .30407        
   EC= .1522848895881543   QR= 2.325719821365602   TP= 2453607.2964838888      
   OM= 295.7936328331345   W=  169.3263277397806   IN= 6.968868046984637       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 6.848017097991379E-01  Y=-2.794542786382647E+00  Z=-1.308240536390559E+00
  VX= 8.659672555500373E-03 VY= 1.248029404155822E-03 VZ= 1.685076231926746E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 46.1275            ROTPER= 12.838              
   H= 8.5                  G= .150                 B-V= .726                   
                           ALBEDO= .055            STYP= Cgh                   
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.230790418188719E+00,  1.989159239959851E+00, -2.631623988273994E-02, -1.038702374770889E-02, -5.898973809433635E-03, -1.456260157675816E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.282364883306934E+00,  1.959094464488410E+00, -3.358927644142587E-02, -1.024185037251307E-02, -6.126237394121934E-03, -1.452816708174322E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.333199933843126E+00,  1.927903988825008E+00, -4.084303644353419E-02, -1.009128433694885E-02, -6.349227546199252E-03, -1.448550979690324E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.383269007266919E+00,  1.895609568896806E+00, -4.807343099441474E-02, -9.935486822902618E-03, -6.567790034473367E-03, -1.443472137214092E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.432546359683836E+00,  1.862233712497786E+00, -5.527641946627480E-02, -9.774624028003149E-03, -6.781778376812550E-03, -1.437590316145001E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.481007089785681E+00,  1.827799640069330E+00, -6.244801425302809E-02, -9.608866713178038E-03, -6.991054024406177E-03, -1.430916583039167E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.528627160522437E+00,  1.792331244639426E+00, -6.958428532329634E-02, -9.438389743817523E-03, -7.195486514320985E-03, -1.423462894113976E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.575383418467449E+00,  1.755853051073892E+00, -7.668136456012022E-02, -9.263371626532433E-03, -7.394953592440114E-03, -1.415242051434921E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.621253610864624E+00,  1.718390174786020E+00, -8.373544987649276E-02, -9.083994045942118E-03, -7.589341306907030E-03, -1.406267657170129E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.666216400366404E+00,  1.679968280056182E+00, -9.074280909871299E-02, -8.900441404433775E-03, -7.778544070556204E-03, -1.396554066542634E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.710251377480015E+00,  1.640613538116371E+00, -9.769978361184249E-02, -8.712900365883207E-03, -7.962464692746307E-03, -1.386116339736691E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.753339070745199E+00,  1.600352585148694E+00, -1.046027917623100E-01, -8.521559404854603E-03, -8.141014382210161E-03, -1.374970192877670E-03,
