*******************************************************************************
JPL/HORIZONS                39 Laetitia (A856 CA)          2020-Jun-20 07:57:37
Rec #:      39 (+COV) Soln.date: 2020-Jan-28_17:13:02   # obs: 5850 (1856-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2450840.5 ! 1998-Jan-27.00 (TDB)         Residual RMS= .36372
   EC= .1116898707651787   QR= 2.459772504534127   TP= 2450454.9143561842
   OM= 157.2509688488495   W=  208.2096706966147   IN= 10.37019910879749
   A= 2.769047006874663    MA= 82.47635081332039   ADIST= 3.078321509215199
   PER= 4.60791            N= .213898909           ANGMOM= .028445969
   DAN= 3.03303            DDN= 2.48948            L= 5.069369
   B= -4.8811711           MOID= 1.45968997        TP= 1997-Jan-06.4143561842
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 89.742             ROTPER= 5.138
   H= 6.1                  G= .150                 B-V= .898
                           ALBEDO= .269            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#106, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:57:37 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 39 Laetitia (A856 CA)           {source: JPL#106}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2450840.5 ! 1998-Jan-27.00 (TDB)         Residual RMS= .36372        
   EC= .1116898707651787   QR= 2.459772504534127   TP= 2450454.9143561842      
   OM= 157.2509688488495   W=  208.2096706966147   IN= 10.37019910879749       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-5.300873217065412E-01  Y= 2.623584640631071E+00  Z= 6.854379395171439E-01
  VX=-1.030068308988534E-02 VY=-9.922925127632245E-04 VZ= 4.954726546805586E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 89.742             ROTPER= 5.138               
   H= 6.1                  G= .150                 B-V= .898                   
                           ALBEDO= .269            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.340696168946952E+00,  7.060007194078513E-01, -2.816279695894136E-01, -3.258051724912840E-03,  1.099435730451099E-02, -1.633332777636176E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.323824591287223E+00,  7.607920688560945E-01, -2.897237307737246E-01, -3.490238124683230E-03,  1.092129124330976E-02, -1.604844574227663E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.305797322950057E+00,  8.152047754347020E-01, -2.976751621234214E-01, -3.720303474012114E-03,  1.084291150368652E-02, -1.575604466924643E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.286625334475620E+00,  8.692124450513679E-01, -3.054785589825706E-01, -3.948102172639586E-03,  1.075928861919479E-02, -1.545634503086059E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.266320316511878E+00,  9.227890483528141E-01, -3.131303284268554E-01, -4.173491811269083E-03,  1.067049792495444E-02, -1.514957321103024E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.244894663366119E+00,  9.759089443210854E-01, -3.206269921146755E-01, -4.396333367016021E-03,  1.057661939151368E-02, -1.483596108669280E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.222361455609868E+00,  1.028546903015451E+00, -3.279651889282482E-01, -4.616491386642107E-03,  1.047773744907187E-02, -1.451574560529561E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.198734441795753E+00,  1.080678127410422E+00, -3.351416774018622E-01, -4.833834158811622E-03,  1.037394080182424E-02, -1.418916835536866E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.174028019338465E+00,  1.132278274283679E+00, -3.421533379332243E-01, -5.048233876173163E-03,  1.026532223389573E-02, -1.385647512836250E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.148257214612098E+00,  1.183323474116349E+00, -3.489971747738828E-01, -5.259566786555426E-03,  1.015197840860307E-02, -1.351791547361539E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.121437662320806E+00,  1.233790349975731E+00, -3.556703177961026E-01, -5.467713332291601E-03,  1.003400966235929E-02, -1.317374224979109E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.093585584204268E+00,  1.283656035356285E+00, -3.621700240353113E-01, -5.672558276843509E-03,  9.911519794219946E-03, -1.282421117627976E-03,
