*******************************************************************************
JPL/HORIZONS                 41 Daphne (A856 KA)           2020-Jun-20 07:59:11
Rec #:      41 (+COV) Soln.date: 2020-Feb-22_15:15:30   # obs: 2802 (1866-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453255.5 ! 2004-Sep-07.00 (TDB)         Residual RMS= .18714
   EC= .2717020340736521   QR= 2.013868647716624   TP= 2452944.9999618703
   OM= 178.1732344615275   W=  46.129911683464     IN= 15.7671422364061
   A= 2.76517131989393     MA= 66.55530317435287   ADIST= 3.516473992071236
   PER= 4.59824            N= .21434877            ANGMOM= .027528953
   DAN= 2.15522            DDN= 3.15514            L= 223.204731
   B= 11.2968679           MOID= 1.04007995        TP= 2003-Nov-01.4999618703
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 102.7475           ROTPER= 5.988
   H= 7.4                  G= .100                 B-V= .726
                           ALBEDO= .059            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#129, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:59:12 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 41 Daphne (A856 KA)             {source: JPL#129}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453255.5 ! 2004-Sep-07.00 (TDB)         Residual RMS= .18714        
   EC= .2717020340736521   QR= 2.013868647716624   TP= 2452944.9999618703      
   OM= 178.1732344615275   W=  46.129911683464     IN= 15.7671422364061        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.103580670596742E+00  Y=-1.611269716710005E+00  Z=-2.356597249781450E-01
  VX= 8.621553532971187E-03 VY= 6.365032505261404E-03 VZ= 7.829379016486060E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 102.7475           ROTPER= 5.988               
   H= 7.4                  G= .100                 B-V= .726                   
                           ALBEDO= .059            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.191025748526740E+00,  2.632742206798772E+00, -7.573934332924290E-01, -6.362838597262950E-03,  4.477807247976589E-03, -1.221255121266034E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.159024444767680E+00,  2.654904289791399E+00, -7.634344093346874E-01, -6.437518784327994E-03,  4.386875437365238E-03, -1.195093873374246E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.126652206751249E+00,  2.676609456383240E+00, -7.693439579283680E-01, -6.511211320761593E-03,  4.295040747723253E-03, -1.168684165304309E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.093913987673091E+00,  2.697853192943283E+00, -7.751208370875912E-01, -6.583910179180454E-03,  4.202303457512145E-03, -1.142026115703808E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.060814771627548E+00,  2.718630986828815E+00, -7.807638053105499E-01, -6.655609026305800E-03,  4.108663684367062E-03, -1.115119799786232E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.027359575154778E+00,  2.738938325593011E+00, -7.862716213657345E-01, -6.726301215918916E-03,  4.014121389818821E-03, -1.087965250679632E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.993553448823196E+00,  2.758770696216929E+00, -7.916430440849589E-01, -6.795979781707563E-03,  3.918676384371893E-03, -1.060562460837946E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.959401478848859E+00,  2.778123584367775E+00, -7.968768321639412E-01, -6.864637429608904E-03,  3.822328332873824E-03, -1.032911383646192E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.924908788754264E+00,  2.796992473683868E+00, -8.019717439711213E-01, -6.932266529747538E-03,  3.725076759786494E-03, -1.005011935081722E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.890080541067960E+00,  2.815372845085534E+00, -8.069265373646721E-01, -6.998859108193814E-03,  3.626921054294714E-03, -9.768639953243296E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.854921939065687E+00,  2.833260176111354E+00, -8.117399695174272E-01, -7.064406838593294E-03,  3.527860475353213E-03, -9.484674103139211E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.819438228553716E+00,  2.850649940279603E+00, -8.164107967494869E-01, -7.128901033660823E-03,  3.427894156730170E-03, -9.198219932674287E-04,
