*******************************************************************************
JPL/HORIZONS                 49 Pales (A857 SB)            2020-Jun-20 08:00:42
Rec #:      49 (+COV) Soln.date: 2020-May-20_00:57:14   # obs: 2783 (1863-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454637.5 ! 2008-Jun-20.00 (TDB)         Residual RMS= .35174
   EC= .2311710480272163   QR= 2.376505990873827   TP= 2455271.6391400606
   OM= 286.1301009402247   W=  110.0159478078177   IN= 3.181476116785264
   A= 3.091072448267992    MA= 244.9928458315242   ADIST= 3.805638905662157
   PER= 5.43466            N= .18135949            ANGMOM= .029424568
   DAN= 3.17729            DDN= 2.71135            L= 36.1744875
   B= 2.9891264            MOID= 1.38659           TP= 2010-Mar-16.1391400606
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 83.126             ROTPER= 20.705
   H= 7.8                  G= .150                 B-V= .749
                           ALBEDO= .048            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#82, OCC=0
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:00:42 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 49 Pales (A857 SB)              {source: JPL#82}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454637.5 ! 2008-Jun-20.00 (TDB)         Residual RMS= .35174        
   EC= .2311710480272163   QR= 2.376505990873827   TP= 2455271.6391400606      
   OM= 286.1301009402247   W=  110.0159478078177   IN= 3.181476116785264       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-5.937767105334970E-01  Y=-3.137852699372973E+00  Z=-1.453167770789249E+00
  VX= 8.526970630940090E-03 VY=-3.041786281256318E-05 VZ= 4.858533819538506E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 83.126             ROTPER= 20.705              
   H= 7.8                  G= .150                 B-V= .749                   
                           ALBEDO= .048            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -3.156075752819305E+00, -2.093636765214388E+00, -2.014010392054185E-01,  4.122400940192298E-03, -6.569145593510427E-03,  1.134598726946105E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.135251148304196E+00, -2.126339995976384E+00, -2.008200830280266E-01,  4.207337348959519E-03, -6.512006239102806E-03,  1.189192777147885E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -3.114003416857523E+00, -2.158755425906641E+00, -2.002118798079093E-01,  4.291651238781813E-03, -6.454025860914593E-03,  1.243586549080260E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.092335678241793E+00, -2.190878858775474E+00, -1.995765302084954E-01,  4.375339730991992E-03, -6.395207992257766E-03,  1.297777943214173E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -3.070251066788776E+00, -2.222706115686110E+00, -1.989141359466786E-01,  4.458399876032434E-03, -6.335556033379984E-03,  1.351764844874613E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.047752731761697E+00, -2.254233034415334E+00, -1.982247998009013E-01,  4.540828650367542E-03, -6.275073253864624E-03,  1.405545122205893E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.024843837732818E+00, -2.285455468766342E+00, -1.975086256202774E-01,  4.622622953398220E-03, -6.213762795113383E-03,  1.459116623985028E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -3.001527564976672E+00, -2.316369287934194E+00, -1.967657183348598E-01,  4.703779604270652E-03, -6.151627672895603E-03,  1.512477177301912E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.977807109879514E+00, -2.346970375883976E+00, -1.959961839670527E-01,  4.784295338607704E-03, -6.088670779861693E-03,  1.565624585285381E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.953685685365078E+00, -2.377254630741275E+00, -1.952001296441314E-01,  4.864166805255699E-03, -6.024894887960532E-03,  1.618556624988211E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.929166521336471E+00, -2.407217964194576E+00, -1.943776636117817E-01,  4.943390563091802E-03, -5.960302650788739E-03,  1.671271045388906E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.904252865133874E+00, -2.436856300909308E+00, -1.935288952486239E-01,  5.021963077893333E-03, -5.894896605914368E-03,  1.723765565435733E-04,
