*******************************************************************************
JPL/HORIZONS                50 Virginia (A857 TA)          2020-Jun-20 08:00:51
Rec #:      50 (+COV) Soln.date: 2020-May-20_00:57:13   # obs: 3181 (1857-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454981.5 ! 2009-May-30.00 (TDB)         Residual RMS= .32155
   EC= .2837557612801498   QR= 1.899277456338859   TP= 2454753.9660978019
   OM= 173.6269303790184   W=  200.1068293866482   IN= 2.832300736128189
   A= 2.651717603667507    MA= 51.93489779830115   ADIST= 3.404157750996156
   PER= 4.31816            N= .228251245           ANGMOM= .026860671
   DAN= 3.3239             DDN= 1.92521            L= 13.7111723
   B= -.9733152            MOID= .899544           TP= 2008-Oct-14.4660978019
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 42.037             ROTPER= 14.315
   H= 9.2                  G= .150                 B-V= .703
                           ALBEDO= .050            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#110, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:00:51 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 50 Virginia (A857 TA)           {source: JPL#110}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454981.5 ! 2009-May-30.00 (TDB)         Residual RMS= .32155        
   EC= .2837557612801498   QR= 1.899277456338859   TP= 2454753.9660978019      
   OM= 173.6269303790184   W=  200.1068293866482   IN= 2.832300736128189       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.753396439952641E-01  Y= 2.189701868221239E+00  Z= 8.257357487035049E-01
  VX=-1.168347290032475E-02 VY= 1.614556671210245E-03 VZ= 6.761311662595283E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 42.037             ROTPER= 14.315              
   H= 9.2                  G= .150                 B-V= .703                   
                           ALBEDO= .050            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.337740136392813E+00, -1.712678470701695E+00,  7.713142909988817E-02,  7.993434026253196E-03,  9.832528642921693E-03, -5.219692042584189E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.377218238933837E+00, -1.662899551918217E+00,  7.449386840517827E-02,  7.796200451166531E-03,  1.007863855953484E-02, -5.330273225034478E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.415685969733778E+00, -1.611896430033086E+00,  7.180145066958457E-02,  7.589264739797518E-03,  1.032214085227544E-02, -5.439085340805943E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.453094523931745E+00, -1.559683195263413E+00,  6.905511346431113E-02,  7.372512224111407E-03,  1.056261136670150E-02, -5.545914767080335E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.489394570142590E+00, -1.506276108025561E+00,  6.625590335559758E-02,  7.145847316908547E-03,  1.079960624444804E-02, -5.650539196562193E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.524536351238255E+00, -1.451693696289463E+00,  6.340498016363348E-02,  6.909195674203241E-03,  1.103266242239886E-02, -5.752727987701412E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.558469796100149E+00, -1.395956849924620E+00,  6.050362102011890E-02,  6.662506418483113E-03,  1.126129834012317E-02, -5.852242621496502E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.591144642603401E+00, -1.339088910948862E+00,  5.755322416900565E-02,  6.405754404992429E-03,  1.148501487428326E-02, -5.948837273150277E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.622510571996819E+00, -1.281115758502190E+00,  5.455531245130456E-02,  6.138942509863386E-03,  1.170329651687975E-02, -6.042259505200943E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.652517354726436E+00, -1.222065887287227E+00,  5.151153641164227E-02,  5.862103914904190E-03,  1.191561281283655E-02, -6.132251088427311E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.681115007615294E+00, -1.161970478144167E+00,  4.842367696124696E-02,  5.575304360220422E-03,  1.212142007071359E-02, -6.218548956001702E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.708253962159789E+00, -1.100863459365543E+00,  4.529364752972985E-02,  5.278644332632866E-03,  1.232016335765657E-02, -6.300886294592277E-04,
