*******************************************************************************
JPL/HORIZONS                 61 Danae (A860 RC)            2020-Jun-20 08:03:18
Rec #:      61 (+COV) Soln.date: 2020-May-20_00:57:26   # obs: 3157 (1865-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455204.5 ! 2010-Jan-08.00 (TDB)         Residual RMS= .38566
   EC= .169037417097216    QR= 2.479219742608151   TP= 2455302.8577263793
   OM= 333.7672737396657   W=  13.4509672070808    IN= 18.22588924002939
   A= 2.983551598614158    MA= 341.1889851891932   ADIST= 3.487883454620165
   PER= 5.15357            N= .191251008           ANGMOM= .029285535
   DAN= 2.48909            DDN= 3.46853            L= 346.566198
   B= 4.1721287            MOID= 1.47405005        TP= 2010-Apr-16.3577263793
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 42.9685            ROTPER= 11.45
   H= 7.5                  G= .150                 B-V= .852
                           ALBEDO= .203            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#41, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:03:18 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 61 Danae (A860 RC)              {source: JPL#41}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455204.5 ! 2010-Jan-08.00 (TDB)         Residual RMS= .38566        
   EC= .169037417097216    QR= 2.479219742608151   TP= 2455302.8577263793      
   OM= 333.7672737396657   W=  13.4509672070808    IN= 18.22588924002939       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.959398688529796E+00  Y=-1.370089627808931E+00  Z=-7.888718865411449E-01
  VX= 6.530379317107884E-03 VY= 6.790644322286917E-03 VZ= 6.864951829788680E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 42.9685            ROTPER= 11.45               
   H= 7.5                  G= .150                 B-V= .852                   
                           ALBEDO= .203            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.182366889649200E+00,  1.224833175017930E+00,  6.737772666624786E-01, -4.923569945840973E-03,  1.001051767299165E-02,  2.271892505141385E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.157286841441858E+00,  1.274621481177039E+00,  6.849923811942520E-01, -5.107881269604063E-03,  9.904221359201167E-03,  2.214060833288961E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.131293810676299E+00,  1.323869648795656E+00,  6.959169858907829E-01, -5.288752525722192E-03,  9.794481182405196E-03,  2.155695682613787E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.104405150201564E+00,  1.372560743026196E+00,  7.065485196153537E-01, -5.466123535761099E-03,  9.681411038842042E-03,  2.096839470954514E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.076638501426923E+00,  1.420678399958297E+00,  7.168846319972644E-01, -5.639939042450607E-03,  9.565125370867960E-03,  2.037534077731131E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.048011769898591E+00,  1.468206828812357E+00,  7.269231806059783E-01, -5.810148634967477E-03,  9.445738953629228E-03,  1.977820791163192E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.018543101276159E+00,  1.515130813088741E+00,  7.366622278725089E-01, -5.976706663709877E-03,  9.323366690579919E-03,  1.917740259954038E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.988250857760257E+00,  1.561435710715029E+00,  7.461000377794127E-01, -6.139572145336059E-03,  9.198123417070601E-03,  1.857332448900536E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.957153595015233E+00,  1.607107453231126E+00,  7.552350723371233E-01, -6.298708659994915E-03,  9.070123711997335E-03,  1.796636597768639E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.925270039622612E+00,  1.652132544054230E+00,  7.640659878627251E-01, -6.454084241915210E-03,  8.939481718210683E-03,  1.735691183418064E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.892619067096818E+00,  1.696498055868864E+00,  7.725916310777379E-01, -6.605671264010423E-03,  8.806310972193329E-03,  1.674533885298092E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.859219680491481E+00,  1.740191627189132E+00,  7.808110350419680E-01, -6.753446317156022E-03,  8.670724243316072E-03,  1.613201554387705E-03,
