*******************************************************************************
JPL/HORIZONS                 80 Sappho (A864 JA)           2020-Jun-20 08:06:17
Rec #:      80 (+COV) Soln.date: 2020-May-20_00:57:44   # obs: 2594 (1865-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454483.5 ! 2008-Jan-18.00 (TDB)         Residual RMS= .33547
   EC= .199804700374546    QR= 1.837070204830132   TP= 2454443.6751233009
   OM= 218.807681200886    W=  139.2230725312849   IN= 8.662320400148666
   A= 2.295777300479028    MA= 11.28402078753754   ADIST= 2.754484396127924
   PER= 3.47859            N= .283341002           ANGMOM= .025538748
   DAN= 2.59707            DDN= 1.91446            L= 358.3555688
   B= 5.645098             MOID= .84393501         TP= 2007-Dec-09.1751233009
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 34.2815            ROTPER= 14.03
   H= 8.                   G= .150                 B-V= .901
                           ALBEDO= .206            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#42, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:06:17 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 80 Sappho (A864 JA)             {source: JPL#42}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454483.5 ! 2008-Jan-18.00 (TDB)         Residual RMS= .33547        
   EC= .199804700374546    QR= 1.837070204830132   TP= 2454443.6751233009      
   OM= 218.807681200886    W=  139.2230725312849   IN= 8.662320400148666       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.780677463346464E+00  Y= 4.072281300507010E-01  Z= 2.981694608383058E-01
  VX=-2.872306194745281E-03 VY= 1.302125222534692E-02 VZ= 3.614591241909720E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 34.2815            ROTPER= 14.03               
   H= 8.                   G= .150                 B-V= .901                   
                           ALBEDO= .206            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.613039503542632E+00, -9.168595375896323E-01,  2.629687953347341E-01,  5.906939141253536E-03,  1.232741572071189E-02, -8.846071046079329E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.641656844388792E+00, -8.547139824873770E-01,  2.583975102366264E-01,  5.538395511582454E-03,  1.252873895485399E-02, -9.438172881878819E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.668407868407829E+00, -7.915932912204929E-01,  2.535316153596144E-01,  5.160499182738583E-03,  1.271737712270746E-02, -1.002431687351153E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.693247149629830E+00, -7.275622630552584E-01,  2.483743804172992E-01,  4.773792305041553E-03,  1.289278518638454E-02, -1.060333833842818E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.716132078623142E+00, -6.626883511401184E-01,  2.429296592266856E-01,  4.378859066807195E-03,  1.305444728123236E-02, -1.117406658045594E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.737023068179544E+00, -5.970415069726431E-01,  2.372018911397938E-01,  3.976323821495250E-03,  1.320188056321056E-02, -1.173533123436423E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.755883748574008E+00, -5.306940059641028E-01,  2.311960992424752E-01,  3.566848791249262E-03,  1.333463891368122E-02, -1.228596884183900E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.772681150301452E+00, -4.637202549464498E-01,  2.249178852216603E-01,  3.151131356540778E-03,  1.345231644884758E-02, -1.282482958928259E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.787385872263789E+00, -3.961965827301225E-01,  2.183734208393912E-01,  2.729900950367572E-03,  1.355455078134879E-02, -1.335078412955907E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.799972233491812E+00, -3.282010150790761E-01,  2.115694359918199E-01,  2.303915582895768E-03,  1.364102598367107E-02, -1.386273040668371E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.810418406633832E+00, -2.598130357120282E-01,  2.045132033725499E-01,  1.873958029649211E-03,  1.371147520686146E-02, -1.435960039943556E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.818706531626748E+00, -1.911133351602863E-01,  1.972125198026167E-01,  1.440831723596147E-03,  1.376568291261219E-02, -1.484036669642240E-03,
