*******************************************************************************
JPL/HORIZONS                82 Alkmene (A864 WA)           2020-Jun-20 08:06:34
Rec #:      82 (+COV) Soln.date: 2020-Jan-28_17:13:57   # obs: 2994 (1864-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454411.5 ! 2007-Nov-07.00 (TDB)         Residual RMS= .31902
   EC= .2242779492045615   QR= 2.140799614300348   TP= 2454419.1877076481
   OM= 25.6290562617381    W=  110.3610366274401   IN= 2.832926716925888
   A= 2.759750882555338    MA= 358.347292066052    ADIST= 3.378702150810327
   PER= 4.58472            N= .214980585           ANGMOM= .027848991
   DAN= 2.84277            DDN= 2.43122            L= 136.012958
   B= 2.6557909            MOID= 1.15576994        TP= 2007-Nov-14.6877076481
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 28.8105            ROTPER= 12.999
   H= 8.2                  G= .280                 B-V= .814
                           ALBEDO= .167            STYP= Sq
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:06:34 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 82 Alkmene (A864 WA)            {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454411.5 ! 2007-Nov-07.00 (TDB)         Residual RMS= .31902        
   EC= .2242779492045615   QR= 2.140799614300348   TP= 2454419.1877076481      
   OM= 25.6290562617381    W=  110.3610366274401   IN= 2.832926716925888       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.467792412373206E+00  Y= 1.387241646423773E+00  Z= 7.113374311570688E-01
  VX=-9.389127282918993E-03 VY=-8.176293190651178E-03 VZ=-3.763403752316232E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 28.8105            ROTPER= 12.999              
   H= 8.2                  G= .280                 B-V= .814                   
                           ALBEDO= .167            STYP= Sq                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  3.164653621409137E+00, -6.055647661820471E-01, -9.722346646927367E-02,  3.725174898445960E-04,  8.753720649708526E-03,  3.803754929233451E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  3.166165043527251E+00, -5.617304091580098E-01, -9.531086534649795E-02,  2.318973659222888E-04,  8.779723772564767E-03,  3.846551202196893E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.166971060622349E+00, -5.177705333989208E-01, -9.337701468423419E-02,  9.035658626679536E-05,  8.803923908656502E-03,  3.888750960152323E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  3.167067086302876E+00, -4.736942178986104E-01, -9.142221596094567E-02, -5.209803295102245E-05,  8.826295326849309E-03,  3.930341258113659E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  3.166448569198102E+00, -4.295106719221935E-01, -8.944677722013729E-02, -1.954592955131470E-04,  8.846811648039583E-03,  3.971308779246430E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  3.165110994920320E+00, -3.852292382717217E-01, -8.745101325877888E-02, -3.397196001617800E-04,  8.865445834838077E-03,  4.011639824824653E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.163049888154876E+00, -3.408593966033547E-01, -8.543524582084044E-02, -4.848709145102516E-04,  8.882170181289253E-03,  4.051320303797729E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.160260814882887E+00, -2.964107667954157E-01, -8.339980379614373E-02, -6.309047480560215E-04,  8.896956302846299E-03,  4.090335721991595E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  3.156739384741582E+00, -2.518931123655697E-01, -8.134502342466099E-02, -7.778121240547857E-04,  8.909775126744748E-03,  4.128671171142376E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.152481253528798E+00, -2.073163439353002E-01, -7.927124850631820E-02, -9.255835499545275E-04,  8.920596882688290E-03,  4.166311317849985E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.147482125859066E+00, -1.626905227404312E-01, -7.717883061634619E-02, -1.074208986328381E-03,  8.929391093730922E-03,  4.203240392428104E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  3.141737757978698E+00, -1.180258641868256E-01, -7.506812932623591E-02, -1.223677814353353E-03,  8.936126567326848E-03,  4.239442177633737E-04,
