*******************************************************************************
JPL/HORIZONS                83 Beatrix (A865 HA)           2020-Jun-20 08:06:48
Rec #:      83 (+COV) Soln.date: 2020-May-20_00:57:44   # obs: 2644 (1865-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455413.5 ! 2010-Aug-05.00 (TDB)         Residual RMS= .32365
   EC= .08087921824017597  QR= 2.236040302209896   TP= 2454941.1157935057
   OM= 27.77815570952036   W=  167.5453249925195   IN= 4.965534550887154
   A= 2.432803551594807    MA= 122.6983948593233   ADIST= 2.629566800979719
   PER= 3.79462            N= .259742789           ANGMOM= .026742982
   DAN= 2.62413            DDN= 2.23998            L= 195.368773
   B= 1.0696247            MOID= 1.23460996        TP= 2009-Apr-19.6157935057
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 55.2515            ROTPER= 10.16
   H= 8.8                  G= .150                 B-V= .704
                           ALBEDO= .050            STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#105, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:06:48 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 83 Beatrix (A865 HA)            {source: JPL#105}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455413.5 ! 2010-Aug-05.00 (TDB)         Residual RMS= .32365        
   EC= .08087921824017597  QR= 2.236040302209896   TP= 2454941.1157935057      
   OM= 27.77815570952036   W=  167.5453249925195   IN= 4.965534550887154       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.094656614986460E+00  Y=-1.243789256876779E+00  Z=-7.523777541727936E-01
  VX= 6.527753685794018E-03 VY= 7.404705454466151E-03 VZ= 3.611813366136032E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 55.2515            ROTPER= 10.16               
   H= 8.8                  G= .150                 B-V= .704                   
                           ALBEDO= .050            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.541745728232927E+00,  7.177461950506080E-01, -4.941013150916678E-02, -2.746357155732592E-03,  9.723437624913758E-03,  8.616589577071271E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.527503049146472E+00,  7.662155067832093E-01, -4.509217237881210E-02, -2.950527841537491E-03,  9.663634156509933E-03,  8.654667128051724E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.512242367676490E+00,  8.143760216684905E-01, -4.075604522798116E-02, -3.153547813778487E-03,  9.599921732971431E-03,  8.689259608737827E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.495969591781944E+00,  8.622082379675675E-01, -3.640349563999087E-02, -3.355355323119893E-03,  9.532317635711021E-03,  8.720354880751584E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.478690938080154E+00,  9.096927413570001E-01, -3.203627518602387E-02, -3.555888651851654E-03,  9.460839551146061E-03,  8.747941130829046E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.460412931744631E+00,  9.568102069800779E-01, -2.765614126267927E-02, -3.755086091392925E-03,  9.385505581459772E-03,  8.772006870658360E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.441142406516995E+00,  1.003541401554691E+00, -2.326485692933124E-02, -3.952885919258660E-03,  9.306334256270390E-03,  8.792540937569722E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.420886504832687E+00,  1.049867185540090E+00, -1.886419074512896E-02, -4.149226376847103E-03,  9.223344544526817E-03,  8.809532495284493E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.399652678053388E+00,  1.095768515364781E+00, -1.445591660550350E-02, -4.344045648995442E-03,  9.136555867210345E-03,  8.822971035261558E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.377448686797795E+00,  1.141226445721509E+00, -1.004181357773483E-02, -4.537281844982115E-03,  9.045988111552375E-03,  8.832846379161496E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.354282601365004E+00,  1.186222131937849E+00, -5.623665734966119E-03, -4.728872980391255E-03,  8.951661647088735E-03,  8.839148682616559E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.330162802247424E+00,  1.230736832431801E+00, -1.203261987980057E-03, -4.918756959372072E-03,  8.853597343592491E-03,  8.841868440423502E-04,
