*******************************************************************************
JPL/HORIZONS                 86 Semele (A866 AA)           2020-Jun-20 08:07:16
Rec #:      86 (+COV) Soln.date: 2020-May-20_00:58:15   # obs: 3045 (1871-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455193.5 ! 2009-Dec-28.00 (TDB)         Residual RMS= .32403
   EC= .2084026267215113   QR= 2.465362575235047   TP= 2454631.7680848837
   OM= 86.44581653309008   W=  308.1356385591632   IN= 4.820936707727886
   A= 3.114414800322635    MA= 100.7322399462602   ADIST= 3.763467025410224
   PER= 5.49633            N= .179324397           ANGMOM= .029691195
   DAN= 2.63947            DDN= 3.41918            L= 34.6801355
   B= -3.7902035           MOID= 1.47528994        TP= 2008-Jun-14.2680848837
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 54.9645            ROTPER= 16.634
   H= 8.7                  G= .150                 B-V= .703
                           ALBEDO= .056            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#98, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:07:16 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 86 Semele (A866 AA)             {source: JPL#98}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455193.5 ! 2009-Dec-28.00 (TDB)         Residual RMS= .32403        
   EC= .2084026267215113   QR= 2.465362575235047   TP= 2454631.7680848837      
   OM= 86.44581653309008   W=  308.1356385591632   IN= 4.820936707727886       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-3.081194292014937E+00  Y= 1.088852643606495E+00  Z= 7.621928976017431E-01
  VX=-5.032296443425628E-03 VY=-7.011503216347279E-03 VZ=-2.620750280760334E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 54.9645            ROTPER= 16.634              
   H= 8.7                  G= .150                 B-V= .703                   
                           ALBEDO= .056            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.439278458067645E+00, -8.539737245541917E-01, -2.077010599644827E-01,  2.147376840172704E-03,  1.134325934394203E-02, -1.394298201269445E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.449493747730196E+00, -7.970786334018851E-01, -2.083537444751887E-01,  1.938249885578600E-03,  1.141408106446607E-02, -1.216054075229100E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.458656136559123E+00, -7.398399825733153E-01, -2.089167346322078E-01,  1.726230925793943E-03,  1.148066162133887E-02, -1.035533682235130E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.466751386171236E+00, -6.822793008336706E-01, -2.093889120923164E-01,  1.511409692055821E-03,  1.154287203705759E-02, -8.528170785701535E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.473765723016970E+00, -6.244187585298456E-01, -2.097691998877119E-01,  1.293882399077193E-03,  1.160058471424689E-02, -6.679897178703364E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.479685870969931E+00, -5.662811598117101E-01, -2.100565651357298E-01,  1.073751810770689E-03,  1.165367378906928E-02, -4.811424926256794E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.484499084196078E+00, -5.078899330544250E-01, -2.102500217652059E-01,  8.511272860314080E-04,  1.170201549726889E-02, -2.923717590112345E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.488193180198260E+00, -4.492691194205363E-01, -2.103486332507618E-01,  6.261248028832818E-04,  1.174548855205207E-02, -1.017793435231503E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.490756572925236E+00, -3.904433595058054E-01, -2.103515153456290E-01,  3.988669599741446E-04,  1.178397453242708E-02,  9.052746965104281E-06,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.492178305829192E+00, -3.314378780209503E-01, -2.102578388031544E-01,  1.694829542388894E-04,  1.181735828019151E-02,  2.844359714486699E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.492448084748845E+00, -2.722784664706064E-01, -2.100668320766168E-01, -6.189146678318622E-05,  1.184552830376497E-02,  4.798280820638868E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.491556310487654E+00, -2.129914637996384E-01, -2.097777839864010E-01, -2.951140794631323E-04,  1.186837718712236E-02,  6.765804275896669E-05,
