*******************************************************************************
JPL/HORIZONS                 94 Aurora (A867 RA)           2020-Jun-20 08:08:29
Rec #:      94 (+COV) Soln.date: 2020-May-20_00:58:15   # obs: 3928 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454677.5 ! 2008-Jul-30.00 (TDB)         Residual RMS= .25883
   EC= .08776939686403652  QR= 2.882057020488528   TP= 2454785.6787416469
   OM= 2.702411072407716   W=  59.82835012468138   IN= 7.96564538560622
   A= 3.159351386130785    MA= 341.0133168746702   ADIST= 3.436645751773042
   PER= 5.61572            N= .175512141           ANGMOM= .030457983
   DAN= 3.00256            DDN= 3.27969            L= 62.2888127
   B= 6.8808536            MOID= 1.90309           TP= 2008-Nov-15.1787416469
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 102.445            ROTPER= 7.22
   H= 7.6                  G= .150                 B-V= .663
                           ALBEDO= .0395           STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#99, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:08:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 94 Aurora (A867 RA)             {source: JPL#99}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454677.5 ! 2008-Jul-30.00 (TDB)         Residual RMS= .25883        
   EC= .08776939686403652  QR= 2.882057020488528   TP= 2454785.6787416469      
   OM= 2.702411072407716   W=  59.82835012468138   IN= 7.96564538560622        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.225714924173077E+00  Y= 1.594518256864875E+00  Z= 9.561154322952328E-01
  VX=-6.984504572000916E-03 VY= 6.676962783775662E-03 VZ= 4.128490620639737E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 102.445            ROTPER= 7.22                
   H= 7.6                  G= .150                 B-V= .663                   
                           ALBEDO= .0395           STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.221709688660164E+00,  2.583671840461780E+00,  3.506817309394540E-01, -9.481266719086235E-03,  4.652170250160449E-03,  7.515151492705619E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.174116745991303E+00,  2.606530361670071E+00,  3.543846396244531E-01, -9.555401014035927E-03,  4.491038231627761E-03,  7.296149361903140E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.126160788848455E+00,  2.628580278472258E+00,  3.579775540775276E-01, -9.626469172670033E-03,  4.328739640310969E-03,  7.075189909443170E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.077857196430908E+00,  2.649815925545670E+00,  3.614595187057003E-01, -9.694452092453525E-03,  4.165341541176523E-03,  6.852365506311254E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.029221438881591E+00,  2.670231973569149E+00,  3.648296242437742E-01, -9.759332498548153E-03,  4.000911259775828E-03,  6.627769078418470E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  9.802690681489323E-01,  2.689823430374203E+00,  3.680870080103331E-01, -9.821094943388047E-03,  3.835516321477120E-03,  6.401494020575862E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  9.310157088549417E-01,  2.708585641792565E+00,  3.712308541207329E-01, -9.879725804592116E-03,  3.669224391045653E-03,  6.173634111055852E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  8.814770491792975E-01,  2.726514292205260E+00,  3.742603936580728E-01, -9.935213280475814E-03,  3.502103213727161E-03,  5.944283428959678E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  8.316688317732919E-01,  2.743605404800006E+00,  3.771749048032649E-01, -9.987547382612700E-03,  3.334220557346088E-03,  5.713536272905421E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  7.816068447174895E-01,  2.759855341540324E+00,  3.799737129244968E-01, -1.003671992587010E-02,  3.165644154867785E-03,  5.481487079881492E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  7.313069125348384E-01,  2.775260802848853E+00,  3.826561906262301E-01, -1.008272451621061E-02,  2.996441647563413E-03,  5.248230344624075E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  6.807848872702971E-01,  2.789818827008441E+00,  3.852217577580955E-01, -1.012555653628012E-02,  2.826680528982482E-03,  5.013860539846437E-04,
