*******************************************************************************
JPL/HORIZONS                 97 Klotho (A868 DB)           2020-Jun-20 08:08:55
Rec #:      97 (+COV) Soln.date: 2020-May-20_00:58:15   # obs: 2919 (1870-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453966.5 ! 2006-Aug-19.00 (TDB)         Residual RMS= .32522
   EC= .2570080941811962   QR= 1.982603856086858   TP= 2454037.2223147075
   OM= 159.778570440763    W=  268.6776192495943   IN= 11.78309411409587
   A= 2.668405726307284    MA= 344.0087377920462   ADIST= 3.354207596527709
   PER= 4.35899            N= .226113382           ANGMOM= .027156166
   DAN= 2.50702            DDN= 2.47745            L= 68.4277448
   B= -11.779911           MOID= 1.03595996        TP= 2006-Oct-28.7223147075
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 50.3585            ROTPER= 35.15
   H= 7.8                  G= .150                 B-V= .716
                           ALBEDO= .128            STYP= M
 
ASTEROID comments: 
1: soln ref.= JPL#97, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:08:55 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 97 Klotho (A868 DB)             {source: JPL#97}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453966.5 ! 2006-Aug-19.00 (TDB)         Residual RMS= .32522        
   EC= .2570080941811962   QR= 1.982603856086858   TP= 2454037.2223147075      
   OM= 159.778570440763    W=  268.6776192495943   IN= 11.78309411409587       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.521193793501823E+00  Y= 1.331381816092382E+00  Z= 1.816487115982704E-01
  VX=-9.778204432482382E-03 VY= 8.836253840383950E-03 VZ= 2.645286618675441E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 50.3585            ROTPER= 35.15               
   H= 7.8                  G= .150                 B-V= .716                   
                           ALBEDO= .128            STYP= M                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.905255014505007E+00, -2.636763137372514E+00,  6.507400231969763E-01,  6.291353874382725E-03, -5.229976098246084E-03,  5.926656627621730E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.873606785929966E+00, -2.662645877327664E+00,  6.536375492801277E-01,  6.367688047859208E-03, -5.122997256029117E-03,  5.663379716998022E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.841580625555863E+00, -2.687991892121000E+00,  6.564033363459485E-01,  6.442527293244764E-03, -5.015287714595708E-03,  5.399703381571527E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.809183997796076E+00, -2.712797553172599E+00,  6.590371888760634E-01,  6.515875648951083E-03, -4.906857380861397E-03,  5.135644316657205E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.776424347661227E+00, -2.737059280554916E+00,  6.615389195809740E-01,  6.587736837071197E-03, -4.797715811051760E-03,  4.871218747213279E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.743309102349584E+00, -2.760773541271859E+00,  6.639083491719218E-01,  6.658114259888416E-03, -4.687872223654060E-03,  4.606442455797398E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.709845672854488E+00, -2.783936847601922E+00,  6.661453061464733E-01,  6.727010996537564E-03, -4.577335512122080E-03,  4.341330809643889E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.676041455588403E+00, -2.806545755504533E+00,  6.682496265875915E-01,  6.794429799674152E-03, -4.466114257462183E-03,  4.075898787595892E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.641903834023807E+00, -2.828596863088917E+00,  6.702211539761758E-01,  6.860373092062120E-03, -4.354216740629318E-03,  3.810161007024356E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.607440180351304E+00, -2.850086809144217E+00,  6.720597390169850E-01,  6.924842963108814E-03, -4.241650954625861E-03,  3.544131750371609E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.572657857155091E+00, -2.871012271729302E+00,  6.737652394776803E-01,  6.987841165389156E-03, -4.128424616275205E-03,  3.277824991057744E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.537564219105791E+00, -2.891369966820661E+00,  6.753375200406329E-01,  7.049369111184193E-03, -4.014545177689945E-03,  3.011254418636474E-04,
