*******************************************************************************
JPL/HORIZONS                 98 Ianthe (A868 HA)           2020-Jun-20 08:09:03
Rec #:      98 (+COV) Soln.date: 2020-Feb-22_15:17:03   # obs: 2386 (1870-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454597.5 ! 2008-May-11.00 (TDB)         Residual RMS= .25895
   EC= .1892696476563971   QR= 2.177237971632606   TP= 2454819.358435038
   OM= 354.1276733413076   W=  158.4869883313772   IN= 15.60960941701489
   A= 2.685526655488841    MA= 310.3137960109418   ADIST= 3.193815339345077
   PER= 4.40101            N= .223954535           ANGMOM= .02768054
   DAN= 3.1427             DDN= 2.20165            L= 153.3391719
   B= 5.6629038            MOID= 1.19262004        TP= 2008-Dec-18.8584350380
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 66.394             ROTPER= 16.479
   H= 8.9                  G= .150                 B-V= .749
                           ALBEDO= .029            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#78, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:09:03 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 98 Ianthe (A868 HA)             {source: JPL#78}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454597.5 ! 2008-May-11.00 (TDB)         Residual RMS= .25895        
   EC= .1892696476563971   QR= 2.177237971632606   TP= 2454819.358435038       
   OM= 354.1276733413076   W=  158.4869883313772   IN= 15.60960941701489       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.527831832324285E-01  Y= 1.869587946699323E+00  Z= 1.521348164349337E+00
  VX=-1.155145831257088E-02 VY=-3.322018585516905E-04 VZ=-6.779288498338894E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 66.394             ROTPER= 16.479              
   H= 8.9                  G= .150                 B-V= .749                   
                           ALBEDO= .029            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.184877692565955E+00,  2.530270492848826E-01,  1.323640544095245E-02, -2.122022805768550E-03, -1.193350552903935E-02, -3.372254030363036E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.194731656520236E+00,  1.932792804125147E-01, -3.627504069719792E-03, -1.819593080698432E-03, -1.196420246929461E-02, -3.372921585079709E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.203074192841077E+00,  1.333989726981306E-01, -2.048894860858550E-02, -1.517504831316245E-03, -1.198653102374407E-02, -3.371272186611053E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.209907799752397E+00,  7.342780689079137E-02, -3.733640873027098E-02, -1.216073300741712E-03, -1.200055800813703E-02, -3.367332586516388E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.215236534597183E+00,  1.340709498020883E-02, -5.415850794764708E-02, -9.156067613545280E-04, -1.200636401368729E-02, -3.361133186207761E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.219065977051966E+00, -4.662228719013180E-02, -7.094403051661764E-02, -6.164057522161380E-04, -1.200404280332800E-02, -3.352707849306334E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.221403188683668E+00, -1.066199641822690E-01, -8.768193825642641E-02, -3.187623791321811E-04, -1.199370066533528E-02, -3.342093703796894E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.222256669168186E+00, -1.665461218957197E-01, -1.043613863588719E-01, -2.295967943990673E-05, -1.197545572966625E-02, -3.329330935706499E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.221636309495471E+00, -2.263615649998491E-01, -1.209717381479684E-01,  2.707289481944204E-04, -1.194943725284354E-02, -3.314462575856741E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.219553342486388E+00, -2.860277707260356E-01, -1.375025787593218E-01,  5.620402487543157E-04, -1.191578487816794E-02, -3.297534281278959E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.216020290949710E+00, -3.455069389136174E-01, -1.539437277169274E-01,  8.507215496490078E-04, -1.187464787809179E-02, -3.278594113076546E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.211050913812598E+00, -4.047620382355683E-01, -1.702852503942084E-01,  1.136531132499613E-03, -1.182618438462914E-02, -3.257692312547810E-03,
