*******************************************************************************
JPL/HORIZONS                 106 Dione (A868 TA)           2020-Jun-20 08:14:31
Rec #:     106 (+COV) Soln.date: 2020-May-20_00:58:46   # obs: 2616 (1871-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455455.5 ! 2010-Sep-16.00 (TDB)         Residual RMS= .36566
   EC= .1680589604347137   QR= 2.639112262584654   TP= 2455236.2909375974
   OM= 62.18271935350855   W=  329.3714470605358   IN= 4.598536021999061
   A= 3.172234734283174    MA= 38.23971125085134   ADIST= 3.705357205981695
   PER= 5.6501             N= .174444021           ANGMOM= .030202491
   DAN= 2.69317            DDN= 3.60379            L= 31.6351009
   B= -2.3409537           MOID= 1.64601004        TP= 2010-Feb-08.7909375974
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 103.9345           ROTPER= 16.21
   H= 7.5                  G= .150                 B-V= .743
                           ALBEDO= .044            STYP= Cgh
 
ASTEROID comments: 
1: soln ref.= JPL#115, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:14:31 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 106 Dione (A868 TA)             {source: JPL#115}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455455.5 ! 2010-Sep-16.00 (TDB)         Residual RMS= .36566        
   EC= .1680589604347137   QR= 2.639112262584654   TP= 2455236.2909375974      
   OM= 62.18271935350855   W=  329.3714470605358   IN= 4.598536021999061       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.000221095241666E-01  Y= 2.515994742063681E+00  Z= 1.181212104539347E+00
  VX=-1.057384584248465E-02 VY= 1.892608062984967E-03 VZ= 1.739744834211497E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 103.9345           ROTPER= 16.21               
   H= 7.5                  G= .150                 B-V= .743                   
                           ALBEDO= .044            STYP= Cgh                   
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.191452413992863E+00, -2.963029900458876E+00, -1.951178592425672E-01,  8.061987639859309E-03,  5.127197721337691E-03, -3.902624978618926E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.231626242911075E+00, -2.937058951862853E+00, -1.970469883627577E-01,  8.007165642377009E-03,  5.261167102864219E-03, -3.813624839704907E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.271520267848629E+00, -2.910418404002356E+00, -1.989312170544246E-01,  7.950062109410384E-03,  5.395031705220271E-03, -3.723022550846036E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.311123022196088E+00, -2.883108867505113E+00, -2.007697432157073E-01,  7.890653497359871E-03,  5.528756654227373E-03, -3.630814092793159E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.350422922090792E+00, -2.855131130110435E+00, -2.025617628702066E-01,  7.828916453917683E-03,  5.662305975590873E-03, -3.536995991927355E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.389408267455221E+00, -2.826486162226981E+00, -2.043064704477935E-01,  7.764827851069455E-03,  5.795642572120163E-03, -3.441565352368587E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.428067243204151E+00, -2.797175122602774E+00, -2.060030590816815E-01,  7.698364819652610E-03,  5.928728201643363E-03, -3.344519888931356E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.466387920629054E+00, -2.767199364103854E+00, -2.076507209222140E-01,  7.629504785730378E-03,  6.061523455605353E-03, -3.245857961077170E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.504358258969198E+00, -2.736560439598563E+00, -2.092486474679066E-01,  7.558225508906618E-03,  6.193987738205666E-03, -3.145578607971122E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.541966107179191E+00, -2.705260107944849E+00, -2.107960299143029E-01,  7.484505122583442E-03,  6.326079246062085E-03, -3.043681584679866E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.579199205902625E+00, -2.673300340077721E+00, -2.122920595212113E-01,  7.408322176145034E-03,  6.457754948506283E-03, -2.940167399523675E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.616045189661495E+00, -2.640683325193417E+00, -2.137359279989128E-01,  7.329655679084643E-03,  6.588970568623130E-03, -2.835037352595159E-04,
