*******************************************************************************
JPL/HORIZONS               113 Amalthea (A871 EA)          2020-Jun-20 08:15:39
Rec #:     113 (+COV) Soln.date: 2020-Feb-22_15:17:25   # obs: 3024 (1871-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454823.5 ! 2008-Dec-23.00 (TDB)         Residual RMS= .40123
   EC= .0882571755929569   QR= 2.165690001455462   TP= 2455418.8101906208
   OM= 123.5715323515757   W=  78.58096153816481   IN= 5.039351437436773
   A= 2.375329910453565    MA= 199.7265872346695   ADIST= 2.584969819451667
   PER= 3.66095            N= .269226717           ANGMOM= .026408599
   DAN= 2.31635            DDN= 2.39874            L= 202.1093541
   B= 4.9393494            MOID= 1.16854           TP= 2010-Aug-10.3101906208
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 25.0685            ROTPER= 9.95
   H= 8.5                  G= .350                 B-V= .925
                           ALBEDO= .224            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#119, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:15:39 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 113 Amalthea (A871 EA)          {source: JPL#119}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454823.5 ! 2008-Dec-23.00 (TDB)         Residual RMS= .40123        
   EC= .0882571755929569   QR= 2.165690001455462   TP= 2455418.8101906208      
   OM= 123.5715323515757   W=  78.58096153816481   IN= 5.039351437436773       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.998484563847942E+00  Y= 1.564300978927761E+00  Z= 4.327420218123365E-01
  VX=-6.642712482909277E-03 VY= 7.132809471234109E-03 VZ= 3.208753160996219E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 25.0685            ROTPER= 9.95                
   H= 8.5                  G= .350                 B-V= .925                   
                           ALBEDO= .224            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -8.411503973872232E-01,  2.205958703288196E+00, -4.661589141692760E-02, -1.006234097039385E-02, -4.871340488396565E-03,  9.761828935048033E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -8.912196802487644E-01,  2.180984163146983E+00, -4.172234105936268E-02, -9.964331913736026E-03, -5.118260194217976E-03,  9.811505168323214E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -9.407832987291143E-01,  2.154778389863157E+00, -3.680526131713443E-02, -9.860072314315875E-03, -5.363806690815947E-03,  9.855931040231481E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -9.898099599728934E-01,  2.127348657758504E+00, -3.186730039214197E-02, -9.749546804615983E-03, -5.607816179027409E-03,  9.895014729869008E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.038268304789939E+00,  2.098703067422655E+00, -2.691115198570793E-02, -9.632744251549603E-03, -5.850121963475899E-03,  9.928666090805081E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.086126929328406E+00,  2.068850559996906E+00, -2.193955441534306E-02, -9.509657957017519E-03, -6.090554533192893E-03,  9.956796836056399E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.133354407751721E+00,  2.037800931026761E+00, -1.695528963729809E-02, -9.380285858678013E-03, -6.328941654013493E-03,  9.979320730528285E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.179919315920211E+00,  2.005564843817680E+00, -1.196118217050774E-02, -9.244630731376326E-03, -6.565108474985893E-03,  9.996153792902009E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.225790256085133E+00,  1.972153842226340E+00, -6.960097917788050E-03, -9.102700390704273E-03, -6.798877647321054E-03,  1.000721450406120E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.270935882603323E+00,  1.937580362829349E+00, -1.954942881766233E-03, -8.954507897285803E-03, -7.030069454497975E-03,  1.001242401969672E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.315324928670809E+00,  1.901857746411237E+00,  3.051338226718234E-03, -8.800071759877516E-03, -7.258501954717431E-03,  1.001170638803592E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.358926234067330E+00,  1.865000248706624E+00,  8.055763490518442E-03, -8.639416136558085E-03, -7.483991136900708E-03,  1.000498877334411E-03,
