*******************************************************************************
JPL/HORIZONS                116 Sirona (A871 RA)           2020-Jun-20 08:16:05
Rec #:     116 (+COV) Soln.date: 2020-May-20_00:58:47   # obs: 2816 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455583.5 ! 2011-Jan-22.00 (TDB)         Residual RMS= .38288
   EC= .1406844484703351   QR= 2.377061032912218   TP= 2455883.9236970153
   OM= 63.75618889214475   W=  94.91668324827859   IN= 3.563751931798485
   A= 2.766226014042012    MA= 295.641373311211    ADIST= 3.155390995171806
   PER= 4.60087            N= .214226193           ANGMOM= .028325942
   DAN= 2.74457            DDN= 2.67917            L= 158.6823514
   B= 3.5506218            MOID= 1.38961005        TP= 2011-Nov-18.4236970153
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.85              ROTPER= 12.028
   H= 7.8                  G= .150                 B-V= .873
                           ALBEDO= .256            STYP= Sk
 
ASTEROID comments: 
1: soln ref.= JPL#106, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:16:05 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 116 Sirona (A871 RA)            {source: JPL#106}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455583.5 ! 2011-Jan-22.00 (TDB)         Residual RMS= .38288        
   EC= .1406844484703351   QR= 2.377061032912218   TP= 2455883.9236970153      
   OM= 63.75618889214475   W=  94.91668324827859   IN= 3.563751931798485       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 5.159761079887182E-01  Y= 2.363895452410611E+00  Z= 1.071351789661889E+00
  VX=-1.076432406055006E-02 VY= 3.543830803141249E-04 VZ= 8.286705767285353E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.85              ROTPER= 12.028              
   H= 7.8                  G= .150                 B-V= .873                   
                           ALBEDO= .256            STYP= Sk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  8.361780951205583E-01,  2.554279303701613E+00,  2.153084177726644E-02, -1.046507727192548E-02,  1.903736114736024E-03,  6.413259757012381E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.836967673457511E-01,  2.563308434051184E+00,  2.473313242939874E-02, -1.052686536944726E-02,  1.707539482264871E-03,  6.395469805422385E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.309153959139549E-01,  2.571350975871626E+00,  2.792587574597001E-02, -1.058508076864246E-02,  1.509109360217074E-03,  6.375064857733733E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  6.778520539231373E-01,  2.578395894142293E+00,  3.110775595585099E-02, -1.063963960731342E-02,  1.308499236204453E-03,  6.352011949168388E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  6.245252339916031E-01,  2.584432429097312E+00,  3.427744100338949E-02, -1.069045795684082E-02,  1.105765737604986E-03,  6.326278919602502E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  5.709538483250044E-01,  2.589450112117557E+00,  3.743358297077166E-02, -1.073745192935003E-02,  9.009687082005641E-04,  6.297834494266377E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  5.171572282294937E-01,  2.593438781997255E+00,  4.057481854170691E-02, -1.078053779222741E-02,  6.941712816201818E-04,  6.266648368511141E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  4.631551230343113E-01,  2.596388601573191E+00,  4.369976950846371E-02, -1.081963208960120E-02,  4.854399530816371E-04,  6.232691296130627E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  4.089676983921050E-01,  2.598290074707581E+00,  4.680704332361722E-02, -1.085465176969290E-02,  2.748446488175218E-04,  6.195935179803438E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.546155339275049E-01,  2.599134063608768E+00,  4.989523369755567E-02, -1.088551431827031E-02,  6.245879159988937E-05,  6.156353163760435E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.001196202021400E-01,  2.598911806468490E+00,  5.296292124297218E-02, -1.091213789864939E-02, -1.516406381844571E-04,  6.113919729100652E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.455013549632410E-01,  2.597614935392975E+00,  5.600867416766924E-02, -1.093444149823147E-02, -3.673730461383719E-04,  6.068610791673855E-04,
