*******************************************************************************
JPL/HORIZONS                130 Elektra (A873 DA)          2020-Jun-20 08:18:21
Rec #:     130 (+COV) Soln.date: 2020-Feb-22_15:17:50   # obs: 3064 (1893-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454813.5 ! 2008-Dec-13.00 (TDB)         Residual RMS= .26487
   EC= .2088647837543504   QR= 2.469705064988555   TP= 2454855.4836261137
   OM= 145.4577051325791   W=  235.1871273638914   IN= 22.87350645252103
   A= 3.121723081306629    MA= 352.4977340340355   ADIST= 3.773741097624702
   PER= 5.51569            N= .17869504            ANGMOM= .029723014
   DAN= 3.38973            DDN= 2.66747            L= 18.4159788
   B= -18.6102704          MOID= 1.53436995        TP= 2009-Jan-23.9836261137
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 90.326             ROTPER= 5.225
   H= 7.1                  G= .150                 B-V= .753
                           ALBEDO= .086            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#110, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:18:21 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 130 Elektra (A873 DA)           {source: JPL#110}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454813.5 ! 2008-Dec-13.00 (TDB)         Residual RMS= .26487        
   EC= .2088647837543504   QR= 2.469705064988555   TP= 2454855.4836261137      
   OM= 145.4577051325791   W=  235.1871273638914   IN= 22.87350645252103       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.372347383663142E+00  Y= 5.161988202021528E-01  Z=-4.989323753848924E-01
  VX=-2.657061561528532E-03 VY= 1.160867924839222E-02 VZ= 1.470223693720773E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 90.326             ROTPER= 5.225               
   H= 7.1                  G= .150                 B-V= .753                   
                           ALBEDO= .086            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  8.133681576243003E-01, -2.844132344856852E+00,  8.065620655107099E-01,  8.507872148762767E-03,  3.805156366162687E-03, -3.334988966180405E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  8.558014125969027E-01, -2.824740844094833E+00,  7.897839132970855E-01,  8.464989096503594E-03,  3.951535687682872E-03, -3.376200292983545E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  8.980136054329785E-01, -2.804616098787455E+00,  7.728007971727486E-01,  8.419440145762390E-03,  4.098448467508301E-03, -3.416970843506684E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  9.399912993096271E-01, -2.783755528840513E+00,  7.556149768546081E-01,  8.371182345044833E-03,  4.245859535707749E-03, -3.457278177027226E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  9.817208423986521E-01, -2.762156734422927E+00,  7.382288258681108E-01,  8.320172652174726E-03,  4.393731947266270E-03, -3.497099209452756E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.023188367542896E+00, -2.739817504987765E+00,  7.206448347843422E-01,  8.266367986808024E-03,  4.542026923821322E-03, -3.536410205374585E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.064379792204684E+00, -2.716735828584746E+00,  7.028656144944710E-01,  8.209725286823401E-03,  4.690703795359223E-03, -3.575186771085077E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.105280818706672E+00, -2.692909901464258E+00,  6.848938995167152E-01,  8.150201568942370E-03,  4.839719941900496E-03, -3.613403848542063E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.145876934786787E+00, -2.668338137973144E+00,  6.667325513312079E-01,  8.087753993763649E-03,  4.989030735108951E-03, -3.651035710247368E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.186153414489536E+00, -2.643019180742415E+00,  6.483845617380304E-01,  8.022339935285882E-03,  5.138589479941412E-03, -3.688055955121976E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.226095319416335E+00, -2.616951911166168E+00,  6.298530562331015E-01,  7.953917055013684E-03,  5.288347356562157E-03, -3.724437505512862E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.265687500358104E+00, -2.590135460169749E+00,  6.111412973959162E-01,  7.882443380781132E-03,  5.438253362764922E-03, -3.760152605467951E-03,
