*******************************************************************************
JPL/HORIZONS                 131 Vala (A873 KA)            2020-Jun-20 08:18:29
Rec #:     131 (+COV) Soln.date: 2020-May-20_00:59:15   # obs: 3589 (1873-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456268.5 ! 2012-Dec-07.00 (TDB)         Residual RMS= .30675
   EC= .06759134529899291  QR= 2.267062990663159   TP= 2456489.5614630198
   OM= 65.69781527809131   W=  161.1643197323839   IN= 4.960642096964608
   A= 2.431404920185057    MA= 302.5313259414866   ADIST= 2.595746849706956
   PER= 3.79135            N= .259966942           ANGMOM= .026761827
   DAN= 2.58571            DDN= 2.27478            L= 226.9277383
   B= 1.5997762            MOID= 1.25715995        TP= 2013-Jul-16.0614630198
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 15.6685            ROTPER= 5.1812
   H= 9.9                  G= .150                 B-V= .829
                           ALBEDO= .246            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#69, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:18:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 131 Vala (A873 KA)              {source: JPL#69}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456268.5 ! 2012-Dec-07.00 (TDB)         Residual RMS= .30675        
   EC= .06759134529899291  QR= 2.267062990663159   TP= 2456489.5614630198      
   OM= 65.69781527809131   W=  161.1643197323839   IN= 4.960642096964608       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.235414204588224E+00  Y= 5.626294057403275E-01  Z= 4.639499162585895E-01
  VX=-2.773767016629556E-03 VY=-1.007513024355969E-02 VZ=-4.559455615314624E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 15.6685            ROTPER= 5.1812              
   H= 9.9                  G= .150                 B-V= .829                   
                           ALBEDO= .246            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.523979759074054E+00,  4.654057660025158E-01, -1.835141557796895E-01, -1.441889681938943E-03,  1.032141727350764E-02,  4.793314307475941E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.516221289632203E+00,  5.169077772616614E-01, -1.810776595562793E-01, -1.661297575975667E-03,  1.027865612090965E-02,  4.952252838099054E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.507368849950054E+00,  5.681850467931937E-01, -1.785623244801817E-01, -1.879465523623234E-03,  1.023152673844808E-02,  5.108662172457221E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.497428822705364E+00,  6.192158263109285E-01, -1.759694263806695E-01, -2.096320519911199E-03,  1.018006637521968E-02,  5.262497560102880E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.486407953020277E+00,  6.699785553117749E-01, -1.733002632033148E-01, -2.311790588055346E-03,  1.012431289143417E-02,  5.413715281818069E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.474313343381382E+00,  7.204518640739532E-01, -1.705561545010639E-01, -2.525804754862462E-03,  1.006430473575170E-02,  5.562272622834962E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.461152448685021E+00,  7.706145765450121E-01, -1.677384409387754E-01, -2.738293025437686E-03,  1.000008092369842E-02,  5.708127845771784E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.446933071407459E+00,  8.204457131238083E-01, -1.648484838111767E-01, -2.949186358767041E-03,  9.931681016927854E-03,  5.851240164273825E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.431663356893455E+00,  8.699244933426619E-01, -1.618876645735966E-01, -3.158416644720211E-03,  9.859145104182091E-03,  5.991569718299766E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.415351788757679E+00,  9.190303384599494E-01, -1.588573843847093E-01, -3.365916681764503E-03,  9.782513784552022E-03,  6.129077550663792E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.398007184397374E+00,  9.677428739749411E-01, -1.557590636608441E-01, -3.571620154657432E-03,  9.701828153093756E-03,  6.263725584131951E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.379638690617525E+00,  1.016041932076154E+00, -1.525941416417052E-01, -3.775461611709224E-03,  9.617129788563805E-03,  6.395476598646481E-04,
