*******************************************************************************
JPL/HORIZONS                168 Sibylla (A876 SA)          2020-Jun-20 08:33:30
Rec #:     168 (+COV) Soln.date: 2020-Feb-22_15:18:54   # obs: 3167 (1880-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455770.5 ! 2011-Jul-28.00 (TDB)         Residual RMS= .33651
   EC= .06876384729027524  QR= 3.143883834704825   TP= 2456489.3488699435
   OM= 206.4279177032194   W=  168.8318278736367   IN= 4.636254500641685
   A= 3.376032841462077    MA= 245.7827566555866   ADIST= 3.60818184821933
   PER= 6.20323            N= .158889086           ANGMOM= .031532294
   DAN= 3.60314            DDN= 3.14772            L= 15.2953743
   B= .89705               MOID= 2.14372993        TP= 2013-Jul-15.8488699435
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 72.683             ROTPER= 47.009
   H= 8.1                  G= .150                 B-V= .745
                           ALBEDO= .056            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#43, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:33:30 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 168 Sibylla (A876 SA)           {source: JPL#43}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455770.5 ! 2011-Jul-28.00 (TDB)         Residual RMS= .33651        
   EC= .06876384729027524  QR= 3.143883834704825   TP= 2456489.3488699435      
   OM= 206.4279177032194   W=  168.8318278736367   IN= 4.636254500641685       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-9.571596163853571E-01  Y=-3.150370350851250E+00  Z=-1.138869354809385E+00
  VX= 8.848072551792451E-03 VY=-1.952472711969070E-03 VZ=-3.457491927815884E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 72.683             ROTPER= 47.009              
   H= 8.1                  G= .150                 B-V= .745                   
                           ALBEDO= .056            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  3.121055022903535E+00, -1.001318486797604E+00,  1.899084229204588E-01,  2.733248735765697E-03,  9.237945504271414E-03, -5.545186206009109E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  3.134393709638690E+00, -9.550251998188161E-01,  1.871159901679602E-01,  2.602107277914624E-03,  9.279053482198926E-03, -5.624364717877207E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.147074932708550E+00, -9.085311214516572E-01,  1.842842400103143E-01,  2.470268046147250E-03,  9.318259789754419E-03, -5.702452390223816E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  3.159095275152961E+00, -8.618457937124538E-01,  1.814137230044061E-01,  2.337759856338639E-03,  9.355551038144729E-03, -5.779428709753828E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  3.170451464865663E+00, -8.149788243993756E-01,  1.785049999101664E-01,  2.204611832767663E-03,  9.390914304863258E-03, -5.855273379153754E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  3.181140376115316E+00, -7.679398847396621E-01,  1.755586415802620E-01,  2.070853399719957E-03,  9.424337142176982E-03, -5.929966326307027E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.191159031024235E+00, -7.207387069951440E-01,  1.725752288452106E-01,  1.936514272913462E-03,  9.455807585336385E-03, -6.003487713479295E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.200504601003397E+00, -6.733850820270845E-01,  1.695553523938496E-01,  1.801624450589102E-03,  9.485314160660634E-03, -6.075817946683712E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  3.209174408142362E+00, -6.258888568207793E-01,  1.664996126491528E-01,  1.666214204415878E-03,  9.512845893536407E-03, -6.146937684856329E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.217165926553557E+00, -5.782599319706534E-01,  1.634086196395664E-01,  1.530314070345184E-03,  9.538392316197400E-03, -6.216827848592084E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.224476783670675E+00, -5.305082591272319E-01,  1.602829928660729E-01,  1.393954839380702E-03,  9.561943475184610E-03, -6.285469628530069E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  3.231104761500499E+00, -4.826438384076583E-01,  1.571233611651082E-01,  1.257167548166067E-03,  9.583489938469782E-03, -6.352844493584731E-04,
