*******************************************************************************
JPL/HORIZONS                 176 Iduna (A877 TB)           2020-Jun-20 08:35:04
Rec #:     176 (+COV) Soln.date: 2020-Feb-22_15:19:36   # obs: 3024 (1877-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455091.5 ! 2009-Sep-17.00 (TDB)         Residual RMS= .28208
   EC= .1655480994072951   QR= 2.661300704034594   TP= 2454559.2088774773
   OM= 200.7046587662569   W=  186.9198100539128   IN= 22.58075638010772
   A= 3.18927993590079     MA= 92.11160208548698   ADIST= 3.717259167766986
   PER= 5.6957             N= .173047409           ANGMOM= .030296574
   DAN= 3.71189            DDN= 2.66406            L= 27.0985735
   B= -2.6515984           MOID= 1.66551006        TP= 2008-Apr-02.7088774773
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 53.488             ROTPER= 11.2877
   H= 8.2                  G= .150                 B-V= n.a.
                           ALBEDO= .065            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#47, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:35:04 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 176 Iduna (A877 TB)             {source: JPL#47}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455091.5 ! 2009-Sep-17.00 (TDB)         Residual RMS= .28208        
   EC= .1655480994072951   QR= 2.661300704034594   TP= 2454559.2088774773      
   OM= 200.7046587662569   W=  186.9198100539128   IN= 22.58075638010772       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.377163125844463E+00  Y= 2.267228561969740E+00  Z=-2.395515870446624E-01
  VX=-7.335566587496379E-03 VY=-5.621364210253393E-03 VZ=-1.220170480564319E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 53.488             ROTPER= 11.2877             
   H= 8.2                  G= .150                 B-V= n.a.                   
                           ALBEDO= .065            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.383116580958388E+00,  2.564405190274466E+00, -1.211304989910506E+00, -9.225627275981073E-03, -3.013252076328751E-03, -2.479641738741389E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.429080260311282E+00,  2.549038797654787E+00, -1.212402682099959E+00, -9.159574285607317E-03, -3.133024173951968E-03, -1.911802903237024E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.474709657858367E+00,  2.533077759512627E+00, -1.213217475394151E+00, -9.091921699060567E-03, -3.251109712427060E-03, -1.348059408605111E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.519996882235305E+00,  2.516530516559921E+00, -1.213751436989315E+00, -9.022712049845980E-03, -3.367505659486023E-03, -7.884886614058738E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.564934253043996E+00,  2.499405522687460E+00, -1.214006671751289E+00, -8.951987190053905E-03, -3.482209769744140E-03, -2.331639560499522E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.609514297432951E+00,  2.481711241121491E+00, -1.213985320193223E+00, -8.879788285515590E-03, -3.595220548431830E-03,  3.178453903050788E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.653729746655880E+00,  2.463456140759347E+00, -1.213689556520058E+00, -8.806155811909735E-03, -3.706537216102832E-03,  8.644739061865630E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.697573532613439E+00,  2.444648692678383E+00, -1.213121586737453E+00, -8.731129551990735E-03, -3.816159674633305E-03,  1.406659839399912E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.741038784384624E+00,  2.425297366811984E+00, -1.212283646823304E+00, -8.654748594222737E-03, -3.924088474323219E-03,  1.944345032393485E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.784118824754500E+00,  2.405410628787985E+00, -1.211178000961637E+00, -8.577051332629412E-03, -4.030324781810778E-03,  2.477474797449622E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.826807166743600E+00,  2.384996936925500E+00, -1.209806939838678E+00, -8.498075467574237E-03, -4.134870348811417E-03,  3.005997793053794E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.869097510143322E+00,  2.364064739385761E+00, -1.208172779000167E+00, -8.417858007376742E-03, -4.237727481787626E-03,  3.529865902692386E-04,
