*******************************************************************************
JPL/HORIZONS               181 Eucharis (A878 CB)          2020-Jun-20 08:35:43
Rec #:     181 (+COV) Soln.date: 2020-Feb-22_15:19:36   # obs: 2613 (1892-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455187.5 ! 2009-Dec-22.00 (TDB)         Residual RMS= .27402
   EC= .2021521459585838   QR= 2.496142972460997   TP= 2455393.7900490654
   OM= 143.2647180663983   W=  318.514913014469    IN= 18.88788143714003
   A= 3.128595207491054    MA= 323.2583809862948   ADIST= 3.761047442521112
   PER= 5.53391            N= .178106594           ANGMOM= .029798602
   DAN= 2.60608            DDN= 3.53627            L= 103.3472817
   B= -12.3825831          MOID= 1.54215002        TP= 2010-Jul-16.2900490654
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 57.6915            ROTPER= 52.23
   H= 7.9                  G= .150                 B-V= .815
                           ALBEDO= .101            STYP= Xk
 
ASTEROID comments: 
1: soln ref.= JPL#69, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:35:43 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 181 Eucharis (A878 CB)          {source: JPL#69}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455187.5 ! 2009-Dec-22.00 (TDB)         Residual RMS= .27402        
   EC= .2021521459585838   QR= 2.496142972460997   TP= 2455393.7900490654      
   OM= 143.2647180663983   W=  318.514913014469    IN= 18.88788143714003       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.708884668992227E+00  Y= 2.064952827916038E+00  Z=-4.655562210367037E-02
  VX=-9.322406064728308E-03 VY= 5.671703682414151E-03 VZ= 2.666209614893206E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 57.6915            ROTPER= 52.23               
   H= 7.9                  G= .150                 B-V= .815                   
                           ALBEDO= .101            STYP= Xk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.125181354554525E+00, -2.990125679682988E+00,  4.097592410946388E-01,  5.865330052372478E-03,  4.981815543793931E-03, -2.531117741759105E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.154350820118038E+00, -2.964996589411044E+00,  3.970737338097698E-01,  5.802271852391911E-03,  5.069753925890320E-03, -2.543030455315695E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.183202226487561E+00, -2.939428814747407E+00,  3.843294865702862E-01,  5.738105695334833E-03,  5.157287706554750E-03, -2.554613149033071E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.211730023623192E+00, -2.913424402795621E+00,  3.715281581582097E-01,  5.672827466915911E-03,  5.244407209481100E-03, -2.565862336886986E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.239928640728980E+00, -2.886985449612731E+00,  3.586714249802126E-01,  5.606432979511494E-03,  5.331102528428065E-03, -2.576774454816903E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.267792485893917E+00, -2.860114101376334E+00,  3.457609814611602E-01,  5.538917975232051E-03,  5.417363520245530E-03, -2.587345859385334E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.295315945748247E+00, -2.832812555586719E+00,  3.327985404442759E-01,  5.470278128983762E-03,  5.503179797831349E-03, -2.597572826472157E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.322493385135276E+00, -2.805083062304216E+00,  3.197858335977439E-01,  5.400509051624006E-03,  5.588540723096277E-03, -2.607451550001457E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.349319146799419E+00, -2.776927925421879E+00,  3.067246118276745E-01,  5.329606293318195E-03,  5.673435399843197E-03, -2.616978140665575E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.375787551091585E+00, -2.748349503974101E+00,  2.936166456974759E-01,  5.257565347109163E-03,  5.757852666508288E-03, -2.626148624636506E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.401892895692908E+00, -2.719350213481912E+00,  2.804637258537014E-01,  5.184381652691917E-03,  5.841781088760383E-03, -2.634958942268164E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.427629455357889E+00, -2.689932527335571E+00,  2.672676634583909E-01,  5.110050600400057E-03,  5.925208951969810E-03, -2.643404946794326E-03,
