*******************************************************************************
JPL/HORIZONS                194 Prokne (A879 FA)           2020-Jun-22 06:33:54
Rec #:     194 (+COV) Soln.date: 2020-Feb-22_15:20:15   # obs: 2763 (1879-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454517.5 ! 2008-Feb-21.00 (TDB)         Residual RMS= .27522
   EC= .2357337916703505   QR= 2.000337358782622   TP= 2454324.6114109028
   OM= 159.4833009481559   W=  162.8945433372495   IN= 18.48547584355195
   A= 2.617330632940689    MA= 44.89755882227907   ADIST= 3.234323907098756
   PER= 4.23444            N= .232764197           ANGMOM= .027045532
   DAN= 3.19079            DDN= 2.01736            L= 323.2125679
   B= 5.3510949            MOID= .99635297         TP= 2007-Aug-12.1114109028
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 80.8335            ROTPER= 15.679
   H= 7.8                  G= .150                 B-V= .724
                           ALBEDO= .057            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#128, OCC=0
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 06:33:54 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 194 Prokne (A879 FA)            {source: JPL#128}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454517.5 ! 2008-Feb-21.00 (TDB)         Residual RMS= .27522        
   EC= .2357337916703505   QR= 2.000337358782622   TP= 2454324.6114109028      
   OM= 159.4833009481559   W=  162.8945433372495   IN= 18.48547584355195       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.924179588089507E+00  Y= 1.207301362689643E+00  Z=-8.832999347811110E-02
  VX=-4.168038627968692E-03 VY= 1.127549020036010E-02 VZ= 1.664427156192872E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 80.8335            ROTPER= 15.679              
   H= 7.8                  G= .150                 B-V= .724                   
                           ALBEDO= .057            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.499942519726023E+00, -1.290423901171685E+00,  2.329084739831029E-01,  8.680309512472820E-03,  9.635597547791299E-03, -4.028877509461215E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.542634441671723E+00, -1.241646650904649E+00,  2.126577593415287E-01,  8.395066854530436E-03,  9.873820425990049E-03, -4.070781747034522E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.583879638636533E+00, -1.191700849654810E+00,  1.922069833862559E-01,  8.101695258726701E-03,  1.010295252443414E-02, -4.108890230175082E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.623638622513535E+00, -1.140632910406407E+00,  1.715752926257663E-01,  7.800661380970852E-03,  1.032261470777399E-02, -4.143137743210164E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.661874296829809E+00, -1.088491072730706E+00,  1.507821311913728E-01,  7.492454814831497E-03,  1.053245579047289E-02, -4.173470504163297E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.698552065225762E+00, -1.035325258520641E+00,  1.298471829735227E-01,  7.177585579432232E-03,  1.073215430420060E-02, -4.199846427368285E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.733639926970030E+00, -9.811869194896058E-01,  1.087903126785552E-01,  6.856581450693257E-03,  1.092142002204081E-02, -4.222235292409335E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.767108558803519E+00, -9.261288776889636E-01,  8.763150627759840E-02,  6.529985167243599E-03,  1.109999522452582E-02, -4.240618818205119E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.798931382569754E+00, -8.702051603665732E-01,  6.639081132253663E-02,  6.198351544721800E-03,  1.126765569549716E-02, -4.254990642221472E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.829084618258894E+00, -8.134708305389118E-01,  4.508827760021251E-02,  5.862244532629010E-03,  1.142421143988276E-02, -4.265356206347969E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.857547322263273E+00, -7.559818146771592E-01,  2.374389858464458E-02,  5.522234247726977E-03,  1.156950712017939E-02, -4.271732552421050E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.884301410811252E+00, -6.977947289123750E-01,  2.377554128962214E-03,  5.178894017471835E-03,  1.170342221290946E-02, -4.274148031610644E-03,
