*******************************************************************************
JPL/HORIZONS               210 Isabella (A879 VA)          2020-Jun-22 08:40:09
Rec #:     210 (+COV) Soln.date: 2020-May-20_01:00:42   # obs: 2753 (1885-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455992.5 ! 2012-Mar-06.00 (TDB)         Residual RMS= .31241
   EC= .1212339447807222   QR= 2.393117369930598   TP= 2455256.7109919344
   OM= 32.67154644686198   W=  14.34811732592027   IN= 5.256555602608182
   A= 2.723270153321347    MA= 161.3694356308094   ADIST= 3.053422936712096
   PER= 4.49412            N= .219314816           ANGMOM= .028178091
   DAN= 2.40122            DDN= 3.04034            L= 46.9617984
   B= 1.3009265            MOID= 1.40348995        TP= 2010-Mar-01.2109919344
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 43.325             ROTPER= 6.672
   H= 9.5                  G= .150                 B-V= .667
                           ALBEDO= .0436           STYP= Cb
 
ASTEROID comments: 
1: soln ref.= JPL#109, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:40:09 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 210 Isabella (A879 VA)          {source: JPL#109}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455992.5 ! 2012-Mar-06.00 (TDB)         Residual RMS= .31241        
   EC= .1212339447807222   QR= 2.393117369930598   TP= 2455256.7109919344      
   OM= 32.67154644686198   W=  14.34811732592027   IN= 5.256555602608182       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.570201725372208E+00  Y=-1.489596124987687E+00  Z=-6.436643101863067E-01
  VX= 4.653595312127776E-03 VY=-6.983024505992995E-03 VZ=-3.952952550258793E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 43.325             ROTPER= 6.672               
   H= 9.5                  G= .150                 B-V= .667                   
                           ALBEDO= .0436           STYP= Cb                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.236245282284964E+00,  8.994539976952500E-01, -4.417882335427976E-02, -4.831675340641951E-03,  1.062422182721411E-02,  1.064761948206143E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.211495894844212E+00,  9.523315729504176E-01, -3.884376058918119E-02, -5.067768582315266E-03,  1.052581809234408E-02,  1.069170957502526E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.185570858934251E+00,  1.004702305542378E+00, -3.348804128824309E-02, -5.301904346412103E-03,  1.042149074460158E-02,  1.073023479670907E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.158480417440996E+00,  1.056536672979934E+00, -2.811446366851628E-02, -5.533900491036193E-03,  1.031127918110970E-02,  1.076313295140888E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.130235722819050E+00,  1.107805367301798E+00, -2.272585563366877E-02, -5.763575386977823E-03,  1.019522982140710E-02,  1.079034752067281E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.100848833679848E+00,  1.158479330244190E+00, -1.732507188779842E-02, -5.990748257533645E-03,  1.007339612661307E-02,  1.081182785162585E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.070332709675974E+00,  1.208529788456710E+00, -1.191499095825803E-02, -6.215239519960680E-03,  9.945838599155682E-03,  1.082752933201219E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.038701204674406E+00,  1.257928288663419E+00, -6.498512134873972E-03, -6.436871128633971E-03,  9.812624760911964E-03,  1.083741354935896E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.005969058208352E+00,  1.306646732659893E+00, -1.078552333659617E-03, -6.655466920370247E-03,  9.673829109554822E-03,  1.084144843384240E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.972151885199425E+00,  1.354657412038922E+00,  4.341957106787438E-03, -6.870852960687443E-03,  9.529533053771857E-03,  1.083960838457565E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.937266163949882E+00,  1.401933042540681E+00,  9.760073687741859E-03, -7.082857889206305E-03,  9.379824827918772E-03,  1.083187437864154E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.901329222413927E+00,  1.448446797925901E+00,  1.517284706290405E-02, -7.291313262299809E-03,  9.224799386665417E-03,  1.081823406238125E-03,
