*******************************************************************************
JPL/HORIZONS                224 Oceana (A882 FA)           2020-Jun-22 08:41:55
Rec #:     224 (+COV) Soln.date: 2020-May-20_01:01:08   # obs: 2666 (1899-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455599.5 ! 2011-Feb-07.00 (TDB)         Residual RMS= .32531
   EC= .04507899020217667  QR= 2.526477411834569   TP= 2456012.6293945052
   OM= 352.9185197483139   W=  282.0712415146339   IN= 5.838300781136024
   A= 2.645744921215501    MA= 265.3832091814303   ADIST= 2.765012430596434
   PER= 4.30358            N= .229024585           ANGMOM= .027952053
   DAN= 2.61571            DDN= 2.6655             L= 275.0508521
   B= -5.7087722           MOID= 1.51724994        TP= 2012-Mar-26.1293945052
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 29.118             ROTPER= 9.401
   H= 8.6                  G= .150                 B-V= .748
                           ALBEDO= .166            STYP= M
 
ASTEROID comments: 
1: soln ref.= JPL#48, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:41:55 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 224 Oceana (A882 FA)            {source: JPL#48}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455599.5 ! 2011-Feb-07.00 (TDB)         Residual RMS= .32531        
   EC= .04507899020217667  QR= 2.526477411834569   TP= 2456012.6293945052      
   OM= 352.9185197483139   W=  282.0712415146339   IN= 5.838300781136024       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.651459034132779E+00  Y= 2.068672547536513E-01  Z= 7.766642603929239E-02
  VX=-3.937661310646073E-04 VY=-9.168025737464941E-03 VZ=-5.136503194383417E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 29.118             ROTPER= 9.401               
   H= 8.6                  G= .150                 B-V= .748                   
                           ALBEDO= .166            STYP= M                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.311333850678106E+00, -2.169662216889868E+00, -2.063181092622607E-01,  9.527929405530157E-03,  5.458158434082052E-03,  6.656281543512667E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.358675658648617E+00, -2.141884825964659E+00, -2.029437814437633E-01,  9.408106150655550E-03,  5.652344588508781E-03,  6.840488314666280E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.405408094471221E+00, -2.113143380198710E+00, -1.994781694089117E-01,  9.284192340542849E-03,  5.843765296137679E-03,  7.021404397091680E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.451510884084549E+00, -2.083451931186582E+00, -1.959229393206953E-01,  9.156259819078520E-03,  6.032331165192320E-03,  7.198946916129457E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.496964117953416E+00, -2.052824972149640E+00, -1.922797981757834E-01,  9.024382540244565E-03,  6.217954945680121E-03,  7.373035419415943E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.541748261428182E+00, -2.021277427095291E+00, -1.885504925820136E-01,  8.888636491269119E-03,  6.400551581664553E-03,  7.543591921982247E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.585844164714143E+00, -1.988824639721376E+00, -1.847368075138660E-01,  8.749099613571058E-03,  6.580038261000812E-03,  7.710540949196772E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.629233072441420E+00, -1.955482362077962E+00, -1.808405650470711E-01,  8.605851722122880E-03,  6.756334462591422E-03,  7.873809577172414E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.671896632828905E+00, -1.921266742999862E+00, -1.768636230737629E-01,  8.458974423777414E-03,  6.929362000778592E-03,  8.033327470151840E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.713816906437788E+00, -1.886194316324941E+00, -1.728078739997574E-01,  8.308551034800720E-03,  7.099045066612931E-03,  8.189026914534519E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.754976374511122E+00, -1.850281988914036E+00, -1.686752434257240E-01,  8.154666497777033E-03,  7.265310265931967E-03,  8.340842849258980E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.795357946896689E+00, -1.813547028488613E+00, -1.644676888141233E-01,  7.997407298063959E-03,  7.428086654171312E-03,  8.488712892299090E-04,
