*******************************************************************************
JPL/HORIZONS               241 Germania (A884 RA)          2020-Jun-22 08:45:23
Rec #:     241 (+COV) Soln.date: 2020-May-20_01:01:43   # obs: 2707 (1884-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454792.5 ! 2008-Nov-22.00 (TDB)         Residual RMS= .28349
   EC= .09668681218327033  QR= 2.757536874681374   TP= 2454139.3087326698
   OM= 270.5642767834717   W=  78.76050072097081   IN= 5.511676881618759
   A= 3.052691925539387    MA= 120.703531541707    ADIST= 3.347846976397399
   PER= 5.33375            N= .184790481           ANGMOM= .029914615
   DAN= 2.96822            DDN= 3.08224            L= 349.27391
   B= 5.4056507            MOID= 1.75738001        TP= 2007-Feb-07.8087326698
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 84.45              ROTPER= 15.51
   H= 7.8                  G= .150                 B-V= .689
                           ALBEDO= .0575           STYP= B
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:45:23 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 241 Germania (A884 RA)          {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454792.5 ! 2008-Nov-22.00 (TDB)         Residual RMS= .28349        
   EC= .09668681218327033  QR= 2.757536874681374   TP= 2454139.3087326698      
   OM= 270.5642767834717   W=  78.76050072097081   IN= 5.511676881618759       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.553647411738216E+00  Y= 2.645784637498531E+00  Z= 9.866143294494902E-01
  VX=-8.438142470559070E-03 VY=-3.206947603391155E-03 VZ=-2.281795079136514E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 84.45              ROTPER= 15.51               
   H= 7.8                  G= .150                 B-V= .689                   
                           ALBEDO= .0575           STYP= B                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.161529392438981E+00, -1.709966563272852E+00,  2.029573328502846E-01,  6.296484329948098E-03,  8.795384555534906E-03,  6.326552867403065E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.192630337487002E+00, -1.665691154479146E+00,  2.060846963280052E-01,  6.143463299993637E-03,  8.914310407727012E-03,  6.182472398820675E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.222959769008392E+00, -1.620828201468377E+00,  2.091393810178432E-01,  5.987888485650818E-03,  9.030390939376388E-03,  6.035846615125295E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.252505063416831E+00, -1.575392099287173E+00,  2.121201277915458E-01,  5.829818388153751E-03,  9.143558996072353E-03,  5.886729993403505E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.281253895109197E+00, -1.529397575332614E+00,  2.150257052967139E-01,  5.669313693868440E-03,  9.253748806847357E-03,  5.735179154907677E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.309194247302635E+00, -1.482859682214276E+00,  2.178549110210293E-01,  5.506437238155405E-03,  9.360896072219268E-03,  5.581252833093019E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.336314422680082E+00, -1.435793790179653E+00,  2.206065723395672E-01,  5.341253964841180E-03,  9.464938050841403E-03,  5.425011837724344E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.362603053822000E+00, -1.388215579109488E+00,  2.232795475430629E-01,  5.173830881260268E-03,  9.565813644873135E-03,  5.266519014623325E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.388049113402753E+00, -1.340141030089945E+00,  2.258727268450517E-01,  5.004237009106991E-03,  9.663463483808584E-03,  5.105839201502555E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.412641924130977E+00, -1.291586416570220E+00,  2.283850333659899E-01,  4.832543331170477E-03,  9.757830006435677E-03,  4.943039180008689E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.436371168413226E+00, -1.242568295115398E+00,  2.308154240923889E-01,  4.658822733913631E-03,  9.848857540751975E-03,  4.778187623687816E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.459226897720153E+00, -1.193103495765090E+00,  2.331628908088583E-01,  4.483149945913156E-03,  9.936492381725366E-03,  4.611355041629076E-04,
