*******************************************************************************
JPL/HORIZONS                 266 Aline (A887 KA)           2020-Jun-22 08:45:57
Rec #:     266 (+COV) Soln.date: 2020-Feb-22_15:22:27   # obs: 2570 (1891-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455134.5 ! 2009-Oct-30.00 (TDB)         Residual RMS= .29928
   EC= .1579983331197638   QR= 2.359817821189352   TP= 2455634.3146633133
   OM= 235.984005664724    W=  151.0314083892898   IN= 13.39255970886464
   A= 2.80262844363823     MA= 255.0059280797749   ADIST= 3.245439066087109
   PER= 4.69198            N= .210066004           ANGMOM= .028436402
   DAN= 3.17099            DDN= 2.4008             L= 27.6798432
   B= 6.4410726            MOID= 1.3743            TP= 2011-Mar-13.8146633133
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 54.747             ROTPER= 13.018
   H= 8.7                  G= .150                 B-V= .707
                           ALBEDO= .027            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#101, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:45:57 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 266 Aline (A887 KA)             {source: JPL#101}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455134.5 ! 2009-Oct-30.00 (TDB)         Residual RMS= .29928        
   EC= .1579983331197638   QR= 2.359817821189352   TP= 2455634.3146633133      
   OM= 235.984005664724    W=  151.0314083892898   IN= 13.39255970886464       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.611339776105677E-01  Y=-2.839173253364068E+00  Z=-8.593106137416797E-01
  VX= 9.457276723873495E-03 VY= 1.831333113294555E-05 VZ= 1.928431621693638E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 54.747             ROTPER= 13.018              
   H= 8.7                  G= .150                 B-V= .707                   
                           ALBEDO= .027            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.344660443446065E-01,  2.503173436976310E+00, -2.818906690604369E-01, -1.085686360497732E-02,  2.162191478921187E-03, -2.442174573927083E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.801333337985125E-01,  2.513412697049826E+00, -2.940363186744865E-01, -1.087536943155964E-02,  1.933679574957856E-03, -2.415937788720080E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.257207985525220E-01,  2.522512004100657E+00, -3.060485979478069E-01, -1.088880623514072E-02,  1.706230339511187E-03, -2.388831601265664E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.125359025411634E-02,  2.530476968607005E+00, -3.179232372522443E-01, -1.089725183723523E-02,  1.479961844960428E-03, -2.360886948859342E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.675646513387646E-02,  2.537313779684138E+00, -3.296561213662324E-01, -1.090078654162888E-02,  1.254987474797744E-03, -2.332134648775499E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.774622778902405E-02,  2.543029181665089E+00, -3.412432887560202E-01, -1.089949288871247E-02,  1.031415935496161E-03, -2.302605351239490E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -9.223055729096280E-02,  2.547630450767007E+00, -3.526809306280221E-01, -1.089345541736685E-02,  8.093512788627450E-04, -2.272329494885379E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.466730193594707E-01,  2.551125371897394E+00, -3.639653897654114E-01, -1.088276043565404E-02,  5.888929358881165E-04, -2.241337265125975E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.010505454827133E-01,  2.553522215659268E+00, -3.750931591649980E-01, -1.086749579950950E-02,  3.701357622370167E-04, -2.209658555896534E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.553405098515450E-01,  2.554829715608791E+00, -3.860608804906778E-01, -1.084775069915377E-02,  1.531700934145432E-04, -2.177322934467626E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -3.095207355143134E-01,  2.555057045809835E+00, -3.968653423579561E-01, -1.082361545389030E-02, -6.191819176761035E-05, -2.144359609039208E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.635694995275782E-01,  2.554213798725306E+00, -4.075034784632920E-01, -1.079518131570976E-02, -2.750476000360345E-04, -2.110797399078146E-03,
