*******************************************************************************
JPL/HORIZONS                 304 Olga (A891 CB)            2020-Jun-22 08:47:08
Rec #:     304 (+COV) Soln.date: 2020-Feb-22_15:23:54   # obs: 2819 (1891-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454843.5 ! 2009-Jan-12.00 (TDB)         Residual RMS= .21766
   EC= .2210188474211293   QR= 1.872296358325978   TP= 2454637.0347759384
   OM= 159.1864260261978   W=  172.2254584536488   IN= 15.8401427217415
   A= 2.403519458882429    MA= 54.6109236493125    ADIST= 2.934742559438879
   PER= 3.72632            N= .264504216           ANGMOM= .026009375
   DAN= 2.92711            DDN= 1.87542            L= 331.7036968
   B= 2.1160685            MOID= .86442602         TP= 2008-Jun-19.5347759384
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 32.995             ROTPER= 18.36
   H= 9.9                  G= .070                 B-V= .708
                           ALBEDO= .047            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#50, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:47:08 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 304 Olga (A891 CB)              {source: JPL#50}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454843.5 ! 2009-Jan-12.00 (TDB)         Residual RMS= .21766        
   EC= .2210188474211293   QR= 1.872296358325978   TP= 2454637.0347759384      
   OM= 159.1864260261978   W=  172.2254584536488   IN= 15.8401427217415        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.383698463659908E+00  Y= 1.692173227921499E+00  Z= 1.191179275104706E-01
  VX=-7.577236678171831E-03 VY= 9.232259465641608E-03 VZ= 2.140641447151038E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 32.995             ROTPER= 18.36               
   H= 9.9                  G= .070                 B-V= .708                   
                           ALBEDO= .047            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.764481759731732E+00,  9.302146199752037E-01,  2.750045464567106E-02, -2.248757490823536E-03, -8.276824470886242E-03,  2.419804043694684E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.775313949593001E+00,  8.886942913080318E-01,  3.959479137058369E-02, -2.083940749668515E-03, -8.330918633502871E-03,  2.417809882758238E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.785319400495088E+00,  8.469093323625537E-01,  5.167734284859398E-02, -1.918063969619161E-03, -8.382673534487911E-03,  2.415089339691289E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.794492843216048E+00,  8.048714858720183E-01,  6.374446790673979E-02, -1.751139547845693E-03, -8.432070461393439E-03,  2.411638672795318E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.802829070668913E+00,  7.625925902819968E-01,  7.579250611094523E-02, -1.583179946553266E-03, -8.479089838954137E-03,  2.407453919123047E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.810322938308687E+00,  7.200845841063643E-01,  8.781777665677243E-02, -1.414197725929900E-03, -8.523711212290811E-03,  2.402530893277570E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.816969364707391E+00,  6.773595103681627E-01,  9.981657725422076E-02, -1.244205578392451E-03, -8.565913229695724E-03,  2.396865186241249E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.822763332302701E+00,  6.344295211280268E-01,  1.117851830068634E-01, -1.073216363666467E-03, -8.605673624839466E-03,  2.390452164288431E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.827699888322977E+00,  5.913068821023129E-01,  1.237198452857838E-01, -9.012431442538417E-04, -8.642969198774034E-03,  2.383286967987609E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.831774145891255E+00,  5.480039773708134E-01,  1.356167905986544E-01, -7.282992216650494E-04, -8.677775802121852E-03,  2.375364511249696E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.834981285313706E+00,  5.045333141731537E-01,  1.474722194541365E-01, -5.543981740459810E-04, -8.710068317368178E-03,  2.366679480410696E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.837316555560193E+00,  4.609075277940642E-01,  1.592823052218468E-01, -3.795538953934938E-04, -8.739820640983895E-03,  2.357226333383557E-03,
