*******************************************************************************
JPL/HORIZONS                356 Liguria (A893 BE)          2020-Jun-22 08:54:59
Rec #:     356 (+COV) Soln.date: 2020-Jan-28_17:24:47   # obs: 2474 (1893-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455108.5 ! 2009-Oct-04.00 (TDB)         Residual RMS= .35748
   EC= .2393847112832029   QR= 2.095740200141015   TP= 2455791.943546542
   OM= 354.8497888886463   W=  78.63487728621642   IN= 8.231386959530786
   A= 2.755322212463876    MA= 212.7185229754663   ADIST= 3.414904224786737
   PER= 4.57369            N= .215499105           ANGMOM= .02772383
   DAN= 2.48042            DDN= 2.72602            L= 73.36948889999999
   B= 8.0688937            MOID= 1.12865996        TP= 2011-Aug-18.4435465420
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 72.7515            ROTPER= 31.701
   H= 8.3                  G= .150                 B-V= .733
                           ALBEDO= .065            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#67, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:54:59 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 356 Liguria (A893 BE)           {source: JPL#67}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455108.5 ! 2009-Oct-04.00 (TDB)         Residual RMS= .35748        
   EC= .2393847112832029   QR= 2.095740200141015   TP= 2455791.943546542       
   OM= 354.8497888886463   W=  78.63487728621642   IN= 8.231386959530786       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.627571512012183E-01  Y=-2.840996590450725E+00  Z=-1.746417461349033E+00
  VX= 8.189565600186870E-03 VY= 1.275099155627493E-03 VZ= 9.092456592532147E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 72.7515            ROTPER= 31.701              
   H= 8.3                  G= .150                 B-V= .733                   
                           ALBEDO= .065            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.408427520341969E+00, -1.244113398302081E+00, -1.554196859638108E-01,  2.473680263872170E-03,  1.013099495039077E-02,  1.487393402038873E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.420347035094140E+00, -1.193229521609418E+00, -1.479542231556334E-01,  2.293553591176653E-03,  1.022213658028802E-02,  1.498725376109389E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.431357324833252E+00, -1.141896318998822E+00, -1.404331094895398E-01,  2.109988154611034E-03,  1.031070618724293E-02,  1.509650961212190E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.441441166447880E+00, -1.090126940629809E+00, -1.328584190931072E-01,  1.922972698874205E-03,  1.039658713395792E-02,  1.520153199560255E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.450581287672210E+00, -1.037935129171492E+00, -1.252323121559857E-01,  1.732498857800378E-03,  1.047965904766690E-02,  1.530214623601342E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.458760382147237E+00, -9.853352385663136E-01, -1.175570374852781E-01,  1.538561402792603E-03,  1.055979778701495E-02,  1.539817253621761E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.465961125757216E+00, -9.323422529366975E-01, -1.098349350693575E-01,  1.341158504445036E-03,  1.063687541825522E-02,  1.548942596801288E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.472166194307081E+00, -8.789718055843087E-01, -1.020684386423520E-01,  1.140292007358198E-03,  1.071076020223443E-02,  1.557571647926962E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.477358282607710E+00, -8.252401980248657E-01, -9.426007824045718E-02,  9.359677185121109E-04,  1.078131659337199E-02,  1.565684891984817E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.481520125037231E+00, -7.711644189956981E-01, -8.641248274013556E-02,  7.281957092927586E-04,  1.084840525179379E-02,  1.573262308850327E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.484634517646134E+00, -7.167621633668301E-01, -7.852838236715075E-02,  5.169906309329418E-04,  1.091188307004839E-02,  1.580283380302458E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.486684341872412E+00, -6.620518508786370E-01, -7.061061116424015E-02,  3.023720430202867E-04,  1.097160321604659E-02,  1.586727099592928E-03,
