*******************************************************************************
JPL/HORIZONS               389 Industria (A894 EE)         2020-Jun-22 08:58:23
Rec #:     389 (+COV) Soln.date: 2020-May-20_01:04:55   # obs: 3427 (1894-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454765.5 ! 2008-Oct-26.00 (TDB)         Residual RMS= .34057
   EC= .06479423593645536  QR= 2.439067348557455   TP= 2454566.2391050369
   OM= 282.5559809056733   W=  263.8459312525513   IN= 8.135096084061546
   A= 2.608054229648361    MA= 46.62847631932238   ADIST= 2.777041110739268
   PER= 4.21195            N= .234007154           ANGMOM= .027722104
   DAN= 2.61527            DDN= 2.57919            L= 186.3398527
   B= -8.087900599999999   MOID= 1.45580995        TP= 2008-Apr-09.7391050369
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 37.189             ROTPER= 8.53
   H= 7.8                  G= .150                 B-V= .855
                           ALBEDO= .225            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:58:23 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 389 Industria (A894 EE)         {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454765.5 ! 2008-Oct-26.00 (TDB)         Residual RMS= .34057        
   EC= .06479423593645536  QR= 2.439067348557455   TP= 2454566.2391050369      
   OM= 282.5559809056733   W=  263.8459312525513   IN= 8.135096084061546       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.279556495219471E+00  Y=-1.858353624418221E+00  Z=-1.072484072819633E+00
  VX= 9.126299895131871E-03 VY=-6.157968340538186E-03 VZ=-1.493393456082892E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 37.189             ROTPER= 8.53                
   H= 7.8                  G= .150                 B-V= .855                   
                           ALBEDO= .225            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -6.863676033468907E-01,  2.485153578410638E+00, -1.674345302092718E-02, -1.006206219800685E-02, -3.530186153822797E-03, -1.513941053729639E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -7.365251336050049E-01,  2.466967235039474E+00, -2.430900732516315E-02, -1.000018512024287E-02, -3.744234191641397E-03, -1.512170428359540E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -7.863617994759361E-01,  2.447712492418669E+00, -3.186405115146041E-02, -9.933715075011333E-03, -3.957528633128424E-03, -1.509736120473658E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -8.358546175328770E-01,  2.427393377868323E+00, -3.940525519195888E-02, -9.862645015438553E-03, -4.169965538414923E-03, -1.506633819531889E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -8.849805750093056E-01,  2.406014441435960E+00, -4.692926930941803E-02, -9.786970264680249E-03, -4.381439764355566E-03, -1.502859506276286E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -9.337166418307755E-01,  2.383580761790902E+00, -5.443272402308952E-02, -9.706688588362595E-03, -4.591845013928862E-03, -1.498409464538841E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -9.820397830052641E-01,  2.360097951860977E+00, -6.191223205372601E-02, -9.621800265576321E-03, -4.801073890216971E-03, -1.493280293035831E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.029926971366853E+00,  2.335572164185872E+00, -6.936438992706100E-02, -9.532308159482458E-03, -5.009017955611678E-03, -1.487468916969616E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.077355200673429E+00,  2.310010095964991E+00, -7.678577963522047E-02, -9.438217788237125E-03, -5.215567794497362E-03, -1.480972599644129E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.124301499057536E+00,  2.283418993785024E+00, -8.417297035657599E-02, -9.339537395107234E-03, -5.420613078782653E-03, -1.473788954217334E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.170742942823968E+00,  2.255806658010909E+00, -9.152252023444500E-02, -9.236278017017190E-03, -5.624042637144440E-03, -1.465915955464913E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.216656670586120E+00,  2.227181446820193E+00, -9.883097821441590E-02, -9.128453551515087E-03, -5.825744528447408E-03, -1.457351951456130E-03,
