*******************************************************************************
JPL/HORIZONS                 405 Thia (A895 OB)            2020-Jun-22 08:58:53
Rec #:     405 (+COV) Soln.date: 2020-May-20_01:04:55   # obs: 2227 (1899-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454550.5 ! 2008-Mar-25.00 (TDB)         Residual RMS= .29245
   EC= .2448572089412074   QR= 1.95048768801921    TP= 2454029.4941703225
   OM= 255.2948795324208   W=  309.1125078763442   IN= 11.95200572653032
   A= 2.582938897270559    MA= 123.7016401409862   ADIST= 3.215390106521908
   PER= 4.15126            N= .237428508           ANGMOM= .026804815
   DAN= 2.1032             DDN= 2.87165            L= 205.0233903
   B= -9.2466393           MOID= .969082           TP= 2006-Oct-20.9941703225
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 54.447             ROTPER= 10.08
   H= 8.6                  G= .150                 B-V= .698
                           ALBEDO= .018            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:58:53 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 405 Thia (A895 OB)              {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454550.5 ! 2008-Mar-25.00 (TDB)         Residual RMS= .29245        
   EC= .2448572089412074   QR= 1.95048768801921    TP= 2454029.4941703225      
   OM= 255.2948795324208   W=  309.1125078763442   IN= 11.95200572653032       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.887937647314206E+00  Y=-8.251069513434998E-01  Z= 3.235505521676148E-01
  VX= 3.447669218971127E-03 VY= 7.540194716674961E-03 VZ= 3.550583128132420E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 54.447             ROTPER= 10.08               
   H= 8.6                  G= .150                 B-V= .698                   
                           ALBEDO= .018            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.676312842136230E+00, -9.137496377477009E-01, -2.970406920640836E-01,  6.053128359907247E-03, -1.227843236775882E-02,  1.845513658454241E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.645197057750215E+00, -9.746658733769731E-01, -2.876635005514915E-01,  6.391992990572899E-03, -1.208607220830059E-02,  1.905020715984308E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.612405303109647E+00, -1.034590805831437E+00, -2.779939853106467E-01,  6.723424075599386E-03, -1.188198081808999E-02,  1.962427788144224E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.577976106507464E+00, -1.093466853260732E+00, -2.680428701277699E-01,  7.046882523053669E-03, -1.166659352051628E-02,  2.017646657319985E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.541950612555077E+00, -1.151238691954760E+00, -2.578212996753583E-01,  7.361861312799161E-03, -1.144037773920278E-02,  2.070597245938399E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.504372415875056E+00, -1.207853409028158E+00, -2.473407979886499E-01,  7.667887818800596E-03, -1.120382983680674E-02,  2.121207932415030E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.465287384054651E+00, -1.263260638819962E+00, -2.366132255647573E-01,  7.964525779308331E-03, -1.095747177014125E-02,  2.169415785865514E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.424743471662646E+00, -1.317412682208244E+00, -2.256507354932799E-01,  8.251376899362794E-03, -1.070184760893305E-02,  2.215166718828603E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.382790527191208E+00, -1.370264608276160E+00, -2.144657290265708E-01,  8.528082077572160E-03, -1.043751996549835E-02,  2.258415558968917E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.339480094806538E+00, -1.421774338001499E+00, -2.030708109894294E-01,  8.794322256188664E-03, -1.016506638220507E-02,  2.299126042083313E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.294865212781182E+00, -1.471902709873577E+00, -1.914787454135909E-01,  9.049818899745741E-03, -9.885075722412366E-03,  2.337270729838513E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.249000210439547E+00, -1.520613527564744E+00, -1.797024117626719E-01,  9.294334113488912E-03, -9.598144608417337E-03,  2.372830856653287E-03,
