*******************************************************************************
JPL/HORIZONS              412 Elisabetha (A896 AB)         2020-Jun-22 08:59:32
Rec #:     412 (+COV) Soln.date: 2020-May-20_01:05:22   # obs: 2941 (1898-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456049.5 ! 2012-May-02.00 (TDB)         Residual RMS= .32281
   EC= .04345508581109296  QR= 2.643246484324675   TP= 2455928.6694559641
   OM= 106.5285196182565   W=  93.94896539653605   IN= 13.77490964877521
   A= 2.76332710060561     MA= 25.92581157834661   ADIST= 2.883407716886546
   PER= 4.59364            N= .214563388           ANGMOM= .028568481
   DAN= 2.76639            DDN= 2.74988            L= 200.5940396
   B= 13.7415624           MOID= 1.67972004        TP= 2012-Jan-02.1694559641
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 48.028             ROTPER= 19.635
   H= 9.2                  G= .150                 B-V= n.a.
                           ALBEDO= .044            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#41, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:59:32 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 412 Elisabetha (A896 AB)        {source: JPL#41}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456049.5 ! 2012-May-02.00 (TDB)         Residual RMS= .32281        
   EC= .04345508581109296  QR= 2.643246484324675   TP= 2455928.6694559641      
   OM= 106.5285196182565   W=  93.94896539653605   IN= 13.77490964877521       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.691518372061926E+00  Y=-2.026836403217333E+00  Z=-2.951411243672998E-01
  VX= 7.785138732735935E-03 VY=-6.176575237896503E-03 VZ=-4.116890431612865E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 48.028             ROTPER= 19.635              
   H= 9.2                  G= .150                 B-V= n.a.                   
                           ALBEDO= .044            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -6.559645393424420E-01,  2.696650043353243E+00, -3.876168255988895E-02, -9.611789296665695E-03, -2.765667200005195E-03,  2.451250484745049E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -7.039064729922448E-01,  2.682355877823931E+00, -2.649943737295686E-02, -9.564412051979511E-03, -2.951907491394041E-03,  2.453506926794723E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -7.516029390248916E-01,  2.667131939198078E+00, -1.422802384960398E-02, -9.513602345158660E-03, -3.137565313080675E-03,  2.454917042649230E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -7.990367775726460E-01,  2.650981307063291E+00, -1.951685059029885E-03, -9.459361356671523E-03, -3.322573698892779E-03,  2.455476299591353E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -8.461908377387236E-01,  2.633907396879381E+00,  1.032531391017868E-02, -9.401691498254405E-03, -3.506865269469007E-03,  2.455180423705883E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -8.930479838103599E-01,  2.615913961993458E+00,  2.259868726089431E-02, -9.340596435455234E-03, -3.690372252774422E-03,  2.454025406617656E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -9.395911015823287E-01,  2.597005095548571E+00,  3.486412983214229E-02, -9.276081109328441E-03, -3.873026506380294E-03,  2.452007512311213E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -9.858031047887391E-01,  2.577185232275583E+00,  4.711731847818923E-02, -9.208151758248627E-03, -4.054759541720993E-03,  2.449123284054714E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.031666941645403E+00,  2.556459150161745E+00,  5.935391348225647E-02, -9.136815940249246E-03, -4.235502548956274E-03,  2.445369551306665E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.077165601503607E+00,  2.534831971994475E+00,  7.156956000460626E-02, -9.062082555118017E-03, -4.415186422111374E-03,  2.440743436564622E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.122282121612832E+00,  2.512309166777349E+00,  8.375988956482655E-02, -8.983961865878321E-03, -4.593741785138245E-03,  2.435242362200877E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.166999593989580E+00,  2.488896551012819E+00,  9.592052155830273E-02, -8.902465519781797E-03, -4.771099019178352E-03,  2.428864057301505E-03,
