*******************************************************************************
JPL/HORIZONS                424 Gratia (A896 YD)           2020-Jun-22 09:00:27
Rec #:     424 (+COV) Soln.date: 2020-Feb-22_15:27:09   # obs: 2565 (1898-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455477.5 ! 2010-Oct-08.00 (TDB)         Residual RMS= .30963
   EC= .1102014350160735   QR= 2.467640859775173   TP= 2455960.2021207432
   OM= 99.36453273356177   W=  332.2807277226095   IN= 8.207109994786736
   A= 2.773257855073917    MA= 256.9856081205417   ADIST= 3.07887485037266
   PER= 4.61842            N= .213411925           ANGMOM= .02847235
   DAN= 2.49608            DDN= 3.03573            L= 71.887423
   B= -3.8072127           MOID= 1.48505998        TP= 2012-Feb-02.7021207432
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 51.2825            ROTPER= 20.075
   H= 9.6                  G= .150                 B-V= n.a.
                           ALBEDO= .027            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#59, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:00:27 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 424 Gratia (A896 YD)            {source: JPL#59}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455477.5 ! 2010-Oct-08.00 (TDB)         Residual RMS= .30963        
   EC= .1102014350160735   QR= 2.467640859775173   TP= 2455960.2021207432      
   OM= 99.36453273356177   W=  332.2807277226095   IN= 8.207109994786736       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.075850061924059E+00  Y=-1.708360495086187E+00  Z=-1.012249643834892E+00
  VX= 5.956593883040093E-03 VY= 7.679935528542737E-03 VZ= 2.203107049782352E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 51.2825            ROTPER= 20.075              
   H= 9.6                  G= .150                 B-V= n.a.                   
                           ALBEDO= .027            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.559360519165857E+00, -9.328363498291642E-01, -3.404279107393367E-01,  2.391288415372343E-03,  1.016085704894361E-02, -5.912662084647839E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.570856506046947E+00, -8.818671115119482E-01, -3.433228192440917E-01,  2.206773510677513E-03,  1.022629560888326E-02, -5.666364290527461E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.581424965030349E+00, -8.305788759184587E-01, -3.460936715665948E-01,  2.020285133714208E-03,  1.028844486387011E-02, -5.416445821347400E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.591056148754673E+00, -7.789882559419756E-01, -3.487386703312414E-01,  1.831871653686069E-03,  1.034723828185423E-02, -5.162959054167897E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.599740557279812E+00, -7.271121968470384E-01, -3.512560451515674E-01,  1.641583677264327E-03,  1.040260945822336E-02, -4.905959581631383E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.607468949383939E+00, -6.749679754518623E-01, -3.536440542577408E-01,  1.449474092268541E-03,  1.045449218851431E-02, -4.645506290722156E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.614232354075481E+00, -6.225731989387606E-01, -3.559009861632947E-01,  1.255598109857576E-03,  1.050282054454208E-02, -4.381661440816676E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.620022082311355E+00, -5.699458032747328E-01, -3.580251613705450E-01,  1.060013304830438E-03,  1.054752895423633E-02, -4.114490740318659E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.624829738912191E+00, -5.171040512235943E-01, -3.600149341139755E-01,  8.627796541499021E-04,  1.058855228515055E-02, -3.844063421941994E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.628647234665680E+00, -4.640665299319558E-01, -3.618686941409426E-01,  6.639595736176993E-04,  1.062582593137106E-02, -3.570452316652551E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.631466798607895E+00, -4.108521480724948E-01, -3.635848685289125E-01,  4.636179523141881E-04,  1.065928590368262E-02, -3.293733925742097E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.633280990470268E+00, -3.574801325282618E-01, -3.651619235381108E-01,  2.618221843482021E-04,  1.068886892299697E-02, -3.013988490266108E-04,
