*******************************************************************************
JPL/HORIZONS                 433 Eros (A898 PA)            2020-Jun-22 09:01:05
Rec #:     433 (+COV) Soln.date: 2019-Feb-15_15:01:24   # obs: 8146 (1893-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453092.5 ! 2004-Mar-28.00 (TDB)         Residual RMS= .328
   EC= .2228483251957075   QR= 1.133307163965165   TP= 2453371.5610070303
   OM= 304.404240283134    W=  178.6523871760701   IN= 10.82964647168137
   A= 1.458283113461168    MA= 203.8145904266314   ADIST= 1.783259062957172
   PER= 1.76105            N= .559681938           ANGMOM= .020250771
   DAN= 1.78312            DDN= 1.13336            L= 123.0806195
   B= .2531789             MOID= .14857            TP= 2005-Jan-01.0610070303
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= .0004463            RAD= 8.42               ROTPER= 5.27
   H= 10.4                 G= .460                 B-V= .921
                           ALBEDO= .250            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#656, OCC=0           radar(68 delay, 2 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:01:05 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 433 Eros (A898 PA)              {source: JPL#656}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453092.5 ! 2004-Mar-28.00 (TDB)         Residual RMS= .328          
   EC= .2228483251957075   QR= 1.133307163965165   TP= 2453371.5610070303      
   OM= 304.404240283134    W=  178.6523871760701   IN= 10.82964647168137       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.319064491844725E+00  Y=-1.105240575074936E+00  Z=-3.900027318804698E-01
  VX= 6.756313509001922E-03 VY= 7.525251531575246E-03 VZ= 5.495808647272230E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .0004463            RAD= 8.42               ROTPER= 5.27                
   H= 10.4                 G= .460                 B-V= .921                   
                           ALBEDO= .250            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.057138942303670E+00,  8.221175465891408E-01,  2.549257482245311E-01, -1.164945391934288E-02,  9.811177448368161E-03, -7.697485508808499E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  9.973520535180008E-01,  8.699249804976564E-01,  2.506989375358905E-01, -1.226299291266779E-02,  9.303987190453651E-03, -9.214602137712375E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  9.345351047227555E-01,  9.150783090257375E-01,  2.457066636333531E-01, -1.286086537007023E-02,  8.749338892086305E-03, -1.075858690564221E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  8.687759079996129E-01,  9.573375023896561E-01,  2.399366879108193E-01, -1.343922124991970E-02,  8.146180131669732E-03, -1.232451901861564E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  8.001823990950543E-01,  9.964579745198114E-01,  2.333794463815038E-01, -1.399386159547106E-02,  7.493751981460094E-03, -1.390660941613089E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.288843664819968E-01,  1.032192223658313E+00,  2.260285001532492E-01, -1.452024651947565E-02,  6.791659360289904E-03, -1.549813700046617E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  6.550351118213679E-01,  1.064291840330980E+00,  2.178810149883692E-01, -1.501351506117672E-02,  6.039947423342996E-03, -1.709139692125669E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  5.788129763553067E-01,  1.092509909118504E+00,  2.089382625393277E-01, -1.546851937198270E-02,  5.239182353252820E-03, -1.867766662989112E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  5.004226554285102E-01,  1.116603820479321E+00,  1.992061327606814E-01, -1.587987566906669E-02,  4.390534113908278E-03, -2.024719624924632E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  4.200962117667865E-01,  1.136338494547877E+00,  1.886956436197458E-01, -1.624203409507262E-02,  3.495857857572567E-03, -2.178923018396210E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.380936888008936E-01,  1.151489999945092E+00,  1.774234307236043E-01, -1.654936903334257E-02,  2.557769736630486E-03, -2.329206699973592E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.547032197099433E-01,  1.161849527109728E+00,  1.654121960502223E-01, -1.679629051599923E-02,  1.579711974931431E-03, -2.474316414707710E-03,
