*******************************************************************************
JPL/HORIZONS                488 Kreusa (A902 MC)           2020-Jun-22 09:10:13
Rec #:     488 (+COV) Soln.date: 2020-May-20_01:06:36   # obs: 2414 (1901-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455214.5 ! 2010-Jan-18.00 (TDB)         Residual RMS= .31877
   EC= .1675894132146082   QR= 2.631076724157921   TP= 2454402.0112025207
   OM= 84.95211778201082   W=  69.40537213230819   IN= 11.48865847322308
   A= 3.160792000878591    MA= 142.5041720356233   ADIST= 3.690507277599262
   PER= 5.61956            N= .175392164           ANGMOM= .030150413
   DAN= 2.901              DDN= 3.26446            L= 153.9727439
   B= 10.7454055           MOID= 1.66912997        TP= 2007-Oct-28.5112025207
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 84.0585            ROTPER= 32.645
   H= 8.                   G= .150                 B-V= .691
                           ALBEDO= .047            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#104, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:10:13 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 488 Kreusa (A902 MC)            {source: JPL#104}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455214.5 ! 2010-Jan-18.00 (TDB)         Residual RMS= .31877        
   EC= .1675894132146082   QR= 2.631076724157921   TP= 2454402.0112025207      
   OM= 84.95211778201082   W=  69.40537213230819   IN= 11.48865847322308       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.114821412674613E+00  Y=-2.455104605367626E+00  Z=-1.587301302025888E+00
  VX= 7.009728537856601E-03 VY= 4.581203027875632E-03 VZ= 5.253802055869652E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 84.0585            ROTPER= 32.645              
   H= 8.                   G= .150                 B-V= .691                   
                           ALBEDO= .047            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.062721924721671E+00, -1.883559092904192E+00,  3.883932715658708E-01,  5.745094428563123E-03, -8.980972272965923E-03, -1.315574705938111E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.033659753117883E+00, -1.928152825839042E+00,  3.817521197969153E-01,  5.879265676456170E-03, -8.856212754776402E-03, -1.340777520274380E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.003934359478394E+00, -1.972118211987333E+00,  3.749865812106254E-01,  6.010382097026328E-03, -8.729648115705757E-03, -1.365329442779985E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.973561033016280E+00, -2.015446443035795E+00,  3.680999097062644E-01,  6.138438078461967E-03, -8.601365056171836E-03, -1.389230778939876E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.942555084806683E+00, -2.058129140879908E+00,  3.610953564508181E-01,  6.263430470835460E-03, -8.471448948903478E-03, -1.412482312569499E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.910931835730854E+00, -2.100158350835315E+00,  3.539761675413523E-01,  6.385358484770308E-03, -8.339983779918481E-03, -1.435085284240665E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.878706604925964E+00, -2.141526534569708E+00,  3.467455817748080E-01,  6.504223590480827E-03, -8.207052095742073E-03, -1.457041369876348E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.845894698738725E+00, -2.182226562786243E+00,  3.394068285244430E-01,  6.620029417217485E-03, -8.072734956745773E-03, -1.478352659500068E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.812511400180366E+00, -2.222251707688062E+00,  3.319631257220389E-01,  6.732781653341650E-03, -7.937111896172333E-03, -1.499021636193909E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.778571958878879E+00, -2.261595635251232E+00,  3.244176779446046E-01,  6.842487947404148E-03, -7.800260884419174E-03, -1.519051155357474E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.744091581522625E+00, -2.300252397331634E+00,  3.167736746038676E-01,  6.949157810567709E-03, -7.662258298290631E-03, -1.538444424344331E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.709085422787928E+00, -2.338216423630083E+00,  3.090342882365277E-01,  7.052802520637016E-03, -7.523178895012683E-03, -1.557204982527458E-03,
