*******************************************************************************
JPL/HORIZONS                 505 Cava (A902 QA)            2020-Jun-22 09:11:13
Rec #:     505 (+COV) Soln.date: 2020-May-20_01:06:54   # obs: 2515 (1904-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455847.5 ! 2011-Oct-13.00 (TDB)         Residual RMS= .30078
   EC= .245418258534361    QR= 2.025834151063371   TP= 2456622.3244690448
   OM= 90.89241538140774   W=  337.272677813274    IN= 9.84134381428232
   A= 2.684711330449837    MA= 186.395488257559    ADIST= 3.343588509836303
   PER= 4.39901            N= .224056562           ANGMOM= .027323794
   DAN= 2.05731            DDN= 3.26123            L= 68.46620470000001
   B= -3.7862485           MOID= 1.04399002        TP= 2013-Nov-25.8244690448
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 57.5               ROTPER= 8.1789
   H= 8.6                  G= -.030                B-V= .683
                           ALBEDO= .040            STYP= FC
 
ASTEROID comments: 
1: soln ref.= JPL#98, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:11:13 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 505 Cava (A902 QA)              {source: JPL#98}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455847.5 ! 2011-Oct-13.00 (TDB)         Residual RMS= .30078        
   EC= .245418258534361    QR= 2.025834151063371   TP= 2456622.3244690448      
   OM= 90.89241538140774   W=  337.272677813274    IN= 9.84134381428232        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.007504464571150E+00  Y=-2.990641535199292E+00  Z=-1.096765715204147E+00
  VX= 7.727343437079763E-03 VY=-1.607351563776255E-03 VZ=-2.150882456373862E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 57.5               ROTPER= 8.1789              
   H= 8.6                  G= -.030                B-V= .683                   
                           ALBEDO= .040            STYP= FC                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.055884286175468E+00,  6.258605222807460E-01, -3.579138393270950E-01, -5.500707640652919E-03,  1.144689695096165E-02,  9.011430475770650E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.027642260104442E+00,  6.828620789635695E-01, -3.532792672381285E-01, -5.796109315838756E-03,  1.135212793253563E-02,  9.526940261742849E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.997923428153531E+00,  7.393656992911780E-01, -3.483868681317407E-01, -6.091369371314134E-03,  1.124769804472135E-02,  1.004263469512626E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.966729421049303E+00,  7.953227268318216E-01, -3.432367078233358E-01, -6.386116113510130E-03,  1.113346918095599E-02,  1.055787652344503E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.934063767100846E+00,  8.506838568297007E-01, -3.378291777142607E-01, -6.679962312042640E-03,  1.100932037800038E-02,  1.107200083255667E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.899931968124914E+00,  9.053992258183559E-01, -3.321650083357748E-01, -6.972505928019773E-03,  1.087514937394454E-02,  1.158431623651793E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.864341571354223E+00,  9.594185089976742E-01, -3.262452822336647E-01, -7.263330993497183E-03,  1.073087415244618E-02,  1.209410632728327E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.827302236555387E+00,  1.012691025258370E+00, -3.200714460595105E-01, -7.552008649400308E-03,  1.057643445453330E-02,  1.260063140148630E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.788825797549381E+00,  1.065165849648774E+00, -3.136453217263601E-01, -7.838098347038547E-03,  1.041179324092287E-02,  1.310313047712354E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.748926317312989E+00,  1.116791932993533E+00, -3.069691164829931E-01, -8.121149214085409E-03,  1.023693808746240E-02,  1.360082360222517E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.707620135842657E+00,  1.167518228284097E+00, -3.000454317616836E-01, -8.400701583100197E-03,  1.005188249528501E-02,  1.409291445097988E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.664925909978455E+00,  1.217293823367326E+00, -2.928772706580186E-01, -8.676288677942633E-03,  9.856667096682209E-03,  1.457859319725185E-03,
