*******************************************************************************
JPL/HORIZONS               535 Montague (A904 JE)          2020-Jun-22 09:13:14
Rec #:     535 (+COV) Soln.date: 2020-May-20_01:07:45   # obs: 3076 (1904-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455409.5 ! 2010-Aug-01.00 (TDB)         Residual RMS= .31395
   EC= .02485007836103338  QR= 2.505747588888341   TP= 2455422.5550276572
   OM= 84.8543556374386    W=  68.55786552796341   IN= 6.780846025790452
   A= 2.569602410136945    MA= 356.8762017756877   ADIST= 2.633457231385548
   PER= 4.11915            N= .23927932            ANGMOM= .027566414
   DAN= 2.5449             DDN= 2.59156            L= 153.27502
   B= 6.3095467            MOID= 1.52680004        TP= 2010-Aug-14.0550276572
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 39.6495            ROTPER= 10.2482
   H= 9.4                  G= .150                 B-V= .752
                           ALBEDO= .054            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#59, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:13:14 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 535 Montague (A904 JE)          {source: JPL#59}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455409.5 ! 2010-Aug-01.00 (TDB)         Residual RMS= .31395        
   EC= .02485007836103338  QR= 2.505747588888341   TP= 2455422.5550276572      
   OM= 84.8543556374386    W=  68.55786552796341   IN= 6.780846025790452       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.157070233417693E+00  Y= 1.036863608452418E+00  Z= 7.424505849910317E-01
  VX=-5.433861637837166E-03 VY=-8.977215407816770E-03 VZ=-3.301720664289957E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 39.6495            ROTPER= 10.2482             
   H= 9.4                  G= .150                 B-V= .752                   
                           ALBEDO= .054            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.312143213058493E+00,  9.001753709380339E-01,  2.828955886728350E-01, -3.950145191152220E-03, -1.027612426810405E-02,  3.643639664150437E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.331344985677311E+00,  8.485860595983225E-01,  2.846503629415298E-01, -3.730262796001123E-03, -1.035878644531484E-02,  3.375182065394167E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.349442924385338E+00,  7.965956788994850E-01,  2.862705068493561E-01, -3.508630454583883E-03, -1.043654526968703E-02,  3.105141163857141E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.366428562687395E+00,  7.442288443315698E-01,  2.877552632333033E-01, -3.285361622553199E-03, -1.050936173284188E-02,  2.833655056888776E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.382294003714455E+00,  6.915103591744173E-01,  2.891039441862960E-01, -3.060570680706164E-03, -1.057719973168315E-02,  2.560862653896418E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.397031924639046E+00,  6.384651999069664E-01,  2.903159314377368E-01, -2.834372850845045E-03, -1.064002609361950E-02,  2.286903574415386E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.410635580669927E+00,  5.851185014983281E-01,  2.913906766831769E-01, -2.606884111599179E-03, -1.069781059853224E-02,  2.011918046643055E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.423098808624289E+00,  5.314955425980665E-01,  2.923277018633230E-01, -2.378221113412067E-03, -1.075052599713888E-02,  1.736046806017419E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.434416030070802E+00,  4.776217306425903E-01,  2.931265993920262E-01, -2.148501091855351E-03, -1.079814802633873E-02,  1.459430992381996E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.444582254036061E+00,  4.235225868907229E-01,  2.937870323324293E-01, -1.917841779886623E-03, -1.084065542225094E-02,  1.182212045603294E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.453593079272252E+00,  3.692237314000499E-01,  2.943087345208191E-01, -1.686361320220728E-03, -1.087802993077106E-02,  9.045316010164270E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.461444696087836E+00,  3.147508679579086E-01,  2.946915106383787E-01, -1.454178178147623E-03, -1.091025631508402E-02,  6.265313856491093E-05,
