*******************************************************************************
JPL/HORIZONS                536 Merapi (A904 JF)           2020-Jun-22 09:13:22
Rec #:     536 (+COV) Soln.date: 2020-May-20_01:07:45   # obs: 2666 (1904-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455438.5 ! 2010-Aug-30.00 (TDB)         Residual RMS= .26609
   EC= .08275904661893015  QR= 3.215803676572433   TP= 2455621.5722027933
   OM= 59.41333875920258   W=  300.6126482085799   IN= 19.37628406197303
   A= 3.505953004735082    MA= 332.513632706725    ADIST= 3.796102332897731
   PER= 6.56474            N= .150139487           ANGMOM= .032099045
   DAN= 3.34113            DDN= 3.63514            L= 1.5101977
   B= -16.5906309          MOID= 2.26452994        TP= 2011-Mar-01.0722027933
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 73.533             ROTPER= 8.78
   H= 8.2                  G= .150                 B-V= .694
                           ALBEDO= .048            STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#100, OCC=0
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:13:23 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 536 Merapi (A904 JF)            {source: JPL#100}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455438.5 ! 2010-Aug-30.00 (TDB)         Residual RMS= .26609        
   EC= .08275904661893015  QR= 3.215803676572433   TP= 2455621.5722027933      
   OM= 59.41333875920258   W=  300.6126482085799   IN= 19.37628406197303       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.592970306350289E+00  Y=-1.078905540935607E+00  Z=-1.644036804449835E+00
  VX= 4.927602450809935E-03 VY= 7.832830786624443E-03 VZ= 3.438400145912704E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 73.533             ROTPER= 8.78                
   H= 8.2                  G= .150                 B-V= .694                   
                           ALBEDO= .048            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.746262954036983E+00, -2.482111354611109E+00,  4.047344261609743E-01,  5.689278287074795E-03, -5.839058058592959E-03, -2.760579501014801E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.717620951376031E+00, -2.511128304414111E+00,  3.909028948142647E-01,  5.767418336349667E-03, -5.767554461893087E-03, -2.771971619101475E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.688589825276983E+00, -2.539785228107155E+00,  3.770153267536472E-01,  5.844925620805545E-03, -5.695048195493354E-03, -2.782993666851056E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.659172770254667E+00, -2.568077121156546E+00,  3.630735801297036E-01,  5.921787850515385E-03, -5.621542805730780E-03, -2.793642524122857E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.629373042478261E+00, -2.595998997069162E+00,  3.490795287020315E-01,  5.997992653630284E-03, -5.547041963029882E-03, -2.803915067536444E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.599193960181317E+00, -2.623545888020900E+00,  3.350350618541274E-01,  6.073527576236490E-03, -5.471549465116564E-03, -2.813808171005651E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.568638904072218E+00, -2.650712845501495E+00,  3.209420846055033E-01,  6.148380082310580E-03, -5.395069240376037E-03, -2.823318706305833E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.537711317744856E+00, -2.677494940976579E+00,  3.068025176209378E-01,  6.222537553656125E-03, -5.317605351380655E-03, -2.832443543652352E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.506414708089723E+00, -2.703887266567625E+00,  2.926182972168034E-01,  6.295987289818436E-03, -5.239161998492117E-03, -2.841179552293327E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.474752645705325E+00, -2.729884935749858E+00,  2.783913753643586E-01,  6.368716508046969E-03, -5.159743523449099E-03, -2.849523601132624E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.442728765309546E+00, -2.755483084068086E+00,  2.641237196898307E-01,  6.440712343364891E-03, -5.079354412938937E-03, -2.857472559393779E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.410346766150328E+00, -2.780676869870375E+00,  2.498173134710646E-01,  6.511961848768444E-03, -4.997999302177544E-03, -2.865023297327610E-03,
