*******************************************************************************
JPL/HORIZONS               547 Praxedis (A904 TE)          2020-Jun-22 09:13:48
Rec #:     547 (+COV) Soln.date: 2020-Feb-22_15:30:26   # obs: 2970 (1904-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456080.5 ! 2012-Jun-02.00 (TDB)         Residual RMS= .32877
   EC= .2372903125906905   QR= 2.114068384274895   TP= 2455553.5451434511
   OM= 193.2390844295262   W=  195.2121004601061   IN= 16.90737803389607
   A= 2.77178645974163     MA= 112.5480129786803   ADIST= 3.429504535208364
   PER= 4.61475            N= .213581882           ANGMOM= .027821258
   DAN= 3.39252            DDN= 2.12837            L= 27.8222896
   B= -4.3765282           MOID= 1.12258995        TP= 2010-Dec-23.0451434511
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 26.231             ROTPER= 9.105
   H= 9.8                  G= .150                 B-V= .761
                           ALBEDO= .101            STYP= Xk
 
ASTEROID comments: 
1: soln ref.= JPL#38, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:13:48 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 547 Praxedis (A904 TE)          {source: JPL#38}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456080.5 ! 2012-Jun-02.00 (TDB)         Residual RMS= .32877        
   EC= .2372903125906905   QR= 2.114068384274895   TP= 2455553.5451434511      
   OM= 193.2390844295262   W=  195.2121004601061   IN= 16.90737803389607       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.985245049462555E+00  Y= 9.637468127638655E-01  Z=-8.315585649442794E-02
  VX=-4.379518150111074E-03 VY=-7.816569798887459E-03 VZ=-1.248248797604656E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 26.231             ROTPER= 9.105               
   H= 9.8                  G= .150                 B-V= .761                   
                           ALBEDO= .101            STYP= Xk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.680805430175726E+00,  1.272168402393262E+00, -2.525363578886208E-01, -7.644492363560867E-03,  1.008770372085480E-02, -3.530084229673111E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.641936894290021E+00,  1.322106669553967E+00, -2.700864462447715E-01, -7.901776397894382E-03,  9.886420970687645E-03, -3.489519007929741E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.601799364361170E+00,  1.371021055014040E+00, -2.874272872584925E-01, -8.152042208986845E-03,  9.678204410636854E-03, -3.446397540032446E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.560428630985890E+00,  1.418877700929205E+00, -3.045462877972920E-01, -8.395013451262168E-03,  9.463380601338268E-03, -3.400795929530688E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.517861814145753E+00,  1.465644412116856E+00, -3.214312478679642E-01, -8.630434840071871E-03,  9.242287781402649E-03, -3.352795259359977E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.474137256173583E+00,  1.511290710435294E+00, -3.380703844560706E-01, -8.858072817670211E-03,  9.015274257942732E-03, -3.302481165278572E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.429294411779614E+00,  1.555787881051260E+00, -3.544523531841822E-01, -9.077716062450718E-03,  8.782696773878754E-03, -3.249943390951021E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.383373735927651E+00,  1.599109010512828E+00, -3.705662677105819E-01, -9.289175840179433E-03,  8.544918864729660E-03, -3.195275329705290E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.336416570341039E+00,  1.641229016607028E+00, -3.864017168110760E-01, -9.492286201673118E-03,  8.302309218195601E-03, -3.138573556648937E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.288465029394561E+00,  1.682124670054158E+00, -4.019487791058322E-01, -9.686904031477827E-03,  8.055240051757090E-03, -3.079937355300455E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.239561886125136E+00,  1.721774608164879E+00, -4.171980354147405E-01, -9.872908952685453E-03,  7.804085522398560E-03, -3.019468243061294E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.189750459063730E+00,  1.760159340653066E+00, -4.321405787456227E-01, -1.005020309496563E-02,  7.549220181246825E-03, -2.957269499525741E-03,
