*******************************************************************************
JPL/HORIZONS                596 Scheila (A906 DL)          2020-Jun-22 09:15:49
Rec #:     596 (+COV) Soln.date: 2020-May-20_01:08:59   # obs: 4560 (1906-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455432.5 ! 2010-Aug-24.00 (TDB)         Residual RMS= .2878
   EC= .1652606657855787   QR= 2.443022719801099   TP= 2456066.8978800573
   OM= 70.71905358192529   W=  175.9464027681391   IN= 14.661975223312
   A= 2.926689350394927    MA= 235.1177093816266   ADIST= 3.410355980988755
   PER= 5.00695            N= .196851678           ANGMOM= .029023965
   DAN= 3.40867            DDN= 2.44389            L= 246.7970389
   B= 1.0252279            MOID= 1.43025005        TP= 2012-May-19.3978800573
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 79.863             ROTPER= 15.848
   H= 8.9                  G= .150                 B-V= .714
                           ALBEDO= .040            STYP= T
 
ASTEROID comments: 
1: soln ref.= JPL#79, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:15:49 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 596 Scheila (A906 DL)           {source: JPL#79}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455432.5 ! 2010-Aug-24.00 (TDB)         Residual RMS= .2878         
   EC= .1652606657855787   QR= 2.443022719801099   TP= 2456066.8978800573      
   OM= 70.71905358192529   W=  175.9464027681391   IN= 14.661975223312         
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-9.451362934407175E-01  Y= 2.617588596686872E+00  Z= 1.678268371969137E+00
  VX=-7.950301594432569E-03 VY=-4.217672688646385E-03 VZ=-5.501756963521062E-05
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 79.863             ROTPER= 15.848              
   H= 8.9                  G= .150                 B-V= .714                   
                           ALBEDO= .040            STYP= T                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.072754369839865E+00,  2.664889931276126E+00, -2.901307410101393E-01, -6.190393277300412E-03,  5.610193714567539E-03,  2.006864155296917E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.041606279438106E+00,  2.692686134597099E+00, -2.800690957932151E-01, -6.268619293423166E-03,  5.508144868019069E-03,  2.017726445036202E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.010070415060318E+00,  2.719969963975431E+00, -2.699541510227543E-01, -6.345502415333013E-03,  5.405246426317038E-03,  2.028184056084612E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.978153497999715E+00,  2.746737205603631E+00, -2.597879289244391E-01, -6.421039906690046E-03,  5.301512024239171E-03,  2.038237450959331E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.945862263347979E+00,  2.772983713365722E+00, -2.495724494808819E-01, -6.495228983552282E-03,  5.196955104726148E-03,  2.047887064247155E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.913203460246214E+00,  2.798705407894682E+00, -2.393097305730395E-01, -6.568066809287482E-03,  5.091588925544532E-03,  2.057133301916884E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.880183852160368E+00,  2.823898275663860E+00, -2.290017881248942E-01, -6.639550489782358E-03,  4.985426566284766E-03,  2.065976540680427E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.846810217181030E+00,  2.848558368114436E+00, -2.186506362514147E-01, -6.709677068438657E-03,  4.878480935716615E-03,  2.074417127316108E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.813089348348711E+00,  2.872681800819487E+00, -2.082582874099228E-01, -6.778443521035826E-03,  4.770764779003546E-03,  2.082455377997147E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.779028054004524E+00,  2.896264752683382E+00, -1.978267525546759E-01, -6.845846750741688E-03,  4.662290684638983E-03,  2.090091577679334E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.744633158165247E+00,  2.919303465175360E+00, -1.873580412943538E-01, -6.911883583343829E-03,  4.553071091186955E-03,  2.097325979551317E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.709911500921705E+00,  2.941794241596425E+00, -1.768541620521557E-01, -6.976550762697724E-03,  4.443118293877647E-03,  2.104158804536723E-03,
