*******************************************************************************
JPL/HORIZONS               602 Marianna (A906 DJ)          2020-Jun-22 09:16:23
Rec #:     602 (+COV) Soln.date: 2020-May-20_01:08:59   # obs: 2501 (1906-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455964.5 ! 2012-Feb-07.00 (TDB)         Residual RMS= .31047
   EC= .2454645285114281   QR= 2.331308903529217   TP= 2456303.4545830842
   OM= 331.6005296251133   W=  46.11943954417487   IN= 15.07549635196147
   A= 3.089727377468332    MA= 298.4872217212215   ADIST= 3.848145851407448
   PER= 5.43111            N= .181477931           ANGMOM= .029312107
   DAN= 2.48137            DDN= 3.49888            L= 16.7169409
   B= 10.8051998           MOID= 1.35855997        TP= 2013-Jan-10.9545830842
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 55.222             ROTPER= 35.195
   H= 8.5                  G= .150                 B-V= .692
                           ALBEDO= .067            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#40, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:16:23 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 602 Marianna (A906 DJ)          {source: JPL#40}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455964.5 ! 2012-Feb-07.00 (TDB)         Residual RMS= .31047        
   EC= .2454645285114281   QR= 2.331308903529217   TP= 2456303.4545830842      
   OM= 331.6005296251133   W=  46.11943954417487   IN= 15.07549635196147       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 9.475487652588540E-01  Y=-2.259773332415444E+00  Z=-1.541185805737520E+00
  VX= 8.674634324953662E-03 VY= 3.902109587127013E-03 VZ= 4.265867265793167E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 55.222             ROTPER= 35.195              
   H= 8.5                  G= .150                 B-V= .692                   
                           ALBEDO= .067            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.240922654907560E+00,  4.475269996316684E-01,  3.855716220760630E-01, -2.988119277176244E-03,  1.202489095754396E-02,  2.544813880687408E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.225314832072705E+00,  5.075118995729518E-01,  3.981791173615005E-01, -3.254730066355469E-03,  1.196786696075692E-02,  2.497927361431407E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.208378385853313E+00,  5.671936934209167E-01,  4.105483668055518E-01, -3.519521993593606E-03,  1.190365794134141E-02,  2.449523612053068E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.190123107293678E+00,  6.265366090427318E-01,  4.226719077555038E-01, -3.782216961577255E-03,  1.183232741750436E-02,  2.399652522056807E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.170560168200640E+00,  6.855052266047339E-01,  4.345425342207725E-01, -4.042540917103767E-03,  1.175395275169366E-02,  2.348366838196816E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.149702098626066E+00,  7.440645471487017E-01,  4.461533107186358E-01, -4.300224765496044E-03,  1.166862488067850E-02,  2.295721985982766E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.127562759848101E+00,  8.021800596396814E-01,  4.574975851937552E-01, -4.555005255756701E-03,  1.157644797423509E-02,  2.241775877775448E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.104157313009382E+00,  8.598178061329050E-01,  4.685690009455839E-01, -4.806625831914569E-03,  1.147753902472899E-02,  2.186588707979640E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.079502183593450E+00,  9.169444447253391E-01,  4.793615075022470E-01, -5.054837445394102E-03,  1.137202737224222E-02,  2.130222736769364E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.053615021949985E+00,  9.735273099823591E-01,  4.898693703888926E-01, -5.299399322041793E-03,  1.126005417033190E-02,  2.072742064535980E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.026514660110998E+00,  1.029534470555173E+00,  5.000871797498437E-01, -5.540079677792963E-03,  1.114177179740236E-02,  2.014212399331671E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.998221065167983E+00,  1.084934783729690E+00,  5.100098577950174E-01, -5.776656377831413E-03,  1.101734321877536E-02,  1.954700819485223E-03,
