*******************************************************************************
JPL/HORIZONS                635 Vundtia (A907 LA)          2020-Jun-22 09:17:30
Rec #:     635 (+COV) Soln.date: 2020-Feb-22_15:32:43   # obs: 3195 (1906-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455782.5 ! 2011-Aug-09.00 (TDB)         Residual RMS= .31529
   EC= .07693615679432848  QR= 2.901180567482667   TP= 2455103.0118599692
   OM= 183.0925169929285   W=  222.976451169915    IN= 11.02895959047241
   A= 3.142990150504946    MA= 120.1908550208312   ADIST= 3.384799733527225
   PER= 5.57215            N= .1768844             ANGMOM= .030406316
   DAN= 3.31075            DDN= 2.95789            L= 45.5366348
   B= -7.4934171           MOID= 1.91973996        TP= 2009-Sep-28.5118599692
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.2075            ROTPER= 11.79
   H= 9.                   G= .150                 B-V= .675
                           ALBEDO= .034            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#86, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:17:30 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 635 Vundtia (A907 LA)           {source: JPL#86}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455782.5 ! 2011-Aug-09.00 (TDB)         Residual RMS= .31529        
   EC= .07693615679432848  QR= 2.901180567482667   TP= 2455103.0118599692      
   OM= 183.0925169929285   W=  222.976451169915    IN= 11.02895959047241       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-3.256132716307037E+00  Y= 3.722615287041646E-01  Z= 4.761092498403940E-02
  VX=-1.648442200091807E-03 VY=-8.930473402732796E-03 VZ=-1.985162664713857E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.2075            ROTPER= 11.79               
   H= 9.                   G= .150                 B-V= .675                   
                           ALBEDO= .034            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.011225363878975E+00, -2.376809105499350E+00,  4.901508625661003E-01,  6.840814641093158E-03,  6.731795509677693E-03, -1.210366666140794E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.045190130948180E+00, -2.342869566744419E+00,  4.840411489191776E-01,  6.744754267414876E-03,  6.843832556974463E-03, -1.233487142934468E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.078669532165228E+00, -2.308372684943736E+00,  4.778163136590242E-01,  6.646669283804330E-03,  6.954726585428182E-03, -1.256414104037966E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.111653459809023E+00, -2.273324267586553E+00,  4.714773425328949E-01,  6.546565937324981E-03,  7.064440585981988E-03, -1.279140270401725E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.144131839144517E+00, -2.237730307965125E+00,  4.650252578550134E-01,  6.444451178564704E-03,  7.172937248085653E-03, -1.301658294530066E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.176094631988694E+00, -2.201596986657840E+00,  4.584611188450550E-01,  6.340332680949266E-03,  7.280178969529563E-03, -1.323960762008828E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.207531840372564E+00, -2.164930672961432E+00,  4.517860219584646E-01,  6.234218859829140E-03,  7.386127867022856E-03, -1.346040193257657E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.238433510298199E+00, -2.127737926268006E+00,  4.450011012073948E-01,  6.126118891432390E-03,  7.490745787704102E-03, -1.367889045522892E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.268789735590482E+00, -2.090025497382259E+00,  4.381075284711979E-01,  6.016042731818643E-03,  7.593994321528912E-03, -1.389499715054845E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.298590661843676E+00, -2.051800329774736E+00,  4.311065137956276E-01,  5.904001135836239E-03,  7.695834814474558E-03, -1.410864539445879E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.327826490462669E+00, -2.013069560766931E+00,  4.239993056799274E-01,  5.790005676033769E-03,  7.796228382600728E-03, -1.431975800141428E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.356487482798621E+00, -1.973840522643850E+00,  4.167871913509134E-01,  5.674068761507244E-03,  7.895135927015162E-03, -1.452825725129873E-03,
