*******************************************************************************
JPL/HORIZONS                654 Zelinda (A908 AM)          2020-Jun-22 09:17:45
Rec #:     654 (+COV) Soln.date: 2020-May-20_01:09:59   # obs: 2756 (1908-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454930.5 ! 2009-Apr-09.00 (TDB)         Residual RMS= .29365
   EC= .2323764306565777   QR= 1.762868083482086   TP= 2454874.2290093317
   OM= 278.5707476581155   W=  213.9350932307702   IN= 18.12792253278744
   A= 2.296526779382158    MA= 15.93607496270147   ADIST= 2.830185475282229
   PER= 3.48029            N= .28320231            ANGMOM= .025354966
   DAN= 2.69141            DDN= 1.82137            L= 131.1681894
   B= -10.0027107          MOID= .801705           TP= 2009-Feb-11.7290093317
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 80.368             ROTPER= 31.735
   H= 8.52                 G= .150                 B-V= .698
                           ALBEDO= .027            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#102, OCC=0           radar(12 delay, 0 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:17:45 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 654 Zelinda (A908 AM)           {source: JPL#102}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454930.5 ! 2009-Apr-09.00 (TDB)         Residual RMS= .29365        
   EC= .2323764306565777   QR= 1.762868083482086   TP= 2454874.2290093317      
   OM= 278.5707476581155   W=  213.9350932307702   IN= 18.12792253278744       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.595407713254205E+00  Y= 8.079886784143789E-01  Z=-1.769546210720246E-01
  VX=-5.884141208181605E-03 VY=-1.058417867940155E-02 VZ=-7.336632912403057E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 80.368             ROTPER= 31.735              
   H= 8.52                 G= .150                 B-V= .698                   
                           ALBEDO= .027            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.458819726623994E+00, -9.361477226592771E-01,  7.460208314092991E-01,  1.773806488575250E-03,  9.153498324972939E-03,  1.039063238525711E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.467241434480538E+00, -8.902124515453934E-01,  7.510800215783671E-01,  1.594564008713564E-03,  9.220130525110786E-03,  9.844873143769076E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.474762244691561E+00, -8.439512574112792E-01,  7.558644486039511E-01,  1.413448333574372E-03,  9.283858657396244E-03,  9.291578227439100E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.481372805258009E+00, -7.973787953949479E-01,  7.603703423273228E-01,  1.230465142318912E-03,  9.344628467705188E-03,  8.730738466674607E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.487063793960839E+00, -7.505099969716131E-01,  7.645939281953388E-01,  1.045620680106765E-03,  9.402383665801942E-03,  8.162345487814329E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.491825921379670E+00, -7.033600802773718E-01,  7.685314277113788E-01,  8.589218343332038E-04,  9.457065867900306E-03,  7.586391927676812E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.495649934304038E+00, -6.559445607227953E-01,  7.721790589973569E-01,  6.703762154051730E-04,  9.508614538183229E-03,  7.002871662977277E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.498526619559902E+00, -6.082792619007497E-01,  7.755330374740126E-01,  4.799922421267862E-04,  9.556966929646435E-03,  6.411780054314373E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.500446808275680E+00, -5.603803267913511E-01,  7.785895766674121E-01,  2.877792322172455E-04,  9.602058024391628E-03,  5.813114207562834E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.501401380614672E+00, -5.122642292670622E-01,  7.813448891510131E-01,  9.374749840644663E-05,  9.643820473258319E-03,  5.206873254943084E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.501381271002425E+00, -4.639477859013353E-01,  7.837951876333081E-01, -1.020915496595490E-04,  9.682184534790972E-03,  4.593058656259601E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.500377473878554E+00, -4.154481680837595E-01,  7.859366862011274E-01, -2.997252974969712E-04,  9.717078013705497E-03,  3.971674520315672E-04,
2440460.500000000, A.D. 1969-Aug-27 00:00:00.0000,      39.853580,  2.498381050003770E+00, -3.667829144436123E-01,  7.877656017287410E-01, -4.991398115771281E-04,  9.748426199107731E-03,  3.342727946784560E-04,
