*******************************************************************************
JPL/HORIZONS                667 Denise (A908 OF)           2020-Jun-22 09:24:12
Rec #:     667 (+COV) Soln.date: 2020-May-20_01:10:35   # obs: 2564 (1908-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456133.5 ! 2012-Jul-25.00 (TDB)         Residual RMS= .27583
   EC= .1923187847491182   QR= 2.570783089058188   TP= 2456416.1985002123
   OM= 153.3298011227768   W=  305.9856038583755   IN= 25.39420568022052
   A= 3.18291801333977     MA= 310.9330119067408   ADIST= 3.795052937621352
   PER= 5.67867            N= .173566491           ANGMOM= .030116906
   DAN= 2.75398            DDN= 3.4557             L= 102.123016
   B= -20.3042481          MOID= 1.65699995        TP= 2013-May-03.6985002123
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 44.315             ROTPER= 12.687
   H= 9.4                  G= .150                 B-V= n.a.
                           ALBEDO= .062            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#37, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:24:12 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 667 Denise (A908 OF)            {source: JPL#37}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456133.5 ! 2012-Jul-25.00 (TDB)         Residual RMS= .27583        
   EC= .1923187847491182   QR= 2.570783089058188   TP= 2456416.1985002123      
   OM= 153.3298011227768   W=  305.9856038583755   IN= 25.39420568022052       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.351699733167775E+00  Y= 1.569397155442134E+00  Z=-4.489229075051412E-01
  VX=-7.090252439675287E-03 VY= 7.834909231170795E-03 VZ= 1.452712975842786E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 44.315             ROTPER= 12.687              
   H= 9.4                  G= .150                 B-V= n.a.                   
                           ALBEDO= .062            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.417276970751096E+00, -1.925217646726279E+00,  1.328261165576888E+00,  4.815046311608276E-03, -7.425369408589094E-03,  2.138413356789218E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.392968739927423E+00, -1.962157066171667E+00,  1.338824408075621E+00,  4.907977683788927E-03, -7.350251060837033E-03,  2.086877787811039E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.368199871550029E+00, -1.998718705873266E+00,  1.349129892886094E+00,  4.999302481754052E-03, -7.274261817574859E-03,  2.035311867882597E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.342978381067825E+00, -2.034898275486106E+00,  1.359177491811200E+00,  5.089027712217798E-03, -7.197427239121516E-03,  1.983724972646529E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.317312248343567E+00, -2.070691611083027E+00,  1.368967122826977E+00,  5.177160599932026E-03, -7.119772333672689E-03,  1.932126196944300E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.291209416607887E+00, -2.106094672415122E+00,  1.378498748696879E+00,  5.263708570138305E-03, -7.041321565767283E-03,  1.880524362107923E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.264677791499094E+00, -2.141103540215209E+00,  1.387772375622315E+00,  5.348679231780703E-03, -6.962098865038119E-03,  1.828928023193325E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.237725240185312E+00, -2.175714413545704E+00,  1.396788051929388E+00,  5.432080361347183E-03, -6.882127635200883E-03,  1.777345476231799E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.210359590565895E+00, -2.209923607191683E+00,  1.405545866791847E+00,  5.513919887317807E-03, -6.801430763115547E-03,  1.725784765441517E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.182588630548970E+00, -2.243727549099246E+00,  1.414045948989763E+00,  5.594205875281314E-03, -6.720030627836817E-03,  1.674253690298975E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.154420107401646E+00, -2.277122777859090E+00,  1.422288465703127E+00,  5.672946513750781E-03, -6.637949109658425E-03,  1.622759812426708E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.125861727169412E+00, -2.310105940235384E+00,  1.430273621339427E+00,  5.750150100667746E-03, -6.555207599193899E-03,  1.571310462307080E-03,
