*******************************************************************************
JPL/HORIZONS                691 Lehigh (A909 XB)           2020-Jun-22 09:25:19
Rec #:     691 (+COV) Soln.date: 2020-May-20_01:10:56   # obs: 2583 (1914-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456099.5 ! 2012-Jun-21.00 (TDB)         Residual RMS= .2738
   EC= .1188611720720417   QR= 2.654752243365214   TP= 2456592.2290194682
   OM= 88.18683194809387   W=  303.7884497008239   IN= 13.0267799294365
   A= 3.012864896225258    MA= 267.1369959114435   ADIST= 3.370977549085303
   PER= 5.22971            N= .188466678           ANGMOM= .029647054
   DAN= 2.78613            DDN= 3.18054            L= 32.6691079
   B= -10.7972702          MOID= 1.68625998        TP= 2013-Oct-26.7290194682
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 39.7255            ROTPER= 12.891
   H= 9.3                  G= .150                 B-V= .743
                           ALBEDO= .053            STYP= CD:
 
ASTEROID comments: 
1: soln ref.= JPL#74, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:25:19 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 691 Lehigh (A909 XB)            {source: JPL#74}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456099.5 ! 2012-Jun-21.00 (TDB)         Residual RMS= .2738         
   EC= .1188611720720417   QR= 2.654752243365214   TP= 2456592.2290194682      
   OM= 88.18683194809387   W=  303.7884497008239   IN= 13.0267799294365        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 8.092113315170325E-01  Y=-2.629595829360328E+00  Z=-1.367615247804477E+00
  VX= 8.751226875620351E-03 VY= 4.206972932982329E-03 VZ=-3.520582354779070E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 39.7255            ROTPER= 12.891              
   H= 9.3                  G= .150                 B-V= .743                   
                           ALBEDO= .053            STYP= CD:                   
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.596177785459491E+00, -2.066065543980648E+00,  5.907488466427728E-01,  5.333700010978364E-03, -6.861920597442481E-03, -1.263940139783640E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.569259999408756E+00, -2.100174830994224E+00,  5.843723903559012E-01,  5.433251624280935E-03, -6.781567225677743E-03, -1.286603551782214E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.541846908327846E+00, -2.133878953361162E+00,  5.778832019187401E-01,  5.531819769094493E-03, -6.699856128442341E-03, -1.309032487097241E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.513943463414359E+00, -2.167171143307117E+00,  5.712824614172320E-01,  5.629390894045457E-03, -6.616795648711694E-03, -1.331223862587892E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.485554683765999E+00, -2.200044674802614E+00,  5.645713643857884E-01,  5.725951389760907E-03, -6.532394142143186E-03, -1.353174581849336E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.456685656680950E+00, -2.232492863636855E+00,  5.577511218759347E-01,  5.821487584752470E-03, -6.446659981267640E-03, -1.374881534290521E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.427341537978494E+00, -2.264509067513094E+00,  5.508229605295042E-01,  5.915985741394180E-03, -6.359601559942665E-03, -1.396341594225271E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.397527552339852E+00, -2.296086686167005E+00,  5.437881226564503E-01,  6.009432051852174E-03, -6.271227298083342E-03, -1.417551619932150E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.367248993669539E+00, -2.327219161509108E+00,  5.366478663174300E-01,  6.101812633956660E-03, -6.181545646526222E-03, -1.438508452692319E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.336511225477251E+00, -2.357899977791592E+00,  5.294034654111490E-01,  6.193113527136403E-03, -6.090565091920305E-03, -1.459208915851724E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.305319681279774E+00, -2.388122661799656E+00,  5.220562097662883E-01,  6.283320688485476E-03, -5.998294161644461E-03, -1.479649813930230E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.273679865022141E+00, -2.417880783067602E+00,  5.146074052377512E-01,  6.372419988996755E-03, -5.904741428802794E-03, -1.499827931784054E-03,
