*******************************************************************************
JPL/HORIZONS                696 Leonora (A916 BD)          2020-Jun-22 09:25:37
Rec #:     696 (+COV) Soln.date: 2020-May-20_01:10:56   # obs: 2430 (1916-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456135.5 ! 2012-Jul-27.00 (TDB)         Residual RMS= .28009
   EC= .2521410701465565   QR= 2.368770179118034   TP= 2455840.5027253376
   OM= 299.5309901903425   W=  104.1392642040439   IN= 13.03850203436047
   A= 3.167402413155964    MA= 51.57832243414088   ADIST= 3.966034647193895
   PER= 5.6372             N= .174843381           ANGMOM= .029625762
   DAN= 3.16071            DDN= 2.79395            L= 44.0288519
   B= 12.6368583           MOID= 1.41868997        TP= 2011-Oct-06.0027253376
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 40.79              ROTPER= 26.8964
   H= 9.5                  G= .150                 B-V= n.a.
                           ALBEDO= .022            STYP= XC
 
ASTEROID comments: 
1: soln ref.= JPL#34, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:25:37 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 696 Leonora (A916 BD)           {source: JPL#34}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456135.5 ! 2012-Jul-27.00 (TDB)         Residual RMS= .28009        
   EC= .2521410701465565   QR= 2.368770179118034   TP= 2455840.5027253376      
   OM= 299.5309901903425   W=  104.1392642040439   IN= 13.03850203436047       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.505444928377724E+00  Y= 2.205403044923286E+00  Z= 9.229465005426916E-01
  VX=-9.946863086942358E-03 VY=-2.147584496763298E-03 VZ=-3.535661327518510E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 40.79              ROTPER= 26.8964             
   H= 9.5                  G= .150                 B-V= n.a.                   
                           ALBEDO= .022            STYP= XC                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.524181311860526E+00, -2.919518496312639E+00, -8.428940996456628E-01,  5.658216194511598E-03, -4.928026128289034E-03,  5.636675279534107E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.495739654609189E+00, -2.943983200078478E+00, -8.400253044757255E-01,  5.718337273638956E-03, -4.857753053293202E-03,  5.838403931428038E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.466999035541786E+00, -2.968095005069145E+00, -8.370557977731844E-01,  5.777800498784757E-03, -4.786866909831990E-03,  6.039520225824900E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.437962750345860E+00, -2.991850850251758E+00, -8.339858875026381E-01,  5.836603285756345E-03, -4.715369408804391E-03,  6.240016999777877E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.408634107888771E+00, -3.015247682956401E+00, -8.308158852400153E-01,  5.894742946466423E-03, -4.643262184826378E-03,  6.439886969854528E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.379016430742414E+00, -3.038282458499630E+00, -8.275461062343913E-01,  5.952216686844339E-03, -4.570546798202016E-03,  6.639122725849076E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.349113055718276E+00, -3.060952139817920E+00, -8.241768694729671E-01,  6.009021604781540E-03, -4.497224736937240E-03,  6.837716724371292E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.318927334412858E+00, -3.083253697111410E+00, -8.207084977493508E-01,  6.065154688017914E-03, -4.423297418849876E-03,  7.035661282005554E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.288462633763926E+00, -3.105184107498333E+00, -8.171413177353388E-01,  6.120612811935500E-03, -4.348766193714415E-03,  7.232948568238302E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.257722336617939E+00, -3.126740354680109E+00, -8.134756600562265E-01,  6.175392737294529E-03, -4.273632345383578E-03,  7.429570598418773E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.226709842308864E+00, -3.147919428616961E+00, -8.097118593696083E-01,  6.229491107950935E-03, -4.197897093868259E-03,  7.625519226876672E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.195428567248407E+00, -3.168718325213843E+00, -8.058502544475773E-01,  6.282904448572863E-03, -4.121561597392225E-03,  7.820786140159994E-04,
