*******************************************************************************
JPL/HORIZONS                702 Alauda (A910 OA)           2020-Jun-22 09:25:47
Rec #:     702 (+COV) Soln.date: 2020-Feb-22_15:34:35   # obs: 3028 (1910-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454554.5 ! 2008-Mar-29.00 (TDB)         Residual RMS= .2525
   EC= .02185236454317644  QR= 3.121612793812686   TP= 2454129.8532112367
   OM= 289.9677299015053   W=  352.4449943450499   IN= 20.61336819702069
   A= 3.191351367275761    MA= 73.41249499936629   ADIST= 3.261089940738835
   PER= 5.70125            N= .172878955           ANGMOM= .0307231
   DAN= 3.12219            DDN= 3.26046            L= 282.8913561
   B= -2.6530591           MOID= 2.10517001        TP= 2007-Jan-29.3532112367
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 95.49              ROTPER= 8.3531
   H= 7.3                  G= .150                 B-V= .665
                           ALBEDO= .061            STYP= B
 
ASTEROID comments: 
1: soln ref.= JPL#95, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:25:47 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 702 Alauda (A910 OA)            {source: JPL#95}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454554.5 ! 2008-Mar-29.00 (TDB)         Residual RMS= .2525         
   EC= .02185236454317644  QR= 3.121612793812686   TP= 2454129.8532112367      
   OM= 289.9677299015053   W=  352.4449943450499   IN= 20.61336819702069       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.994001128843936E+00  Y=-5.611381710407628E-01  Z= 8.877443027391527E-01
  VX= 2.737433209118617E-04 VY= 8.269989155905376E-03 VZ= 5.033545894720973E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 95.49              ROTPER= 8.3531              
   H= 7.3                  G= .150                 B-V= .665                   
                           ALBEDO= .061            STYP= B                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.355912430848885E-01,  3.096440551860444E+00,  6.640491448594922E-01, -8.610962790356894E-03,  2.895254860242290E-03, -2.640738093086335E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  6.924591513373437E-01,  3.110582671466173E+00,  6.507743525236498E-01, -8.641557644028412E-03,  2.761519792507321E-03, -2.669077494596583E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  6.491788304031735E-01,  3.124055041590136E+00,  6.373593868927208E-01, -8.670254254530134E-03,  2.627359805225690E-03, -2.696806713095187E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  6.057597743570782E-01,  3.136855608641091E+00,  6.238073092397662E-01, -8.697051537846943E-03,  2.492803289102360E-03, -2.723921627826183E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  5.622114818043860E-01,  3.148982460799886E+00,  6.101212011057225E-01, -8.721948765049030E-03,  2.357878561646203E-03, -2.750418252244930E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  5.185434541160615E-01,  3.160433827643815E+00,  5.963041636304621E-01, -8.744945558135608E-03,  2.222613863233285E-03, -2.776292733199135E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  4.747651936837510E-01,  3.171208079750453E+00,  5.823593168876743E-01, -8.766041886246939E-03,  2.087037352923937E-03, -2.801541350179772E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  4.308862021927469E-01,  3.181303728281556E+00,  5.682897992238440E-01, -8.785238062201125E-03,  1.951177104779371E-03, -2.826160514408320E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  3.869159789125939E-01,  3.190719424550217E+00,  5.540987666022137E-01, -8.802534738848181E-03,  1.815061104782933E-03, -2.850146767784444E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.428640190065408E-01,  3.199453959573130E+00,  5.397893919519980E-01, -8.817932905204889E-03,  1.678717247901422E-03, -2.873496781850012E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.987398118604743E-01,  3.207506263608155E+00,  5.253648645226735E-01, -8.831433882549651E-03,  1.542173335146452E-03, -2.896207356795423E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.545528394313500E-01,  3.214875405677304E+00,  5.108283892431769E-01, -8.843039320526254E-03,  1.405457070696148E-03, -2.918275420484933E-03,
