*******************************************************************************
JPL/HORIZONS               713 Luscinia (A911 HG)          2020-Jun-22 09:26:45
Rec #:     713 (+COV) Soln.date: 2020-Feb-22_15:34:56   # obs: 2870 (1911-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455688.5 ! 2011-May-07.00 (TDB)         Residual RMS= .31681
   EC= .1658108766369005   QR= 2.829616628607046   TP= 2456750.0171105419
   OM= 217.7352594597985   W=  136.8760690777787   IN= 10.3577417361702
   A= 3.392056488580458    MA= 192.5302165400738   ADIST= 3.954496348553871
   PER= 6.24745            N= .157764559           ANGMOM= .031243472
   DAN= 3.75299            DDN= 2.94267            L= 355.0807279
   B= 7.0596791            MOID= 1.83545995        TP= 2014-Apr-02.5171105419
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 48.984             ROTPER= 9.9143
   H= 8.9                  G= .150                 B-V= .663
                           ALBEDO= .048            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:26:45 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 713 Luscinia (A911 HG)          {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455688.5 ! 2011-May-07.00 (TDB)         Residual RMS= .31681        
   EC= .1658108766369005   QR= 2.829616628607046   TP= 2456750.0171105419      
   OM= 217.7352594597985   W=  136.8760690777787   IN= 10.3577417361702        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-3.914300834515085E+00  Y=-1.029722334580457E-01  Z=-4.770914691224772E-01
  VX= 6.948330658506828E-04 VY=-7.637066666214074E-03 VZ=-1.997295860457778E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 48.984             ROTPER= 9.9143              
   H= 8.9                  G= .150                 B-V= .663                   
                           ALBEDO= .048            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  6.070421682778631E-01, -2.991799514213141E+00,  4.767481940938411E-01,  9.617879968889936E-03,  3.399432871815627E-03,  6.642308688680792E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  6.550537513511365E-01, -2.974426930796693E+00,  4.800092804374200E-01,  9.586317296223225E-03,  3.549613475709957E-03,  6.401508994359048E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.029009629959029E-01, -2.956303290925379E+00,  4.831491788277371E-01,  9.552127708368307E-03,  3.699847159773602E-03,  6.157563825799090E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.505706140957074E-01, -2.937428454561060E+00,  4.861663271754318E-01,  9.515289550121875E-03,  3.850083588741485E-03,  5.910516220580983E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.980494097169385E-01, -2.917802536184191E+00,  4.890591855834926E-01,  9.475782158604267E-03,  4.000271292615682E-03,  5.660411917899259E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  8.453239542025190E-01, -2.897425910432744E+00,  4.918262377088523E-01,  9.433585916166259E-03,  4.150357680995266E-03,  5.407299401126387E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  8.923807565313450E-01, -2.876299217662900E+00,  4.944659921443590E-01,  9.388682303792027E-03,  4.300289060038056E-03,  5.151229936762963E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  9.392062359460897E-01, -2.854423369418575E+00,  4.969769838194100E-01,  9.341053955038021E-03,  4.450010651940417E-03,  4.892257610253034E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  9.857867278517860E-01, -2.831799553797568E+00,  4.993577754178414E-01,  9.290684710368494E-03,  4.599466616793794E-03,  4.630439359229217E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.032108489986624E+00, -2.808429240702433E+00,  5.016069588117802E-01,  9.237559671673447E-03,  4.748600076857877E-03,  4.365835004072264E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.078157708865399E+00, -2.784314186963673E+00,  5.037231565100083E-01,  9.181665256783782E-03,  4.897353143383110E-03,  4.098507275296259E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.123920506495244E+00, -2.759456441322228E+00,  5.057050231191399E-01,  9.122989253845882E-03,  5.045666946077449E-03,  3.828521837378559E-04,
