*******************************************************************************
JPL/HORIZONS                772 Tanete (A913 YD)           2020-Jun-22 09:28:07
Rec #:     772 (+COV) Soln.date: 2020-May-20_01:12:41   # obs: 2629 (1902-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455906.5 ! 2011-Dec-11.00 (TDB)         Residual RMS= .28459
   EC= .09049545949447783  QR= 2.734356002876808   TP= 2456729.2628972135
   OM= 63.85758259092512   W=  144.1714309992093   IN= 28.8384861299855
   A= 3.006423696749215    MA= 204.4380086730744   ADIST= 3.278491390621622
   PER= 5.21295            N= .189072681           ANGMOM= .029704408
   DAN= 3.2179             DDN= 2.77798            L= 211.546562
   B= 16.4001978           MOID= 1.75272           TP= 2014-Mar-12.7628972135
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 63.2365            ROTPER= 17.258
   H= 8.4                  G= .150                 B-V= .671
                           ALBEDO= .028            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#107, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:28:07 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 772 Tanete (A913 YD)            {source: JPL#107}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455906.5 ! 2011-Dec-11.00 (TDB)         Residual RMS= .28459        
   EC= .09049545949447783  QR= 2.734356002876808   TP= 2456729.2628972135      
   OM= 63.85758259092512   W=  144.1714309992093   IN= 28.8384861299855        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.059684075402092E+00  Y= 2.449185954941108E+00  Z= 6.106015125708103E-01
  VX=-6.058279387361147E-03 VY= 3.167687776025144E-03 VZ= 6.041266433938212E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 63.2365            ROTPER= 17.258              
   H= 8.4                  G= .150                 B-V= .671                   
                           ALBEDO= .028            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.910528815635074E+00,  9.035880972757916E-02, -1.420828558010639E+00,  1.010573341343334E-03,  8.989307798892758E-03,  1.625294057095094E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.915264470302859E+00,  1.352939564234573E-01, -1.412547390401327E+00,  8.836969372770230E-04,  8.984426040859634E-03,  1.687091917646156E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.919365886734932E+00,  1.801998290374485E-01, -1.403958456541562E+00,  7.568815628579831E-04,  8.977599626201082E-03,  1.748399157652248E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.922833422652598E+00,  2.250667262516154E-01, -1.395064230432079E+00,  6.301482146925081E-04,  8.968837353708903E-03,  1.809207437073688E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.925667540274990E+00,  2.698849909295160E-01, -1.385867227489028E+00,  5.035176961344563E-04,  8.958148096561959E-03,  1.869508529242703E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.927868805365455E+00,  3.146450104789510E-01, -1.376370003985355E+00,  3.770106223862856E-04,  8.945540798684455E-03,  1.929294317545456E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.929437886303864E+00,  3.593372171968019E-01, -1.366575156508949E+00,  2.506474257151258E-04,  8.931024471196394E-03,  1.988556792074586E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.930375553184618E+00,  4.039520885963681E-01, -1.356485321437045E+00,  1.244483604818045E-04,  8.914608189003678E-03,  2.047288046496950E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.930682676939235E+00,  4.484801477185376E-01, -1.346103174425747E+00, -1.566492028994925E-06,  8.896301087767820E-03,  2.105480275116380E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.930360228482991E+00,  4.929119634289006E-01, -1.335431429914125E+00, -1.273772187868776E-04,  8.876112361307215E-03,  2.163125769946078E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.929409277885931E+00,  5.372381507027686E-01, -1.324472840643192E+00, -2.529640700820335E-04,  8.854051259337111E-03,  2.220216917684578E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.927830993568873E+00,  5.814493708995150E-01, -1.313230197190246E+00, -3.783074544587867E-04,  8.830127085446417E-03,  2.276746196588704E-03,
