*******************************************************************************
JPL/HORIZONS              773 Irmintraud (A913 YF)         2020-Jun-22 09:28:16
Rec #:     773 (+COV) Soln.date: 2020-May-20_01:12:41   # obs: 2949 (1913-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455955.5 ! 2012-Jan-29.00 (TDB)         Residual RMS= .26962
   EC= .08131984544710354  QR= 2.62503763349497    TP= 2456524.9489869601
   OM= 322.4315310784666   W=  332.6540944439271   IN= 16.68804959052471
   A= 2.857401044841906    MA= 243.8010778005423   ADIST= 3.089764456188842
   PER= 4.8302             N= .20405501            ANGMOM= .028981863
   DAN= 2.64729            DDN= 3.0595             L= 296.0790008
   B= -7.5800073           MOID= 1.61803997        TP= 2013-Aug-20.4489869601
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 45.836             ROTPER= 6.7514
   H= 9.1                  G= .150                 B-V= .706
                           ALBEDO= .048            STYP= T
 
ASTEROID comments: 
1: soln ref.= JPL#74, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:28:16 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 773 Irmintraud (A913 YF)        {source: JPL#74}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455955.5 ! 2012-Jan-29.00 (TDB)         Residual RMS= .26962        
   EC= .08131984544710354  QR= 2.62503763349497    TP= 2456524.9489869601      
   OM= 322.4315310784666   W=  332.6540944439271   IN= 16.68804959052471       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.900603013092318E+00  Y= 6.365411161005468E-01  Z=-1.679372437910082E-01
  VX=-6.494224726454148E-04 VY=-7.733930643307505E-03 VZ=-5.931211544239031E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 45.836             ROTPER= 6.7514              
   H= 9.1                  G= .150                 B-V= .706                   
                           ALBEDO= .048            STYP= T                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.320287499596608E+00, -2.248318386839958E+00, -7.776309290213724E-01,  9.439263937817360E-03, -4.934076185233101E-03,  5.105746820758962E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.272851410068135E+00, -2.272574958630943E+00, -7.749356546267936E-01,  9.534649309746219E-03, -4.768156116761850E-03,  5.675362403675838E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.224946284434255E+00, -2.295996028634684E+00, -7.719555751021138E-01,  9.626867951702372E-03, -4.599884492516899E-03,  6.244926972861644E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.176588111973267E+00, -2.318569976103423E+00, -7.686907767712693E-01,  9.715857773919400E-03, -4.429316464510338E-03,  6.814196735470230E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.127793189926403E+00, -2.340285461139438E+00, -7.651414686295213E-01,  9.801557693379339E-03, -4.256509219929936E-03,  7.382924823272134E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.078578118277459E+00, -2.361131434856067E+00, -7.613079838439955E-01,  9.883907708620694E-03, -4.081521974673836E-03,  7.950861442855988E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.028959794156115E+00, -2.381097149498718E+00, -7.571907811768515E-01,  9.962848975426092E-03, -3.904415963850128E-03,  8.517754034628629E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -9.789554058612380E-01, -2.400172168511240E+00, -7.527904463271119E-01,  1.003832388307360E-02, -3.725254429428827E-03,  9.083347439005624E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -9.285824265022262E-01, -2.418346376533268E+00, -7.481076931876434E-01,  1.011027613083237E-02, -3.544102604946766E-03,  9.647384069714397E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -8.778586072575923E-01, -2.435609989313202E+00, -7.431433650135317E-01,  1.017865080455772E-02, -3.361027697015561E-03,  1.020960409505818E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -8.268019702505048E-01, -2.451953563520388E+00, -7.378984354977317E-01,  1.024339445329300E-02, -3.176098863475136E-03,  1.076974562757010E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -7.754308010415665E-01, -2.467368006439485E+00, -7.323740097497776E-01,  1.030445516574989E-02, -2.989387188106156E-03,  1.132754492211912E-03,
