*******************************************************************************
JPL/HORIZONS                780 Armenia (A914 BJ)          2020-Jun-22 09:28:43
Rec #:     780 (+COV) Soln.date: 2020-May-20_01:12:41   # obs: 2650 (1909-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456074.5 ! 2012-May-27.00 (TDB)         Residual RMS= .29739
   EC= .09716658044787214  QR= 2.81255045461331    TP= 2455675.8728569807
   OM= 144.8882315471581   W=  215.4958313652126   IN= 19.07622428901424
   A= 3.115248498453395    MA= 71.45488060287052   ADIST= 3.41794654229348
   PER= 5.49854            N= .179252416           ANGMOM= .030218151
   DAN= 3.35092            DDN= 2.85962            L= 358.8689429
   B= -10.9393239          MOID= 1.82345998        TP= 2011-Apr-24.3728569807
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 63.1315            ROTPER= 19.891
   H= 9.                   G= .150                 B-V= n.a.
                           ALBEDO= .028            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#42, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:28:43 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 780 Armenia (A914 BJ)           {source: JPL#42}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456074.5 ! 2012-May-27.00 (TDB)         Residual RMS= .29739        
   EC= .09716658044787214  QR= 2.81255045461331    TP= 2455675.8728569807      
   OM= 144.8882315471581   W=  215.4958313652126   IN= 19.07622428901424       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.992899132886610E-01  Y= 3.011928742897534E+00  Z= 3.464187281191756E-01
  VX=-9.600570348266980E-03 VY= 1.668905891802949E-03 VZ= 2.077934895627026E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 63.1315            ROTPER= 19.891              
   H= 9.                   G= .150                 B-V= n.a.                   
                           ALBEDO= .028            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.942755920357604E+00,  1.621787278118822E+00,  1.092439882269373E-01, -4.292508519396290E-03, -7.336221740664501E-03,  2.935852657859154E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.963932093092669E+00,  1.584949918229422E+00,  1.239121752342086E-01, -4.177850411113658E-03, -7.398469668293333E-03,  2.931328281143934E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.984533338520834E+00,  1.547805111034294E+00,  1.385563342566766E-01, -4.062540731518869E-03, -7.459199841027194E-03,  2.926241836099010E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.004556445745152E+00,  1.510360457534011E+00,  1.531736605522256E-01, -3.946598251812659E-03, -7.518407388876365E-03,  2.920595565941555E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -3.023998297537074E+00,  1.472623582775235E+00,  1.677613606454277E-01, -3.830041668575454E-03, -7.576087562821057E-03,  2.914391734039399E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.042855869969939E+00,  1.434602135254444E+00,  1.823166524269822E-01, -3.712889606457980E-03, -7.632235731379448E-03,  2.907632623393530E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.061126232066524E+00,  1.396303786339018E+00,  1.968367652507055E-01, -3.595160621053061E-03, -7.686847377072056E-03,  2.900320536178997E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -3.078806545460538E+00,  1.357736229706136E+00,  2.113189400283887E-01, -3.476873201555036E-03, -7.739918092891101E-03,  2.892457793348456E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -3.095894064070649E+00,  1.318907180798599E+00,  2.257604293227832E-01, -3.358045773148772E-03, -7.791443579094566E-03,  2.884046734276599E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -3.112386133786545E+00,  1.279824376295765E+00,  2.401584974388780E-01, -3.238696699494841E-03, -7.841419640342413E-03,  2.875089716431784E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -3.128280192168106E+00,  1.240495573598371E+00,  2.545104205136215E-01, -3.118844285486002E-03, -7.889842182971292E-03,  2.865589115084401E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.143573768158849E+00,  1.200928550326918E+00,  2.688134866043029E-01, -2.998506780181617E-03, -7.936707212290910E-03,  2.855547323064293E-03,
