*******************************************************************************
JPL/HORIZONS              786 Bredichina (A914 HD)         2020-Jun-22 09:28:57
Rec #:     786 (+COV) Soln.date: 2020-May-20_01:12:42   # obs: 2353 (1914-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456029.5 ! 2012-Apr-12.00 (TDB)         Residual RMS= .2959
   EC= .1653613004404683   QR= 2.644243926292074   TP= 2455400.4924976155
   OM= 89.90010590593035   W=  133.6300565568748   IN= 14.5521022355463
   A= 3.168130027624569    MA= 109.9399164797867   ADIST= 3.692016128957065
   PER= 5.63914            N= .174783151           ANGMOM= .030196909
   DAN= 3.47838            DDN= 2.76591            L= 224.4637586
   B= 10.4783921           MOID= 1.65699995        TP= 2010-Jul-22.9924976155
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 54.1545            ROTPER= 29.434
   H= 8.9                  G= .150                 B-V= .692
                           ALBEDO= .052            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#39, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:28:57 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 786 Bredichina (A914 HD)        {source: JPL#39}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456029.5 ! 2012-Apr-12.00 (TDB)         Residual RMS= .2959         
   EC= .1653613004404683   QR= 2.644243926292074   TP= 2455400.4924976155      
   OM= 89.90010590593035   W=  133.6300565568748   IN= 14.5521022355463        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.255310544424935E+00  Y=-2.142036863281231E-01  Z=-1.014205221530085E+00
  VX= 2.746944253756297E-03 VY= 8.055348992858976E-03 VZ= 2.719394456162736E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 54.1545            ROTPER= 29.434              
   H= 8.9                  G= .150                 B-V= .692                   
                           ALBEDO= .052            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -6.364668601730668E-01,  3.353987863146810E+00,  1.621724414869771E-01, -8.114812642264428E-03, -3.041190253849748E-03,  2.112508507276901E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -6.769802133460689E-01,  3.338471028170116E+00,  1.727195940702558E-01, -8.090252921576562E-03, -3.165572565563182E-03,  2.106280906996336E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -7.173666188153324E-01,  3.322331863500884E+00,  1.832345308337082E-01, -8.064030853183756E-03, -3.290119254600540E-03,  2.099621471817335E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -7.576177241402593E-01,  3.305569590821444E+00,  1.937150819663910E-01, -8.036130138844544E-03, -3.414812807893664E-03,  2.092525942518346E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -7.977250951341226E-01,  3.288183520674186E+00,  2.041590562932193E-01, -8.006534379610330E-03, -3.539635191993224E-03,  2.084990032985369E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -8.376802153796420E-01,  3.270173055101002E+00,  2.145642411454266E-01, -7.975227083505940E-03, -3.664567838050832E-03,  2.077009432201279E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -8.774744857836627E-01,  3.251537690357523E+00,  2.249284022412739E-01, -7.942191673546737E-03, -3.789591626971445E-03,  2.068579806357687E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -9.170992241737776E-01,  3.232277019701055E+00,  2.352492835776901E-01, -7.907411496571020E-03, -3.914686874695665E-03,  2.059696801122524E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -9.565456649414299E-01,  3.212390736253172E+00,  2.455246073336859E-01, -7.870869832956326E-03, -4.039833316994364E-03,  2.050356044082967E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -9.958049587351830E-01,  3.191878635939681E+00,  2.557520737864130E-01, -7.832549906934128E-03, -4.165010093757129E-03,  2.040553147355475E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.034868172206855E+00,  3.170740620509829E+00,  2.659293612406726E-01, -7.792434897431741E-03, -4.290195733054046E-03,  2.030283710361501E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.073726287813402E+00,  3.148976700635486E+00,  2.760541259727495E-01, -7.750507949545239E-03, -4.415368135075773E-03,  2.019543322780014E-03,
