*******************************************************************************
JPL/HORIZONS               790 Pretoria (A912 BE)          2020-Jun-22 09:29:20
Rec #:     790 (+COV) Soln.date: 2020-May-20_01:12:59   # obs: 2610 (1916-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454836.5 ! 2009-Jan-05.00 (TDB)         Residual RMS= .22814
   EC= .1520025439644102   QR= 2.895260938678972   TP= 2454752.1243593418
   OM= 252.1343709144045   W=  39.80780977311846   IN= 20.52486284269434
   A= 3.414233047601808    MA= 13.18200326079238   ADIST= 3.933205156524644
   PER= 6.30882            N= .156229959           ANGMOM= .031416082
   DAN= 2.98661            DDN= 3.7763             L= 290.1062468
   B= 12.9715977           MOID= 1.90820003        TP= 2008-Oct-12.6243593418
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 85.185             ROTPER= 10.37
   H= 8.1                  G= .150                 B-V= .706
                           ALBEDO= .0384           STYP= P
 
ASTEROID comments: 
1: soln ref.= JPL#75, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:29:21 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 790 Pretoria (A912 BE)          {source: JPL#75}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454836.5 ! 2009-Jan-05.00 (TDB)         Residual RMS= .22814        
   EC= .1520025439644102   QR= 2.895260938678972   TP= 2454752.1243593418      
   OM= 252.1343709144045   W=  39.80780977311846   IN= 20.52486284269434       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.723407976209904E+00  Y=-2.348726147117536E+00  Z=-7.545207443914981E-02
  VX= 8.176115554606950E-03 VY= 5.300362151436733E-03 VZ= 4.633865438307955E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 85.185             ROTPER= 10.37               
   H= 8.1                  G= .150                 B-V= .706                   
                           ALBEDO= .0384           STYP= P                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -3.308158971705284E+00, -3.220753075909251E-01, -1.146629391811207E+00,  1.799922656787947E-03, -8.675048816069130E-03,  1.614176731171444E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.298878646633143E+00, -3.654220082285347E-01, -1.138461034726214E+00,  1.912268739265292E-03, -8.663373525871289E-03,  1.653159154405317E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -3.289035682547522E+00, -4.087064496196003E-01, -1.130097875651497E+00,  2.024975865741737E-03, -8.650142296140069E-03,  1.692096341407229E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.278628310554307E+00, -4.519208097112274E-01, -1.121540158694347E+00,  2.138029429650824E-03, -8.635338177972730E-03,  1.730981093370230E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -3.267654835944243E+00, -4.950571816114622E-01, -1.112788164383619E+00,  2.251414361848915E-03, -8.618944186194058E-03,  1.769806040035117E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.256113640532391E+00, -5.381075734316113E-01, -1.103842210533600E+00,  2.365115119967983E-03, -8.600943308928263E-03,  1.808563637044047E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.244003185051229E+00, -5.810639081778697E-01, -1.094702653121232E+00,  2.479115677584666E-03, -8.581318517736898E-03,  1.847246163235683E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -3.231322011598393E+00, -6.239180236947882E-01, -1.085369887176959E+00,  2.593399513221858E-03, -8.560052778194884E-03,  1.885845717924658E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -3.218068746139467E+00, -6.666616726626055E-01, -1.075844347688928E+00,  2.707949599353790E-03, -8.537129060871194E-03,  1.924354218294807E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -3.204242101065452E+00, -7.092865226506947E-01, -1.066126510519785E+00,  2.822748391537715E-03, -8.512530352814119E-03,  1.962763396971276E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -3.189840877804313E+00, -7.517841562299589E-01, -1.056216893335259E+00,  2.937777817639742E-03, -8.486239669660212E-03,  2.001064799718405E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.174863969486295E+00, -7.941460711474160E-01, -1.046116056544073E+00,  3.053019267091510E-03, -8.458240068400992E-03,  2.039249783205808E-03,
