*******************************************************************************
JPL/HORIZONS               1107 Lictoria (1929 FB)         2020-Jun-22 09:31:22
Rec #:    1107 (+COV) Soln.date: 2020-May-20_01:19:11   # obs: 3113 (1909-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456146.5 ! 2012-Aug-07.00 (TDB)         Residual RMS= .28893
   EC= .1270613763558504   QR= 2.78130337766715    TP= 2456403.3287459048
   OM= 110.9021141791692   W=  351.955741767883    IN= 7.06712754187861
   A= 3.186138523755982    MA= 315.4907040687536   ADIST= 3.590973669844815
   PER= 5.68729            N= .173303399           ANGMOM= .030456459
   DAN= 2.78439            DDN= 3.58584            L= 102.9181896
   B= -.9865014            MOID= 1.79892004        TP= 2013-Apr-20.8287459048
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 39.5395            ROTPER= 8.5616
   H= 9.5                  G= .150                 B-V= n.a.
                           ALBEDO= .066            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#41, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:31:22 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1107 Lictoria (1929 FB)         {source: JPL#41}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456146.5 ! 2012-Aug-07.00 (TDB)         Residual RMS= .28893        
   EC= .1270613763558504   QR= 2.78130337766715    TP= 2456403.3287459048      
   OM= 110.9021141791692   W=  351.955741767883    IN= 7.06712754187861        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.980040782849140E+00  Y= 2.083326968767989E+00  Z= 5.505838853895919E-01
  VX=-8.261444523209184E-03 VY= 5.581424090379979E-03 VZ= 3.155324063363537E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 39.5395            ROTPER= 8.5616              
   H= 9.5                  G= .150                 B-V= n.a.                   
                           ALBEDO= .066            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.564561714881508E+00, -1.944313541290531E+00,  3.841432691332816E-01,  4.720133660850655E-03, -8.190099208586637E-03, -1.766836601652073E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.540684687734867E+00, -1.985052273271525E+00,  3.832183404693538E-01,  4.830407719743400E-03, -8.105175597296387E-03, -1.932664062548355E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.516260337552974E+00, -2.025363143989072E+00,  3.822108208446538E-01,  4.939061876048713E-03, -8.018960009663373E-03, -2.097196906940782E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.491296778368230E+00, -2.065239772864822E+00,  3.811213628070856E-01,  5.046090414169330E-03, -7.931484108175886E-03, -2.260414309654085E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.465802151423772E+00, -2.104675936746061E+00,  3.799506291186330E-01,  5.151488162307579E-03, -7.842779199831265E-03, -2.422296236275921E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.439784622500608E+00, -2.143665568117276E+00,  3.786992923648493E-01,  5.255250474084746E-03, -7.752876231858649E-03, -2.582823423729797E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.413252379335734E+00, -2.182202753292138E+00,  3.773680345740070E-01,  5.357373210491737E-03, -7.661805788175134E-03, -2.741977360979211E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.386213629130041E+00, -2.220281730589613E+00,  3.759575468459538E-01,  5.457852722013566E-03, -7.569598086561513E-03, -2.899740269481456E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.358676596145159E+00, -2.257896888497353E+00,  3.744685289907985E-01,  5.556685830945835E-03, -7.476282976361374E-03, -3.056095083449982E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.330649519387951E+00, -2.295042763824566E+00,  3.729016891774385E-01,  5.653869814039029E-03, -7.381889936566021E-03, -3.211025430277067E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.302140650380775E+00, -2.331714039846222E+00,  3.712577435917863E-01,  5.749402385560527E-03, -7.286448074259027E-03, -3.364515611357697E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.273158251015302E+00, -2.367905544440435E+00,  3.695374161044597E-01,  5.843281680806606E-03, -7.189986123458320E-03, -3.516550583399971E-04,
