*******************************************************************************
Ephemeris / WWW_USER Fri Jun  4 07:12:50 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 1 Ceres (A801 AA)               {source: JPL#48}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 UT      
Stop  time      : A.D. 2071-May-04 00:00:00.0000 UT      
Step-size       : 7200 minutes
*******************************************************************************
Target pole/equ : IAU                             {West-longitude positive}
Target radii    : 482.1 x 482.1 x 445.9 km        {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.210603.p210825                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-JUN-03. PREDICTS-> 2021-AUG-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563        
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435      
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.007608869613381E+00  Y=-2.390064275223502E+00  Z=-1.332124522752402E+00
  VX= 9.201724467227128E-03 VY= 3.370381135398406E-03 VZ=-2.850337057661093E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417             
   H= 3.53                 G= .120                 B-V= .713                   
                           ALBEDO= .090            STYP= C                     
*************************************************************************************************************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),  dRA*cosD, d(DEC)/dt,    APmag,  S-brt,                r,       rdot,             delta,     deldot,  1-way_down_LT,
*************************************************************************************************************************************************************************
$$SOE
2440400.500000000, , , 315.984929351, -26.691893458,  -15.4023,  -16.1272,    8.178,  6.954,   2.947604089798,  0.7254292,  2.05838320311529,-12.2091307,    17.11905109,
2440405.500000000, , , 315.339430737, -27.239938666,  -19.1402,  -16.6252,    8.083,  6.896,   2.949670298790,  0.7055108,  2.02586165304829,-10.2911106,    16.84857760,
2440410.500000000, , , 314.556310243, -27.799476487,  -22.5331,  -16.7902,    7.987,  6.832,   2.951678742899,  0.6854340,  1.99909089139634, -8.2254687,    16.62593197,
2440415.500000000, , , 313.649961189, -28.358532548,  -25.4249,  -16.5739,    7.893,  6.762,   2.953628973374,  0.6652049,  1.97848761492081, -6.0238276,    16.45457974,
2440420.500000000, , , 312.640884348, -28.903940936,  -27.6729,  -15.9565,    7.805,  6.691,   2.955520559047,  0.6448293,  1.96440001091921, -3.7193158,    16.33741671,
2440425.500000000, , , 311.554795029, -29.422433870,  -29.1735,  -14.9529,    7.736,  6.630,   2.957353083461,  0.6243113,  1.95706448831106, -1.3550936,    16.27640903,
2440430.500000000, , , 310.420853822, -29.901834146,  -29.8847,  -13.6138,    7.713,  6.609,   2.959126142269,  0.6036552,  1.95658785951674,  1.0245582,    16.27244503,
2440435.500000000, , , 309.269247666, -30.332049572,  -29.8167,  -12.0078,    7.754,  6.642,   2.960839343789,  0.5828655,  1.96297311322288,  3.3956926,    16.32554957,
2440440.500000000, , , 308.130752586, -30.705085101,  -28.9511,  -10.1921,    7.835,  6.707,   2.962492310863,  0.5619475,  1.97617723423010,  5.7425266,    16.43536489,
2440445.500000000, , , 307.037220518, -31.014970736,  -27.2906,  -8.23547,    7.931,  6.780,   2.964084681963,  0.5409066,  1.99608036873917,  8.0283831,    16.60089422,
2440450.500000000, , , 306.019536158, -31.258249188,  -24.8985,  -6.21764,    8.032,  6.851,   2.965616111342,  0.5197481,  2.02244673902215, 10.2120475,    16.82017663,
2440455.500000000, , , 305.105208901, -31.434157066,  -21.8926,  -4.21867,    8.134,  6.915,   2.967086268745,  0.4984774,  2.05492577853049, 12.2566497,    17.09029657,
2440460.500000000, , , 304.316212326, -31.544456995,  -18.4316,  -2.30657,    8.234,  6.973,   2.968494839024,  0.4770996,  2.09308250631373, 14.1437174,    17.40763639,
2440465.500000000, , , 303.668409399, -31.592684645,  -14.6451,  -0.51590,    8.333,  7.024,   2.969841521731,  0.4556197,  2.13646885852740, 15.8800165,    17.76846968,
2440470.500000000, , , 303.173583878, -31.583039868,  -10.6091,  1.143158,    8.429,  7.069,   2.971126030846,  0.4340428,  2.18465023355575, 17.4622650,    18.16918196,
