*******************************************************************************
JPL/HORIZONS                  7 Iris (A847 PA)             2020-Jun-20 07:47:32
Rec #:       7 (+COV) Soln.date: 2019-Sep-23_19:03:59   # obs: 5206 (1848-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2450110.5 ! 1996-Jan-28.00 (TDB)         Residual RMS= .24861
   EC= .2302533426929655   QR= 1.836592600997815   TP= 2450000.6067255354
   OM= 259.9296801853699   W=  145.2956567705066   IN= 5.523208325315569
   A= 2.385970219634536    MA= 29.38851623024611   ADIST= 2.935347838271257
   PER= 3.68558            N= .267427789           ANGMOM= .025857417
   DAN= 2.78704            DDN= 1.89985            L= 45.3500309
   B= 3.1412988            MOID= .84860998         TP= 1995-Oct-10.1067255354
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 99.915             ROTPER= 7.139
   H= 5.6                  G= .150                 B-V= .855
                           ALBEDO= .2766           STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#110, OCC=0           radar( 1 delay, 0 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:47:32 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 7 Iris (A847 PA)                {source: JPL#110}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2450110.5 ! 1996-Jan-28.00 (TDB)         Residual RMS= .24861        
   EC= .2302533426929655   QR= 1.836592600997815   TP= 2450000.6067255354      
   OM= 259.9296801853699   W=  145.2956567705066   IN= 5.523208325315569       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-5.131045627699349E-02  Y= 1.802765470186904E+00  Z= 7.403609760282144E-01
  VX=-1.324916284382570E-02 VY= 1.918851082832189E-03 VZ=-5.712138385698968E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 99.915             ROTPER= 7.139               
   H= 5.6                  G= .150                 B-V= .855                   
                           ALBEDO= .2766           STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.896977666916099E+00, -8.401100837953289E-01,  1.932281379413055E-01,  2.786598004788328E-03,  1.236507652113951E-02,  6.410731100442079E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.910126117984518E+00, -7.779455084964422E-01,  1.934687011074258E-01,  2.471491965243867E-03,  1.249943067600424E-02,  3.201690013008401E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.921679791412962E+00, -7.151293827163792E-01,  1.935473128878096E-01,  2.148709723364732E-03,  1.262562116917589E-02, -6.698549022174516E-07,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.931600670479517E+00, -6.517036638950541E-01,  1.934610446369666E-01,  1.818401581865731E-03,  1.274319120462870E-02, -3.393126992393475E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.939851560082060E+00, -5.877126093159445E-01,  1.932070830430940E-01,  1.480746145281445E-03,  1.285167790529170E-02, -6.774287544977852E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.946396232094674E+00, -5.232028023778523E-01,  1.927827443506486E-01,  1.135951849572301E-03,  1.295061400035365E-02, -1.020772997010387E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.951199578212306E+00, -4.582231699163865E-01,  1.921854891445512E-01,  7.842584237825810E-04,  1.303952971900120E-02, -1.369041613177823E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.954227769882605E+00, -3.928249895311561E-01,  1.914129376419039E-01,  4.259382590529420E-04,  1.311795489483949E-02, -1.721899740056201E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.955448424797391E+00, -3.270618858616631E-01,  1.904628854259283E-01,  6.129765894931656E-05,  1.318542128184902E-02, -2.078980654133299E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.954830779280391E+00, -2.609898147587260E-01,  1.893333195443614E-01, -3.093220573022583E-04,  1.324146507960878E-02, -2.439885129604523E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.952345865760386E+00, -1.946670343166953E-01,  1.880224348800968E-01, -6.855436290395080E-04,  1.328562966262384E-02, -2.804180996168903E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.947966694364602E+00, -1.281540617661654E-01,  1.865286506868032E-01, -1.066953137088410E-03,  1.331746850499223E-02, -3.171402926192090E-04,
2440460.500000000, A.D. 1969-Aug-27 00:00:00.0000,      39.853580,  1.941668437510149E+00, -6.151361528143234E-02,  1.848506271676683E-01, -1.453099526852853E-03,  1.333654828725005E-02, -3.541052479638454E-04,
