*******************************************************************************
JPL/HORIZONS                19 Fortuna (A852 QA)           2020-Jun-20 07:53:13
Rec #:      19 (+COV) Soln.date: 2020-May-20_00:56:00   # obs: 3375 (1852-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452638.5 ! 2002-Dec-30.00 (TDB)         Residual RMS= .28416
   EC= .1587174369187372   QR= 2.05514330792462    TP= 2452262.1272592321
   OM= 211.4174025895626   W=  182.2668617225706   IN= 1.571939834335859
   A= 2.442869254769168    MA= 97.15650868124325   ADIST= 2.830595201613716
   PER= 3.8182             N= .258139061           ANGMOM= .026545522
   DAN= 2.83018            DDN= 2.05536            L= 33.6834221
   B= -.0621687            MOID= 1.06069005        TP= 2001-Dec-18.6272592321
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 100.               ROTPER= 7.4432
   H= 7.3                  G= .100                 B-V= .719
                           ALBEDO= .037            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#130, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:53:13 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 19 Fortuna (A852 QA)            {source: JPL#130}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452638.5 ! 2002-Dec-30.00 (TDB)         Residual RMS= .28416        
   EC= .1587174369187372   QR= 2.05514330792462    TP= 2452262.1272592321      
   OM= 211.4174025895626   W=  182.2668617225706   IN= 1.571939834335859       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.165633952398264E+00  Y= 1.257157433772954E+00  Z= 4.769943901023406E-01
  VX=-6.858788102786417E-03 VY=-7.374511573482749E-03 VZ=-3.100000048750754E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 100.               ROTPER= 7.4432              
   H= 7.3                  G= .100                 B-V= .719                   
                           ALBEDO= .037            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.417344671075953E+00, -1.457525657303673E+00, -1.483109238299576E-03,  4.768971044007242E-03, -8.080624604068540E-03,  2.557363668345420E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.393105062962592E+00, -1.497687784702876E+00, -2.042487857955605E-04,  4.926598089285323E-03, -7.983793916609290E-03,  2.557938245364592E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.368081453042372E+00, -1.537359287612781E+00,  1.074689153558904E-03,  5.082567413068427E-03, -7.884377902103478E-03,  2.557673697633364E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.342282195383281E+00, -1.576527285487313E+00,  2.353285130930949E-03,  5.236852799170015E-03, -7.782394933350405E-03,  2.556570460746823E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.315715775636952E+00, -1.615178988715730E+00,  3.631119887423144E-03,  5.389427825739168E-03, -7.677863014560904E-03,  2.554628858849523E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.288390812135236E+00, -1.653301696823376E+00,  4.907774298341157E-03,  5.540265838041690E-03, -7.570799798954159E-03,  2.551849104591569E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.260316057121953E+00, -1.690882796762367E+00,  6.182829317406446E-03,  5.689339921538842E-03, -7.461222607158125E-03,  2.548231298953496E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.231500398119184E+00, -1.727909761296361E+00,  7.455865920886265E-03,  5.836622874980369E-03, -7.349148446416806E-03,  2.543775431147292E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.201952859428067E+00, -1.764370147482842E+00,  8.726465051769498E-03,  5.982087183529740E-03, -7.234594030342004E-03,  2.538481378945864E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.171682603763391E+00, -1.800251595255125E+00,  9.994207564233439E-03,  6.125704992161257E-03, -7.117575799038433E-03,  2.532348909504201E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.140698934020206E+00, -1.835541826105918E+00,  1.125867416862217E-02,  6.267448079470373E-03, -6.998109939614842E-03,  2.525377680549940E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.109011295170214E+00, -1.870228641874673E+00,  1.251944537706412E-02,  6.407287831948834E-03, -6.876212407219540E-03,  2.517567241720422E-04,
