*******************************************************************************
JPL/HORIZONS               26 Proserpina (A853 JA)         2020-Jun-20 07:54:21
Rec #:      26 (+COV) Soln.date: 2020-Feb-22_15:14:50   # obs: 2434 (1861-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454683.5 ! 2008-Aug-05.00 (TDB)         Residual RMS= .33497
   EC= .08675010831083618  QR= 2.425591582218262   TP= 2454975.4683162565
   OM= 45.87297744629213   W=  193.4427030314717   IN= 3.561594328875286
   A= 2.655999857532798    MA= 293.518971725212    ADIST= 2.886408132847333
   PER= 4.32863            N= .227699455           ANGMOM= .027928983
   DAN= 2.87892            DDN= 2.43091            L= 239.2906669
   B= -.82747              MOID= 1.41281998        TP= 2009-May-23.9683162565
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.4               ROTPER= 13.11
   H= 7.5                  G= .150                 B-V= .891
                           ALBEDO= .1966           STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#120, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:54:21 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 26 Proserpina (A853 JA)         {source: JPL#120}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454683.5 ! 2008-Aug-05.00 (TDB)         Residual RMS= .33497        
   EC= .08675010831083618  QR= 2.425591582218262   TP= 2454975.4683162565      
   OM= 45.87297744629213   W=  193.4427030314717   IN= 3.561594328875286       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.470298967954252E+00  Y= 6.191817326729859E-01  Z= 4.235301508249731E-01
  VX=-2.253018926905923E-03 VY=-9.593701608045379E-03 VZ=-4.550923722708505E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.4               ROTPER= 13.11               
   H= 7.5                  G= .150                 B-V= .891                   
                           ALBEDO= .1966           STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.274099294582717E+00,  1.295939460713317E+00,  1.589494476715299E-01, -4.431449762641859E-03, -9.702327383255620E-03, -2.188672579545511E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.295788837534321E+00,  1.247165908966582E+00,  1.578226367199128E-01, -4.243900474927080E-03, -9.806521792600283E-03, -2.318535610096287E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.316533672943049E+00,  1.197880026950860E+00,  1.566309526041458E-01, -4.053575441408255E-03, -9.907245707481071E-03, -2.448155346304864E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.336320054720030E+00,  1.148099373776877E+00,  1.553745319010079E-01, -3.860528160065724E-03, -1.000441649772922E-02, -2.577471880493268E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.355134510935747E+00,  1.097841921258116E+00,  1.540535414238026E-01, -3.664814804741007E-03, -1.009795172657756E-02, -2.706424176697962E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.372963857319316E+00,  1.047126052728186E+00,  1.526681787825955E-01, -3.466494272873803E-03, -1.018776923751225E-02, -2.834950086725835E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.389795210992209E+00,  9.959705614153344E-01,  1.512186729357807E-01, -3.265628231400257E-03, -1.027378724449612E-02, -2.962986368772574E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.405616004424213E+00,  9.443946483575182E-01,  1.497052847316833E-01, -3.062281159513613E-03, -1.035592442561998E-02, -3.090468708708460E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.420413999593529E+00,  8.924179198388942E-01,  1.481283074387740E-01, -2.856520387576562E-03, -1.043410002102378E-02, -3.217331744410001E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.434177302333088E+00,  8.400603843251629E-01,  1.464880672628921E-01, -2.648416132848662E-03, -1.050823393538409E-02, -3.343509093405747E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.446894376848755E+00,  7.873424488762768E-01,  1.447849238498276E-01, -2.438041532505672E-03, -1.057824684435957E-02, -3.468933383787226E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.458554060394992E+00,  7.342849150181737E-01,  1.430192707716477E-01, -2.225472673479443E-03, -1.064406030449763E-02, -3.593536288298456E-04,
