*******************************************************************************
JPL/HORIZONS                 37 Fides (A855 TB)            2020-Jun-20 07:57:18
Rec #:      37 (+COV) Soln.date: 2020-May-20_00:56:46   # obs: 2756 (1855-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452926.5 ! 2003-Oct-14.00 (TDB)         Residual RMS= .35552
   EC= .1768162930242372   QR= 2.173805332359654   TP= 2452406.3703224459
   OM= 7.412727666880512   W=  62.91147423516872   IN= 3.07379049475593
   A= 2.640729297650759    MA= 119.4620278895031   ADIST= 3.107653262941864
   PER= 4.29135            N= .229677386           ANGMOM= .027513517
   DAN= 2.36754            DDN= 2.78218            L= 70.29074490000001
   B= 2.7363356            MOID= 1.18984997        TP= 2002-May-11.8703224459
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 54.175             ROTPER= 7.3335
   H= 7.3                  G= .240                 B-V= .843
                           ALBEDO= .1826           STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#124, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:57:18 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 37 Fides (A855 TB)              {source: JPL#124}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452926.5 ! 2003-Oct-14.00 (TDB)         Residual RMS= .35552        
   EC= .1768162930242372   QR= 2.173805332359654   TP= 2452406.3703224459      
   OM= 7.412727666880512   W=  62.91147423516872   IN= 3.07379049475593        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.640281191259911E+00  Y=-1.134620658422222E+00  Z=-5.449821274127538E-01
  VX= 2.837230761705845E-03 VY=-8.107360642588908E-03 VZ=-4.061893033843935E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 54.175             ROTPER= 7.3335              
   H= 7.3                  G= .240                 B-V= .843                   
                           ALBEDO= .1826           STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.566676686160747E+00, -1.465569533452905E+00, -5.865846843143737E-02,  3.566166223220736E-03, -8.656216524703293E-03, -4.905610740434271E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.548481328522236E+00, -1.508639863091575E+00, -6.110279481202652E-02,  3.711658315177517E-03, -8.571591995189087E-03, -4.871497388985570E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.529563292315475E+00, -1.551282253023066E+00, -6.352977016379360E-02,  3.855236837970448E-03, -8.485047206976770E-03, -4.836210082964164E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.509932157214833E+00, -1.593487199693724E+00, -6.593881265934023E-02,  3.996897130967778E-03, -8.396621109090070E-03, -4.799769348446202E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.489597525164412E+00, -1.635245392105329E+00, -6.832935062460989E-02,  4.136634941282918E-03, -8.306351777484722E-03, -4.762195273770411E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.468569018422430E+00, -1.676547707492162E+00, -7.070082232162213E-02,  4.274446390774704E-03, -8.214276432080437E-03, -4.723507516022849E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.446856277767186E+00, -1.717385207084346E+00, -7.305267573457903E-02,  4.410327944363788E-03, -8.120431454247795E-03, -4.683725308060791E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.424468960858779E+00, -1.757749131959651E+00, -7.538436835959750E-02,  4.544276379383833E-03, -8.024852404664645E-03, -4.642867465944336E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.401416740751475E+00, -1.797630898984899E+00, -7.769536699818941E-02,  4.676288756004933E-03, -7.927574041262089E-03, -4.600952396425595E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.377709304550924E+00, -1.837022096846937E+00, -7.998514755445074E-02,  4.806362388886459E-03, -7.828630337087810E-03, -4.557998104313149E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.353356352209834E+00, -1.875914482172693E+00, -8.225319483591396E-02,  4.934494820153010E-03, -7.728054498085655E-03, -4.514022199757556E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.328367595455499E+00, -1.914299975738087E+00, -8.449900235805251E-02,  5.060683793658376E-03, -7.625878980878326E-03, -4.469041905610505E-04,
