*******************************************************************************
JPL/HORIZONS                43 Ariadne (A857 GA)           2020-Jun-20 07:59:28
Rec #:      43 (+COV) Soln.date: 2020-May-20_00:56:58   # obs: 2773 (1864-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455303.5 ! 2010-Apr-17.00 (TDB)         Residual RMS= .4113
   EC= .1677176021735362   QR= 1.834014514561312   TP= 2455752.2820607242
   OM= 264.9253373939287   W=  15.86035699680575   IN= 3.466797691322753
   A= 2.203596422741739    MA= 224.7798310234835   ADIST= 2.573178330922165
   PER= 3.27119            N= .301304747           ANGMOM= .025173972
   DAN= 1.8441             DDN= 2.55359            L= 280.7581264
   B= .9469192             MOID= .81726003         TP= 2011-Jul-09.7820607242
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.67              ROTPER= 5.76218
   H= 7.9                  G= .110                 B-V= .863
                           ALBEDO= .234            STYP= Sk
 
ASTEROID comments: 
1: soln ref.= JPL#114, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:59:28 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 43 Ariadne (A857 GA)            {source: JPL#114}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455303.5 ! 2010-Apr-17.00 (TDB)         Residual RMS= .4113         
   EC= .1677176021735362   QR= 1.834014514561312   TP= 2455752.2820607242      
   OM= 264.9253373939287   W=  15.86035699680575   IN= 3.466797691322753       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.723389734619533E+00  Y= 1.693080070160860E+00  Z= 6.102011179493654E-01
  VX=-6.527070946718463E-03 VY=-6.996158661433684E-03 VZ=-3.417068191129978E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.67              ROTPER= 5.76218             
   H= 7.9                  G= .110                 B-V= .863                   
                           ALBEDO= .234            STYP= Sk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.014105451351103E+00, -2.817715894699664E-01,  1.225786214677316E-01,  3.564731656300478E-03,  1.200882174224019E-02,  1.569142983302955E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.031046016194401E+00, -2.216124178574737E-01,  1.233093464717895E-01,  3.211812021033660E-03,  1.205299289899345E-02,  1.354038607779961E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.046227033757862E+00, -1.612599845439067E-01,  1.239329577937042E-01,  2.860969010820091E-03,  1.208616986706691E-02,  1.140720111592358E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.059659713936085E+00, -1.007686029233068E-01,  1.244503950911086E-01,  2.512529900800574E-03,  1.210861679583269E-02,  9.293722418993893E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.071356851852236E+00, -4.019124985218651E-02,  1.248626872341115E-01,  2.166801578077518E-03,  1.212060392317516E-02,  7.201671546751093E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.081332727038596E+00,  2.042046145172103E-02,  1.251709460925721E-01,  1.824071001277803E-03,  1.212240625399473E-02,  5.132647518290934E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.089603005073466E+00,  8.101630212969489E-02,  1.253763604996014E-01,  1.484605721527211E-03,  1.211430232953383E-02,  3.088130476484147E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.096184641954257E+00,  1.415474424786277E-01,  1.254801904046415E-01,  1.148654454545813E-03,  1.209657308865981E-02,  1.069485606250361E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.101095791443304E+00,  2.019664612822997E-01,  1.254837612289026E-01,  8.164476965061999E-04,  1.206950082004630E-02, -9.220326899610025E-06,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.104355715587408E+00,  2.622273501243551E-01,  1.253884584355363E-01,  4.881983763504110E-04,  1.203336820205942E-02, -2.885276386589294E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.105984698572950E+00,  3.222855131123427E-01,  1.251957223245457E-01,  1.641025362858963E-04,  1.198845742671093E-02, -4.819199263191527E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.106003964036536E+00,  3.820977624246332E-01,  1.249070430589298E-01, -1.556599678236465E-04,  1.193504940431870E-02, -6.722852238277162E-05,
